Samples	Signature A
Sample266	0.00E+00
Sample267	0.00E+00
Sample268	0.00E+00
Sample269	0.00E+00
Sample270	0.00E+00
Sample271	0.00E+00
Sample272	0.00E+00
Sample273	0.00E+00
Sample274	0.00E+00
Sample275	0.00E+00
Sample276	0.00E+00
Sample277	0.00E+00
Sample278	0.00E+00
Sample279	0.00E+00
Sample280	0.00E+00
Sample281	0.00E+00
Sample282	0.00E+00
Sample283	0.00E+00
Sample284	0.00E+00
Sample285	0.00E+00
Sample286	0.00E+00
Sample287	0.00E+00
Sample288	0.00E+00
Sample289	0.00E+00
Sample290	0.00E+00
Sample291	0.00E+00
Sample292	0.00E+00
Sample293	0.00E+00
Sample294	0.00E+00
Sample295	0.00E+00
Sample296	0.00E+00
Sample297	0.00E+00
Sample298	0.00E+00
Sample299	0.00E+00
Sample300	0.00E+00
Sample301	0.00E+00
Sample302	0.00E+00
Sample303	0.00E+00
Sample304	0.00E+00
Sample305	0.00E+00
Sample306	0.00E+00
Sample307	0.00E+00
Sample308	0.00E+00
Sample309	0.00E+00
Sample310	0.00E+00
Sample311	0.00E+00
Sample312	0.00E+00
Sample313	0.00E+00
Sample314	0.00E+00
Sample315	0.00E+00
Sample316	0.00E+00
Sample317	0.00E+00
Sample318	0.00E+00
Sample319	0.00E+00
Sample320	0.00E+00
Sample321	0.00E+00
Sample322	0.00E+00
Sample323	0.00E+00
Sample324	0.00E+00
Sample325	0.00E+00
Sample326	0.00E+00
Sample327	0.00E+00
Sample328	0.00E+00
Sample329	0.00E+00
Sample330	0.00E+00
Sample331	0.00E+00
Sample332	0.00E+00
Sample333	0.00E+00
Sample334	0.00E+00
Sample335	0.00E+00
Sample336	0.00E+00
Sample337	0.00E+00
Sample338	0.00E+00
Sample339	0.00E+00
Sample340	0.00E+00
Sample341	0.00E+00
Sample342	0.00E+00
Sample343	0.00E+00
Sample344	0.00E+00
Sample345	0.00E+00
Sample346	0.00E+00
Sample347	0.00E+00
Sample348	0.00E+00
Sample349	0.00E+00
Sample350	0.00E+00
Sample351	0.00E+00
Sample352	0.00E+00
Sample353	0.00E+00
Sample354	0.00E+00
Sample355	0.00E+00
Sample356	0.00E+00
Sample357	0.00E+00
Sample358	0.00E+00
Sample359	0.00E+00
Sample360	0.00E+00
Sample361	0.00E+00
Sample362	0.00E+00
Sample363	0.00E+00
Sample364	0.00E+00
Sample365	0.00E+00
Sample366	0.00E+00
Sample367	0.00E+00
Sample368	0.00E+00
Sample369	0.00E+00
Sample370	0.00E+00
Sample371	0.00E+00
Sample372	0.00E+00
Sample373	0.00E+00
Sample374	0.00E+00
Sample375	0.00E+00
Sample376	0.00E+00
Sample377	0.00E+00
Sample378	0.00E+00
Sample379	0.00E+00
Sample380	0.00E+00
Sample381	0.00E+00
Sample382	0.00E+00
Sample383	0.00E+00
Sample384	0.00E+00
Sample385	0.00E+00
Sample386	0.00E+00
Sample387	0.00E+00
Sample388	0.00E+00
Sample389	0.00E+00
Sample390	0.00E+00
Sample391	0.00E+00
Sample392	0.00E+00
Sample393	0.00E+00
Sample394	0.00E+00
Sample395	0.00E+00
Sample396	0.00E+00
Sample397	0.00E+00
Sample398	0.00E+00
Sample399	0.00E+00
Sample400	0.00E+00
Sample401	0.00E+00
Sample402	0.00E+00
Sample403	0.00E+00
Sample404	0.00E+00
Sample405	0.00E+00
Sample406	0.00E+00
Sample407	0.00E+00
Sample408	0.00E+00
Sample409	0.00E+00
Sample410	0.00E+00
Sample411	0.00E+00
Sample412	0.00E+00
Sample413	0.00E+00
Sample414	0.00E+00
Sample415	0.00E+00
Sample416	0.00E+00
Sample417	0.00E+00
Sample418	0.00E+00
Sample419	0.00E+00
Sample420	0.00E+00
Sample421	0.00E+00
Sample422	0.00E+00
Sample423	0.00E+00
Sample424	0.00E+00
Sample425	0.00E+00
Sample426	0.00E+00
Sample427	0.00E+00
Sample428	0.00E+00
Sample429	0.00E+00
Sample430	0.00E+00
Sample431	0.00E+00
Sample432	0.00E+00
Sample433	0.00E+00
Sample434	0.00E+00
Sample435	0.00E+00
Sample436	0.00E+00
Sample437	0.00E+00
Sample438	0.00E+00
Sample439	0.00E+00
Sample440	0.00E+00
Sample441	0.00E+00
Sample442	0.00E+00
Sample443	0.00E+00
Sample444	0.00E+00
Sample445	0.00E+00
Sample446	0.00E+00
Sample447	0.00E+00
Sample448	0.00E+00
Sample449	0.00E+00
Sample450	0.00E+00
Sample451	0.00E+00
Sample452	0.00E+00
Sample453	0.00E+00
Sample454	0.00E+00
Sample455	0.00E+00
Sample456	0.00E+00
Sample457	0.00E+00
Sample458	0.00E+00
Sample459	0.00E+00
Sample460	0.00E+00
Sample461	0.00E+00
Sample462	0.00E+00
Sample463	0.00E+00
Sample464	0.00E+00
Sample465	0.00E+00
Sample466	0.00E+00
Sample467	0.00E+00
Sample468	0.00E+00
Sample469	0.00E+00
Sample470	0.00E+00
Sample471	0.00E+00
Sample472	0.00E+00
Sample473	0.00E+00
Sample474	0.00E+00
Sample475	0.00E+00
Sample476	0.00E+00
Sample477	0.00E+00
Sample478	0.00E+00
Sample479	0.00E+00
Sample480	0.00E+00
Sample481	0.00E+00
Sample482	0.00E+00
Sample483	0.00E+00
Sample484	0.00E+00
Sample485	0.00E+00
Sample486	0.00E+00
Sample487	0.00E+00
Sample488	0.00E+00
Sample489	0.00E+00
Sample490	0.00E+00
Sample491	0.00E+00
Sample492	0.00E+00
Sample493	0.00E+00
Sample494	0.00E+00
Sample495	0.00E+00
Sample496	0.00E+00
Sample497	0.00E+00
Sample498	0.00E+00
Sample499	0.00E+00
Sample500	0.00E+00
Sample501	0.00E+00
Sample502	0.00E+00
Sample503	0.00E+00
Sample504	0.00E+00
Sample505	0.00E+00
Sample506	0.00E+00
Sample507	0.00E+00
Sample508	0.00E+00
Sample509	0.00E+00
Sample510	0.00E+00
Sample511	0.00E+00
Sample512	0.00E+00
Sample513	0.00E+00
Sample514	0.00E+00
Sample515	0.00E+00
Sample516	0.00E+00
Sample517	0.00E+00
Sample518	0.00E+00
Sample519	0.00E+00
Sample520	0.00E+00
Sample521	0.00E+00
Sample522	0.00E+00
Sample523	0.00E+00
Sample524	0.00E+00
Sample525	0.00E+00
Sample526	0.00E+00
Sample527	0.00E+00
Sample528	0.00E+00
Sample529	0.00E+00
Sample530	0.00E+00
Sample531	0.00E+00
Sample532	0.00E+00
Sample533	0.00E+00
Sample534	0.00E+00
Sample535	0.00E+00
Sample536	0.00E+00
Sample537	0.00E+00
Sample538	0.00E+00
Sample539	0.00E+00
Sample540	0.00E+00
Sample541	0.00E+00
Sample542	0.00E+00
Sample543	0.00E+00
Sample544	0.00E+00
Sample545	0.00E+00
Sample546	0.00E+00
Sample547	0.00E+00
Sample548	0.00E+00
Sample549	0.00E+00
Sample550	0.00E+00
Sample551	0.00E+00
Sample552	0.00E+00
Sample553	0.00E+00
Sample554	0.00E+00
Sample555	0.00E+00
Sample556	0.00E+00
Sample557	0.00E+00
Sample558	0.00E+00
Sample559	0.00E+00
Sample560	0.00E+00
Sample561	0.00E+00
Sample562	0.00E+00
Sample563	0.00E+00
Sample564	0.00E+00
Sample565	0.00E+00
Sample566	0.00E+00
Sample567	0.00E+00
Sample568	0.00E+00
Sample569	0.00E+00
Sample570	0.00E+00
Sample571	0.00E+00
Sample572	0.00E+00
Sample573	0.00E+00
Sample574	0.00E+00
Sample575	0.00E+00
Sample576	0.00E+00
Sample577	0.00E+00
Sample578	0.00E+00
Sample579	0.00E+00
Sample580	0.00E+00
