Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I
Sample47	2.78E+01	7.80E+00	1.13E+01	1.06E+01	3.13E+01	6.10E+00	7.69E+00	1.24E+01	1.99E+01
Sample48	1.89E+01	1.39E+01	4.18E+01	1.20E+01	1.35E+01	6.91E+00	4.33E+00	1.73E+01	2.95E+01
Sample49	3.20E+01	6.49E+00	1.73E+01	1.09E+01	2.34E+01	9.11E+00	7.10E+00	2.08E+01	2.15E+01
Sample50	2.56E+01	9.00E+00	3.07E+01	1.20E+01	3.56E+01	1.08E+01	6.65E+00	1.29E+01	2.07E+01
Sample51	3.03E+01	1.11E+01	1.69E+01	9.88E+00	2.40E+01	7.45E+00	9.49E+00	2.18E+01	2.19E+01
Sample52	1.17E+01	8.43E+00	2.78E+01	1.03E+01	2.91E+01	1.01E+01	1.11E+01	1.81E+01	2.26E+01
Sample53	1.95E+01	1.34E+01	3.65E+01	1.49E+01	1.07E+01	6.00E+00	7.91E+00	1.80E+01	2.83E+01
Sample54	2.65E+01	7.86E+00	9.67E+00	9.00E+00	2.51E+01	5.06E+00	5.48E+00	1.36E+01	1.58E+01
Sample55	3.73E+01	2.36E+01	2.71E+01	6.30E+00	3.17E+01	1.48E+01	1.16E+01	1.54E+01	2.67E+01
Sample56	2.15E+01	5.21E+00	1.27E+01	1.32E+01	2.34E+01	1.17E+01	8.07E+00	2.06E+01	1.05E+01
Sample57	3.05E+01	7.84E+00	1.14E+01	1.00E+01	2.71E+01	8.99E+00	1.12E+01	1.94E+01	1.30E+01
Sample58	1.95E+01	1.06E+01	1.51E+01	8.69E+00	1.52E+01	6.64E+00	7.28E+00	1.91E+01	9.86E+00
Sample59	1.88E+01	9.08E+00	2.25E+01	1.02E+01	1.65E+01	2.69E+01	1.08E+01	3.26E+01	2.67E+01
Sample60	2.40E+01	1.40E+01	1.74E+01	5.32E+00	2.68E+01	1.07E+01	9.64E+00	1.56E+01	1.17E+01
Sample61	1.98E+01	5.77E+00	1.72E+01	1.60E+01	2.59E+01	7.01E+00	1.05E+01	1.41E+01	1.13E+01
Sample62	2.24E+01	9.83E+00	2.13E+01	5.84E+00	9.18E+00	2.12E+01	1.22E+01	3.18E+01	1.78E+01
Sample63	2.57E+01	7.72E+00	1.69E+01	1.06E+01	2.28E+01	1.22E+01	1.41E+01	1.34E+01	1.73E+01
Sample64	1.78E+01	9.32E+00	2.13E+01	7.62E+00	2.37E+01	1.89E+01	8.69E+00	3.35E+01	1.68E+01
Sample65	1.44E+01	8.99E+00	1.97E+01	1.22E+01	1.77E+01	2.69E+01	7.95E+00	3.11E+01	2.53E+01
Sample66	2.54E+01	7.61E+00	1.32E+01	1.12E+01	2.59E+01	1.17E+01	9.81E+00	1.99E+01	1.24E+01
Sample67	2.90E+01	6.62E+00	9.39E+00	6.85E+00	1.87E+01	6.62E+00	5.76E+00	1.28E+01	1.83E+01
Sample68	2.20E+01	8.82E+00	1.99E+01	1.09E+01	1.78E+01	1.92E+01	6.30E+00	2.53E+01	1.26E+01
Sample69	1.90E+01	4.83E+00	1.32E+01	9.90E+00	2.70E+01	1.14E+01	7.29E+00	1.81E+01	2.76E+01
Sample70	1.22E+01	1.49E+01	1.75E+01	1.27E+01	1.51E+01	7.20E+00	5.42E+00	2.32E+01	1.84E+01
Sample71	2.22E+01	6.68E+00	1.68E+01	1.55E+01	3.32E+01	1.00E+01	8.42E+00	1.47E+01	1.25E+01
Sample72	2.62E+01	9.90E+00	1.83E+01	1.24E+01	2.23E+01	5.54E+00	1.07E+01	1.14E+01	1.90E+01
Sample73	2.77E+01	1.05E+01	1.72E+01	8.78E+00	2.96E+01	7.75E+00	9.68E+00	1.59E+01	1.50E+01
Sample74	2.77E+01	7.15E+00	1.29E+01	9.76E+00	2.18E+01	1.29E+01	4.96E+00	1.76E+01	2.34E+01
Sample75	2.49E+01	1.06E+01	2.20E+01	1.06E+01	1.83E+01	5.60E+00	8.17E+00	1.22E+01	2.26E+01
Sample76	1.99E+01	4.17E+00	1.25E+01	7.97E+00	2.20E+01	1.49E+01	5.03E+00	1.04E+01	2.00E+01
Sample77	2.45E+01	1.83E+01	2.15E+01	8.87E+00	1.65E+01	1.26E+01	6.41E+00	1.74E+01	1.52E+01
Sample78	1.45E+01	2.55E+01	2.42E+01	1.42E+01	2.52E+01	2.40E+01	1.79E+01	2.38E+01	2.38E+01
Sample79	2.73E+01	1.18E+01	2.13E+01	9.81E+00	2.59E+01	1.71E+01	1.01E+01	2.70E+01	1.10E+01
Sample80	1.62E+01	6.66E+00	4.67E+01	1.49E+01	1.50E+01	3.20E+00	9.39E+00	1.98E+01	3.31E+01
Sample81	3.06E+01	3.69E+00	1.65E+01	1.12E+01	2.73E+01	1.22E+01	7.08E+00	1.68E+01	2.73E+01
Sample82	1.90E+01	6.22E+00	1.63E+01	9.79E+00	2.21E+01	1.24E+01	1.66E+01	1.52E+01	2.90E+01
Sample83	2.38E+01	8.80E+00	2.02E+01	1.32E+01	3.03E+01	2.57E+01	5.05E+00	2.32E+01	2.04E+01
