Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I
Sample201	3.58E+01	7.71E+00	1.04E+01	1.02E+01	3.11E+01	9.81E+00	1.01E+01	1.53E+01	1.73E+01
Sample202	1.98E+01	7.20E+00	1.47E+01	9.04E+00	1.57E+01	2.33E+01	9.64E+00	2.22E+01	1.33E+01
Sample203	1.51E+01	1.16E+01	2.73E+01	1.60E+01	3.26E+01	1.81E+01	6.79E+00	2.24E+01	1.18E+01
Sample204	2.76E+01	7.75E+00	1.25E+01	9.26E+00	2.48E+01	8.88E+00	9.19E+00	1.10E+01	1.64E+01
Sample205	2.89E+01	1.18E+01	2.31E+01	1.04E+01	1.49E+01	2.50E+01	8.09E+00	2.75E+01	2.12E+01
Sample206	2.92E+01	9.80E+00	1.02E+01	4.49E+00	3.10E+01	1.76E+01	1.29E+01	1.87E+01	2.48E+01
Sample207	3.80E+01	1.33E+01	1.80E+01	6.60E+00	3.64E+01	6.51E+00	1.43E+01	1.71E+01	1.71E+01
Sample208	3.35E+01	1.37E+01	3.11E+01	1.80E+01	3.01E+01	4.99E+00	8.23E+00	1.06E+01	2.90E+01
Sample209	2.31E+01	1.49E+01	1.99E+01	1.18E+01	1.85E+01	1.25E+01	4.52E+00	2.22E+01	1.68E+01
Sample210	1.49E+01	1.44E+01	2.32E+01	6.02E+00	1.63E+01	2.84E+01	8.59E+00	2.75E+01	1.66E+01
Sample211	2.18E+01	1.83E+01	3.47E+01	1.23E+01	2.58E+01	5.47E+00	7.88E+00	2.08E+01	2.85E+01
Sample212	1.57E+01	1.36E+01	1.81E+01	8.97E+00	1.76E+01	1.66E+01	9.16E+00	3.17E+01	1.87E+01
Sample213	2.41E+01	1.07E+01	2.09E+01	8.15E+00	2.11E+01	3.61E+01	7.91E+00	3.66E+01	2.27E+01
Sample214	3.93E+01	1.25E+01	1.70E+01	7.22E+00	2.55E+01	2.61E+00	5.20E+00	1.68E+01	2.14E+01
Sample215	1.27E+01	1.34E+01	3.20E+01	1.35E+01	2.67E+01	2.40E+01	6.15E+00	1.53E+01	2.38E+01
Sample216	2.54E+01	1.13E+01	2.75E+01	1.47E+01	2.87E+01	1.17E+01	1.09E+01	2.25E+01	3.92E+01
Sample217	2.30E+01	7.10E+00	2.68E+01	9.40E+00	2.35E+01	2.56E+01	8.08E+00	2.08E+01	2.01E+01
Sample218	2.24E+01	1.16E+01	1.52E+01	1.19E+01	2.24E+01	1.16E+01	1.15E+01	1.33E+01	2.09E+01
Sample219	1.85E+01	2.68E+01	1.83E+01	2.77E+01	2.33E+01	2.16E+01	1.14E+01	1.58E+01	1.87E+01
Sample220	2.94E+01	1.97E+01	3.16E+01	1.13E+01	1.33E+01	2.31E+01	1.14E+01	2.87E+01	1.30E+01
Sample221	2.92E+01	1.48E+01	2.71E+01	9.57E+00	1.82E+01	2.43E+01	1.46E+01	2.30E+01	1.67E+01
Sample222	2.35E+01	9.68E+00	1.21E+01	1.31E+01	3.37E+01	7.90E+00	8.96E+00	1.23E+01	1.39E+01
Sample223	1.98E+01	6.19E+00	2.44E+01	8.28E+00	2.93E+01	2.87E+01	7.49E+00	1.94E+01	2.35E+01
Sample224	2.17E+01	2.19E+01	2.37E+01	1.52E+01	2.15E+01	2.73E+01	6.77E+00	2.36E+01	1.78E+01
Sample225	2.48E+01	1.21E+01	1.91E+01	1.53E+01	2.59E+01	8.38E+00	6.41E+00	2.01E+01	1.20E+01
Sample226	2.40E+01	8.01E+00	1.31E+01	7.66E+00	2.76E+01	7.68E+00	1.10E+01	1.35E+01	1.90E+01
Sample227	1.75E+01	1.22E+01	1.43E+01	8.63E+00	1.03E+01	8.98E+00	5.71E+00	1.56E+01	1.48E+01
Sample228	1.71E+01	9.36E+00	2.45E+01	1.37E+01	2.24E+01	1.10E+01	7.81E+00	1.98E+01	1.76E+01
Sample229	1.90E+01	4.20E+00	1.91E+01	2.66E+01	1.51E+01	2.74E+01	9.62E+00	1.69E+01	1.86E+01
Sample230	2.48E+01	1.02E+01	2.33E+01	8.08E+00	2.24E+01	7.73E+00	9.96E+00	1.69E+01	2.83E+01
Sample231	2.72E+01	1.08E+01	2.58E+01	1.57E+01	9.75E+00	1.18E+01	3.79E+00	2.31E+01	1.35E+01
Sample232	3.19E+01	7.82E+00	1.64E+01	7.54E+00	3.01E+01	1.48E+01	1.03E+01	2.04E+01	1.50E+01
Sample233	6.54E+00	1.47E+01	2.12E+01	1.65E+01	2.38E+01	9.15E+00	9.80E+00	9.02E+00	2.46E+01
Sample234	3.17E+01	1.05E+01	2.17E+01	9.69E+00	2.56E+01	1.42E+01	7.91E+00	1.57E+01	1.47E+01
Sample235	2.92E+01	8.04E+00	1.81E+01	9.36E+00	2.83E+01	9.96E+00	8.31E+00	2.41E+01	1.33E+01
Sample236	1.83E+01	1.12E+01	1.24E+01	1.22E+01	2.54E+01	5.07E+00	9.91E+00	1.63E+01	1.77E+01
Sample237	1.70E+01	1.39E+01	3.80E+01	1.80E+01	1.04E+01	3.44E+00	4.87E+00	1.92E+01	3.04E+01
Sample238	2.19E+01	1.89E+01	3.22E+01	1.51E+01	3.48E+01	1.20E+01	1.05E+01	2.03E+01	3.16E+01
Sample239	2.71E+01	7.61E+00	1.29E+01	9.72E+00	2.34E+01	7.05E+00	5.11E+00	1.18E+01	1.66E+01
Sample240	2.34E+01	6.85E+00	9.66E+00	6.10E+00	2.25E+01	1.20E+01	9.98E+00	1.47E+01	1.24E+01
Sample241	2.81E+01	1.60E+01	1.80E+01	1.17E+01	2.43E+01	5.53E+00	6.23E+00	1.21E+01	1.42E+01
Sample242	3.12E+00	7.90E+00	2.50E+01	6.13E+00	1.03E+01	1.24E+01	1.37E+01	2.44E+01	2.83E+01
Sample243	1.85E+01	8.16E+00	1.65E+01	9.66E+00	1.21E+01	2.06E+01	8.69E+00	1.09E+01	2.10E+01
Sample244	2.15E+01	8.60E+00	1.85E+01	8.58E+00	2.29E+01	9.48E+00	7.32E+00	1.67E+01	1.17E+01
Sample245	1.27E+01	1.39E+01	1.60E+01	9.89E+00	3.20E+01	7.98E+00	7.80E+00	1.16E+01	1.53E+01
Sample246	2.83E+01	1.12E+01	1.87E+01	1.04E+01	2.38E+01	1.06E+01	9.14E+00	1.72E+01	1.41E+01
Sample247	1.87E+01	4.69E+00	1.53E+01	8.77E+00	2.42E+01	7.64E+00	1.39E+01	7.88E+00	1.10E+01
Sample248	2.49E+01	5.73E+00	2.26E+01	1.40E+01	2.59E+01	1.26E+01	1.13E+01	1.41E+01	1.46E+01
Sample249	4.00E+01	7.43E+00	1.08E+01	7.66E+00	2.93E+01	1.09E+01	7.79E+00	1.15E+01	1.78E+01
Sample250	1.68E+01	1.17E+01	3.36E+01	1.25E+01	1.91E+01	2.68E+01	1.16E+01	2.70E+01	1.45E+01
Sample251	8.76E+00	8.74E+00	1.96E+01	1.91E+01	1.86E+01	2.32E+01	8.16E+00	1.39E+01	1.15E+01
Sample252	1.55E+01	4.13E+00	1.83E+01	1.23E+01	2.19E+01	1.23E+01	4.24E+00	1.18E+01	1.70E+01
Sample253	2.72E+01	6.51E+00	1.26E+01	4.72E+00	2.46E+01	8.28E+00	1.39E+01	1.59E+01	1.66E+01
Sample254	2.81E+01	1.17E+01	1.08E+01	1.22E+01	2.46E+01	1.02E+01	6.27E+00	1.01E+01	2.00E+01
Sample255	2.09E+01	1.59E+01	1.51E+01	1.28E+01	2.42E+01	2.33E+01	3.84E+00	2.25E+01	1.15E+01
Sample256	1.81E+01	1.43E+01	4.56E+01	1.68E+01	1.93E+01	7.17E+00	5.72E+00	1.99E+01	3.66E+01
Sample257	2.51E+01	7.90E+00	1.05E+01	7.17E+00	2.82E+01	1.20E+01	5.88E+00	1.68E+01	2.21E+01
Sample258	3.25E+01	5.97E+00	9.91E+00	7.41E+00	3.99E+01	9.43E+00	7.71E+00	1.99E+01	2.02E+01
Sample259	2.72E+01	8.82E+00	1.97E+01	1.31E+01	2.78E+01	9.70E+00	1.40E+01	1.91E+01	2.28E+01
Sample260	1.85E+01	9.60E+00	1.98E+01	1.83E+01	1.86E+01	1.40E+01	1.04E+01	2.24E+01	1.85E+01
Sample261	1.81E+01	1.03E+01	2.52E+01	1.28E+01	1.27E+01	1.97E+01	8.91E+00	2.31E+01	1.44E+01
Sample262	2.63E+01	9.53E+00	1.89E+01	1.27E+01	1.52E+01	3.26E+01	6.16E+00	3.28E+01	1.16E+01
Sample263	1.61E+01	1.85E+01	1.73E+01	9.99E+00	1.85E+01	3.06E+01	6.91E+00	3.09E+01	2.28E+01
Sample264	3.07E+01	6.07E+00	1.65E+01	7.98E+00	3.15E+01	8.41E+00	8.14E+00	9.42E+00	1.81E+01
Sample265	2.20E+01	2.20E+00	2.02E+01	2.18E+01	2.44E+01	2.44E+01	9.25E+00	7.99E+00	1.24E+01
Sample266	3.12E+01	3.42E+00	1.35E+01	5.04E+00	2.03E+01	8.77E+00	5.86E+00	1.67E+01	1.88E+01
Sample267	2.03E+01	1.47E+01	1.74E+01	8.13E+00	3.84E+01	9.69E+00	1.36E+01	2.12E+01	2.09E+01
Sample268	3.32E+01	5.90E+00	1.57E+01	4.34E+00	2.08E+01	6.85E+00	7.86E+00	8.96E+00	2.16E+01
Sample269	1.84E+01	1.62E+01	1.70E+01	1.48E+01	1.97E+01	9.43E+00	1.31E+01	2.17E+01	1.84E+01
Sample270	2.26E+01	2.74E+01	2.13E+01	2.56E+01	1.35E+01	2.01E+01	1.35E+01	1.18E+01	2.18E+01
Sample271	1.78E+01	1.04E+01	1.67E+01	1.43E+01	2.40E+01	1.03E+01	6.15E+00	1.79E+01	2.17E+01
Sample272	1.37E+01	5.86E+00	2.10E+01	1.55E+01	3.30E+01	1.62E+01	1.12E+01	1.39E+01	2.10E+01
Sample273	2.15E+01	1.74E+01	1.87E+01	1.47E+01	2.36E+01	2.47E+01	5.06E+00	2.49E+01	1.62E+01
Sample274	1.71E+01	1.03E+01	9.56E+00	1.24E+01	2.02E+01	1.40E+01	6.45E+00	1.96E+01	1.22E+01
Sample275	2.13E+01	7.62E+00	9.91E+00	1.36E+01	1.49E+01	9.74E+00	9.72E+00	1.85E+01	1.62E+01
Sample276	3.23E+01	1.19E+01	1.97E+01	1.34E+01	2.14E+01	9.00E+00	6.40E+00	2.47E+01	1.54E+01
Sample277	1.60E+01	5.27E+00	1.27E+01	7.66E+00	2.33E+01	7.82E+00	9.15E+00	1.86E+01	1.73E+01
Sample278	2.19E+01	7.03E+00	1.07E+01	3.58E+00	2.69E+01	6.44E+00	9.45E+00	1.53E+01	1.97E+01
Sample279	2.55E+01	1.00E+01	1.58E+01	8.75E+00	2.46E+01	1.05E+01	6.66E+00	1.40E+01	1.63E+01
Sample280	2.38E+01	7.30E+00	1.79E+01	8.74E+00	2.00E+01	9.95E+00	1.02E+01	1.70E+01	1.45E+01
Sample281	1.66E+01	4.33E+00	2.17E+01	1.48E+01	2.93E+01	9.87E+00	9.86E+00	2.01E+01	1.85E+01
Sample282	1.78E+01	1.70E+01	1.41E+01	1.64E+01	1.54E+01	2.60E+01	1.18E+01	2.37E+01	2.31E+01
Sample283	3.60E+01	7.14E+00	1.78E+01	9.88E+00	4.34E+01	9.60E+00	7.98E+00	1.88E+01	2.22E+01
Sample284	1.91E+01	9.86E+00	2.27E+01	1.03E+01	1.43E+01	2.77E+01	7.71E+00	3.30E+01	1.41E+01
Sample285	1.22E+01	5.99E+00	2.24E+01	1.61E+01	1.67E+01	1.27E+01	1.60E+01	1.37E+01	2.08E+01
Sample286	2.84E+01	2.45E+01	2.33E+01	1.23E+01	1.84E+01	9.59E+00	8.91E+00	1.77E+01	1.38E+01
Sample287	3.47E+01	5.35E+00	2.36E+01	1.50E+01	3.51E+01	9.03E+00	3.77E+00	1.29E+01	1.84E+01
Sample288	1.97E+01	6.17E+00	2.50E+01	1.22E+01	1.20E+01	1.06E+01	7.60E+00	1.68E+01	1.52E+01
Sample289	2.24E+01	8.54E+00	1.67E+01	1.20E+01	1.69E+01	1.02E+01	1.36E+01	1.17E+01	2.32E+01
Sample290	2.34E+01	1.66E+01	2.84E+01	1.01E+01	2.03E+01	2.89E+01	1.08E+01	2.50E+01	2.63E+01
Sample291	2.22E+01	1.39E+01	1.81E+01	5.61E+00	2.66E+01	3.20E+01	7.43E+00	1.94E+01	2.23E+01
Sample292	3.05E+01	7.58E+00	1.15E+01	1.03E+01	2.77E+01	4.41E+00	6.49E+00	1.66E+01	1.68E+01
Sample293	1.37E+01	3.58E+00	2.23E+01	1.65E+01	3.28E+01	2.40E+01	1.30E+01	1.35E+01	1.61E+01
Sample294	2.08E+01	6.67E+00	1.57E+01	7.53E+00	2.44E+01	9.80E+00	7.96E+00	9.48E+00	1.12E+01
Sample295	1.81E+01	3.41E+00	1.47E+01	1.03E+01	2.64E+01	6.82E+00	7.07E+00	1.48E+01	1.68E+01
Sample296	2.67E+01	1.61E+01	2.39E+01	1.62E+01	1.48E+01	1.32E+01	1.25E+01	1.28E+01	1.18E+01
Sample297	3.27E+01	8.55E+00	9.99E+00	9.25E+00	2.04E+01	8.11E+00	8.68E+00	1.51E+01	1.36E+01
Sample298	1.08E+01	1.47E+01	3.48E+01	2.71E+01	3.25E+01	6.55E+00	1.99E+01	2.62E+01	2.42E+01
Sample299	1.29E+01	7.30E+00	1.32E+01	1.02E+01	2.20E+01	1.13E+01	6.71E+00	1.82E+01	1.61E+01
Sample300	2.55E+01	1.14E+01	1.92E+01	9.31E+00	2.55E+01	1.03E+01	5.49E+00	1.53E+01	2.89E+01
Sample301	2.55E+01	8.74E+00	3.31E+01	1.31E+01	2.73E+01	2.34E+01	8.64E+00	4.29E+01	2.32E+01
Sample302	2.11E+01	8.41E+00	1.24E+01	1.20E+01	2.76E+01	9.98E+00	1.18E+01	1.87E+01	1.26E+01
Sample303	2.43E+01	1.22E+01	1.35E+01	1.12E+01	3.08E+01	1.09E+01	8.60E+00	1.86E+01	1.83E+01
Sample304	1.64E+01	9.37E+00	9.62E+00	8.98E+00	2.72E+01	8.03E+00	1.19E+01	1.47E+01	1.31E+01
Sample305	1.63E+01	1.28E+01	2.59E+01	9.61E+00	3.05E+01	2.35E+01	1.37E+01	2.22E+01	2.32E+01
Sample306	1.10E+01	7.23E+00	9.65E+00	9.10E+00	2.28E+01	2.25E+01	8.50E+00	1.68E+01	1.25E+01
Sample307	2.85E+01	1.04E+01	1.52E+01	8.92E+00	2.18E+01	1.59E+01	9.20E+00	9.13E+00	1.25E+01
Sample308	2.94E+01	1.26E+01	2.22E+01	1.47E+01	3.00E+01	6.03E+00	8.20E+00	1.44E+01	1.38E+01
Sample309	1.34E+01	6.53E+00	2.29E+01	1.13E+01	1.77E+01	9.22E+00	1.12E+01	1.20E+01	2.48E+01
Sample310	1.42E+01	1.98E+01	1.40E+01	1.23E+01	1.82E+01	5.46E+00	9.97E+00	1.87E+01	2.46E+01
Sample311	9.78E+00	5.78E+00	1.01E+01	1.46E+01	2.06E+01	1.47E+01	1.13E+01	6.52E+00	1.73E+01
Sample312	2.45E+01	7.74E+00	2.31E+01	1.76E+01	2.17E+01	9.15E+00	1.60E+01	1.10E+01	2.53E+01
Sample313	2.28E+01	1.13E+01	3.77E+01	1.66E+01	1.20E+01	5.76E+00	8.54E+00	2.29E+01	3.28E+01
Sample314	2.14E+01	1.07E+01	1.73E+01	2.15E+01	2.65E+01	2.62E+01	9.04E+00	1.13E+01	1.54E+01
Sample315	2.71E+01	4.40E+00	1.45E+01	1.18E+01	2.27E+01	1.04E+01	4.40E+00	2.36E+01	1.44E+01
Sample316	3.30E+01	1.19E+01	1.87E+01	1.06E+01	2.59E+01	9.47E+00	1.23E+01	1.37E+01	1.34E+01
Sample317	2.40E+01	5.24E+00	1.66E+01	1.05E+01	3.56E+01	1.25E+01	5.17E+00	1.04E+01	1.41E+01
Sample318	9.36E+00	3.23E+00	1.65E+01	1.70E+01	8.54E+00	1.50E+01	1.17E+01	2.52E+01	1.79E+01
Sample319	2.04E+01	5.32E+00	1.98E+01	1.77E+01	2.15E+01	8.54E+00	1.01E+01	1.57E+01	1.31E+01
Sample320	2.27E+01	5.87E+00	2.34E+01	2.24E+01	1.86E+01	1.83E+01	8.11E+00	1.38E+01	1.04E+01
Sample321	2.01E+01	5.50E+00	1.91E+01	1.10E+01	2.16E+01	8.50E+00	6.95E+00	1.40E+01	1.52E+01
Sample322	2.35E+01	8.06E+00	2.26E+01	9.52E+00	1.81E+01	2.18E+01	1.02E+01	3.45E+01	1.02E+01
Sample323	2.51E+01	3.70E+00	1.45E+01	5.41E+00	2.51E+01	6.56E+00	9.71E+00	1.18E+01	1.38E+01
Sample324	1.97E+01	9.52E+00	2.08E+01	1.20E+01	2.37E+01	1.91E+01	9.15E+00	2.03E+01	2.07E+01
Sample325	2.93E+01	5.12E+00	1.89E+01	1.24E+01	2.36E+01	5.71E+00	1.02E+01	2.01E+01	2.22E+01
Sample326	2.71E+01	6.76E+00	1.14E+01	1.05E+01	3.24E+01	8.48E+00	4.95E+00	1.39E+01	1.86E+01
Sample327	2.21E+01	9.76E+00	1.27E+01	1.20E+01	3.66E+01	7.03E+00	7.94E+00	1.05E+01	2.14E+01
Sample328	1.06E+01	6.96E+00	2.52E+01	1.05E+01	1.10E+01	3.47E+01	1.10E+01	3.52E+01	1.98E+01
Sample329	1.50E+01	1.73E+01	1.70E+01	3.29E+00	1.40E+01	2.37E+01	1.24E+01	2.56E+01	2.03E+01
Sample330	2.64E+01	1.08E+01	2.52E+01	9.50E+00	2.80E+01	5.16E+00	8.93E+00	1.68E+01	2.13E+01
Sample331	2.10E+01	1.90E+01	2.48E+01	1.40E+01	1.87E+01	1.35E+01	1.55E+01	2.60E+01	1.06E+01
Sample332	2.17E+01	8.05E+00	1.76E+01	1.81E+01	3.19E+01	2.19E+01	6.19E+00	1.28E+01	1.32E+01
Sample333	2.14E+01	1.13E+01	1.71E+01	1.20E+01	2.21E+01	2.38E+01	1.10E+01	2.84E+01	1.42E+01
Sample334	2.80E+01	8.14E+00	1.33E+01	5.78E+00	1.64E+01	6.71E+00	6.28E+00	1.36E+01	1.16E+01
Sample335	2.14E+01	2.55E+01	3.50E+01	7.86E+00	1.56E+01	1.77E+01	1.36E+01	2.50E+01	9.89E+00
Sample336	2.62E+01	7.45E+00	2.47E+01	3.18E+01	1.94E+01	2.50E+01	6.47E+00	1.88E+01	1.17E+01
Sample337	3.07E+01	6.29E+00	1.41E+01	8.03E+00	3.02E+01	1.08E+01	8.17E+00	1.51E+01	1.64E+01
Sample338	1.21E+01	7.04E+00	2.05E+01	6.31E+00	3.08E+00	8.78E+00	2.00E+01	2.60E+01	1.11E+01
Sample339	1.50E+01	8.30E+00	1.61E+01	1.30E+01	1.60E+01	6.67E+00	1.04E+01	1.91E+01	1.38E+01
Sample340	2.58E+01	6.49E+00	9.92E+00	9.29E+00	2.70E+01	6.79E+00	8.85E+00	1.39E+01	2.31E+01
Sample341	1.97E+01	1.05E+01	2.43E+01	1.25E+01	1.70E+01	1.01E+01	1.10E+01	1.63E+01	2.38E+01
Sample342	1.36E+01	1.38E+01	1.69E+01	1.46E+01	2.08E+01	1.35E+01	1.16E+01	2.41E+01	1.65E+01
Sample343	1.96E+01	1.21E+01	1.18E+01	1.61E+01	2.08E+01	9.86E+00	9.51E+00	2.39E+01	3.06E+01
Sample344	3.80E+01	6.23E+00	1.67E+01	1.08E+01	2.72E+01	9.71E+00	1.36E+01	2.31E+01	1.70E+01
Sample345	2.32E+01	1.08E+01	1.86E+01	6.86E+00	2.04E+01	2.26E+01	1.19E+01	2.97E+01	1.50E+01
Sample346	2.17E+01	1.45E+01	2.15E+01	8.06E+00	1.67E+01	3.56E+01	8.56E+00	3.00E+01	1.77E+01
Sample347	1.75E+01	4.61E+00	1.54E+01	9.72E+00	1.50E+01	1.33E+01	5.91E+00	1.19E+01	1.79E+01
Sample348	2.73E+01	2.08E+01	3.85E+01	1.06E+01	1.68E+01	1.10E+01	8.55E+00	3.61E+01	1.45E+01
Sample349	2.64E+01	1.23E+01	2.47E+01	2.01E+01	3.04E+01	1.85E+01	9.00E+00	2.00E+01	3.77E+01
Sample350	2.06E+01	8.25E+00	1.39E+01	6.72E+00	2.56E+01	1.14E+01	7.37E+00	1.86E+01	1.67E+01
Sample351	2.91E+01	7.16E+00	1.12E+01	9.76E+00	3.66E+01	8.95E+00	1.25E+01	1.27E+01	2.10E+01
Sample352	9.94E+00	9.58E+00	2.04E+01	2.04E+01	2.14E+01	2.94E+01	3.75E+00	1.73E+01	1.38E+01
Sample353	1.36E+01	2.16E+01	3.65E+01	9.13E+00	1.56E+01	2.30E+01	1.51E+01	1.75E+01	4.19E+01
Sample354	1.72E+01	1.22E+01	1.67E+01	9.59E+00	3.21E+01	2.82E+01	9.89E+00	2.27E+01	2.20E+01
Sample355	2.05E+01	4.69E+00	2.93E+01	1.35E+01	1.57E+01	1.13E+01	8.50E+00	1.93E+01	1.08E+01
Sample356	2.19E+01	5.55E+00	1.78E+01	1.06E+01	1.83E+01	9.01E+00	9.22E+00	1.21E+01	2.10E+01
Sample357	1.40E+01	9.17E+00	1.43E+01	1.20E+01	1.91E+01	7.51E+00	9.59E+00	9.11E+00	1.66E+01
Sample358	1.82E+01	4.37E+00	2.08E+01	1.97E+01	1.48E+01	1.83E+01	7.61E+00	1.04E+01	1.03E+01
Sample359	3.73E+01	2.08E+01	1.83E+01	4.95E+00	2.58E+01	1.81E+01	1.05E+01	2.54E+01	2.68E+01
Sample360	1.64E+01	1.09E+01	1.83E+01	9.54E+00	1.90E+01	9.40E+00	6.19E+00	2.16E+01	2.03E+01
Sample361	1.79E+01	1.04E+01	1.05E+01	1.67E+01	1.77E+01	2.47E+00	5.12E+00	2.79E+01	1.54E+01
Sample362	2.98E+01	8.79E+00	1.88E+01	1.46E+01	2.28E+01	1.17E+01	9.51E+00	1.81E+01	1.98E+01
Sample363	1.91E+01	1.11E+01	1.41E+01	1.02E+01	2.10E+01	9.28E+00	6.71E+00	2.08E+01	2.00E+01
Sample364	1.23E+01	1.55E+01	1.56E+01	6.89E+00	1.13E+01	1.22E+01	1.10E+01	1.69E+01	1.23E+01
Sample365	1.75E+01	9.28E+00	1.41E+01	1.02E+01	3.79E+01	1.00E+01	6.26E+00	2.58E+01	2.50E+01
Sample366	2.61E+01	7.78E+00	1.75E+01	7.57E+00	1.60E+01	9.71E+00	1.06E+01	1.25E+01	1.61E+01
Sample367	1.35E+01	1.19E+01	1.60E+01	9.76E+00	1.16E+01	1.89E+01	7.83E+00	3.14E+01	1.34E+01
Sample368	2.91E+01	1.21E+01	1.86E+01	1.11E+01	3.87E+01	6.83E+00	6.96E+00	1.67E+01	1.91E+01
Sample369	2.65E+01	7.18E+00	1.08E+01	8.86E+00	2.35E+01	1.10E+01	2.94E+00	1.25E+01	1.11E+01
Sample370	2.21E+01	8.45E+00	1.30E+01	8.25E+00	2.64E+01	1.07E+01	9.56E+00	1.19E+01	1.21E+01
Sample371	2.64E+01	8.50E+00	1.02E+01	9.70E+00	2.72E+01	1.14E+01	1.20E+01	2.49E+01	1.16E+01
Sample372	3.19E+01	8.34E+00	1.31E+01	6.90E+00	3.68E+01	8.70E+00	1.43E+01	9.59E+00	1.49E+01
Sample373	1.80E+01	1.79E+01	3.24E+01	1.07E+01	1.82E+01	1.32E+01	6.16E+00	2.55E+01	2.14E+01
Sample374	1.93E+01	1.14E+01	1.67E+01	9.51E+00	1.74E+01	3.76E+00	1.03E+01	2.11E+01	1.27E+01
Sample375	2.04E+01	4.94E+00	2.38E+01	1.77E+01	3.30E+01	1.98E+01	1.00E+01	2.16E+01	1.61E+01
Sample376	2.35E+01	1.28E+01	2.55E+01	9.47E+00	1.41E+01	2.75E+01	7.42E+00	3.50E+01	1.95E+01
Sample377	4.07E+01	2.59E+01	4.96E+01	2.79E+01	2.90E+01	1.18E+01	1.52E+01	2.46E+01	2.19E+01
Sample378	1.30E+01	8.51E+00	1.76E+01	6.48E+00	8.73E+00	2.72E+01	7.07E+00	2.20E+01	7.61E+00
Sample379	2.56E+01	5.54E+00	1.65E+01	8.94E+00	2.64E+01	1.08E+01	8.45E+00	2.02E+01	1.68E+01
Sample380	1.80E+01	3.02E+01	2.13E+01	1.56E+01	4.76E+00	1.09E+01	1.06E+01	2.31E+01	1.44E+01
Sample381	2.06E+01	2.02E+01	2.61E+01	1.05E+01	2.20E+01	4.57E+00	7.18E+00	2.68E+01	1.86E+01
Sample382	2.99E+01	2.29E+01	3.50E+01	1.01E+01	2.81E+01	1.53E+01	1.11E+01	2.97E+01	9.24E+00
Sample383	2.33E+01	5.72E+00	1.36E+01	1.34E+01	2.92E+01	9.58E+00	7.78E+00	1.36E+01	2.17E+01
Sample384	2.59E+01	5.98E+00	2.41E+01	1.25E+01	2.20E+01	9.72E+00	1.18E+01	1.72E+01	2.45E+01
Sample385	2.66E+01	4.86E+00	1.59E+01	1.15E+01	2.40E+01	7.16E+00	1.11E+01	1.96E+01	1.02E+01
Sample386	2.45E+01	8.46E+00	1.83E+01	1.37E+01	2.08E+01	1.93E+01	1.05E+01	1.47E+01	1.86E+01
Sample387	3.55E+01	5.79E+00	1.36E+01	8.96E+00	1.39E+01	1.10E+01	7.99E+00	1.80E+01	1.31E+01
Sample388	2.07E+01	1.20E+01	2.50E+01	5.70E+00	2.90E+01	9.91E+00	8.74E+00	9.95E+00	3.19E+01
Sample389	3.64E+01	9.55E+00	1.99E+01	9.87E+00	2.99E+01	6.98E+00	1.29E+01	1.52E+01	1.77E+01
Sample390	3.36E+01	7.49E+00	2.64E+01	1.72E+01	3.94E+01	8.03E+00	6.00E+00	3.35E+01	1.46E+01
Sample391	1.91E+01	2.09E+01	1.67E+01	1.08E+01	1.31E+01	2.75E+01	6.95E+00	2.40E+01	9.80E+00
Sample392	1.95E+01	1.30E+01	1.90E+01	9.71E+00	1.72E+01	1.11E+01	6.03E+00	1.51E+01	1.70E+01
Sample393	2.50E+01	2.19E+01	1.06E+01	2.98E+01	2.17E+01	2.07E+01	1.71E+01	5.64E+00	1.91E+01
Sample394	1.63E+01	9.18E+00	3.78E+01	1.86E+01	3.05E+01	1.25E+01	1.55E+01	2.84E+01	2.45E+01
Sample395	1.78E+01	1.43E+01	1.55E+01	6.16E+00	1.97E+01	1.16E+01	1.54E+01	2.00E+01	1.18E+01
Sample396	2.83E+01	6.98E+00	1.71E+01	9.20E+00	3.21E+01	5.57E+00	1.10E+01	1.81E+01	1.79E+01
Sample397	1.98E+01	1.17E+01	1.66E+01	6.87E+00	2.18E+01	8.12E+00	7.95E+00	2.02E+01	1.31E+01
Sample398	2.10E+01	6.04E+00	1.38E+01	6.96E+00	2.25E+01	6.87E+00	7.76E+00	1.08E+01	1.98E+01
Sample399	2.74E+01	3.32E+00	2.57E+01	1.45E+01	2.07E+01	7.56E+00	9.36E+00	7.48E+00	1.90E+01
Sample400	2.60E+01	9.97E+00	2.52E+01	1.40E+01	1.16E+01	1.30E+01	1.12E+01	1.20E+01	1.64E+01
Sample401	1.43E+01	1.23E+01	3.42E+01	1.58E+01	1.84E+01	4.96E+00	1.09E+01	2.61E+01	2.61E+01
Sample402	2.53E+01	7.51E+00	1.87E+01	7.08E+00	1.97E+01	9.92E+00	7.03E+00	1.32E+01	1.83E+01
Sample403	2.42E+01	5.49E+00	1.40E+01	8.20E+00	2.07E+01	6.96E+00	5.00E+00	1.84E+01	1.20E+01
Sample404	2.24E+01	8.49E+00	2.45E+01	1.23E+01	1.56E+01	9.93E+00	9.64E+00	1.11E+01	2.39E+01
Sample405	2.26E+01	6.86E+00	8.53E+00	1.25E+01	2.22E+01	1.11E+01	1.12E+01	1.29E+01	1.72E+01
