Samples	Signature A	Signature B	Signature C	Signature D
Sample214	795	205	0	0
Sample215	632	0	0	382
Sample216	446	343	0	205
Sample217	302	666	0	0
Sample218	851	0	0	137
Sample219	190	0	432	377
Sample220	0	788	0	221
Sample221	0	700	329	0
Sample222	889	0	0	127
Sample223	313	655	0	0
Sample224	220	755	0	0
Sample225	732	260	0	0
Sample226	668	0	189	122
Sample227	660	0	242	113
Sample228	585	250	0	139
Sample229	618	0	0	400
Sample230	742	258	0	0
Sample231	0	775	0	188
Sample232	742	272	0	0
Sample233	405	0	569	0
Sample234	880	0	0	128
Sample235	861	0	0	124
Sample236	712	310	0	0
Sample237	410	0	562	0
Sample238	408	0	634	0
Sample239	752	264	0	0
Sample240	842	0	0	158
Sample241	986	0	0	0
Sample242	0	0	668	322
Sample243	0	697	278	0
Sample244	732	260	0	0
Sample245	708	305	0	0
Sample246	826	0	0	160
Sample247	805	209	0	0
Sample248	801	0	0	214
Sample249	733	246	0	0
Sample250	377	653	0	0
Sample251	608	0	0	409
Sample252	767	241	0	0
Sample253	686	0	193	100
Sample254	736	244	0	0
Sample255	271	723	0	0
Sample256	410	0	562	0
Sample257	770	0	222	0
Sample258	645	363	0	0
Sample259	800	192	0	0
Sample260	844	0	0	141
Sample261	602	0	0	406
Sample262	193	793	0	0
Sample263	251	723	0	0
Sample264	801	207	0	0
Sample265	591	0	0	426
Sample266	734	245	0	0
Sample267	457	291	252	0
Sample268	858	0	0	131
Sample269	459	337	0	217
Sample270	190	0	432	377
Sample271	760	248	0	0
Sample272	591	0	0	394
Sample273	301	684	0	0
Sample274	700	300	0	0
Sample275	756	271	0	0
Sample276	510	498	0	0
Sample277	758	229	0	0
Sample278	723	262	0	0
Sample279	659	0	242	124
Sample280	738	242	0	0
Sample281	794	224	0	0
Sample282	0	657	320	0
Sample283	760	232	0	0
Sample284	237	738	0	0
Sample285	350	0	438	202
Sample286	0	680	335	0
Sample287	781	227	0	0
Sample288	638	338	0	0
Sample289	801	226	0	0
Sample290	332	697	0	0
Sample291	254	710	0	0
Sample292	810	198	0	0
Sample293	560	0	0	439
Sample294	834	0	0	166
Sample295	752	0	240	0
Sample296	269	404	346	0
Sample297	743	249	0	0
Sample298	407	0	616	0
Sample299	863	0	0	145
Sample300	714	302	0	0
Sample301	323	658	0	0
Sample302	732	260	0	0
Sample303	816	184	0	0
Sample304	721	287	0	0
Sample305	393	636	0	0
Sample306	320	657	0	0
Sample307	646	0	221	152
Sample308	800	219	0	0
Sample309	769	239	0	0
Sample310	773	219	0	0
Sample311	603	0	263	119
