Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H
Sample52	2.97E+00	5.28E+00	4.00E+00	5.45E+00	7.55E+00	3.63E+00	3.12E+00	3.20E+00
Sample53	7.50E-01	0.00E+00	0.00E+00	0.00E+00	1.25E-01	0.00E+00	1.24E+00	1.12E+00
Sample54	4.33E+00	3.36E+00	5.17E+00	1.99E+00	2.98E+00	0.00E+00	2.20E+00	1.12E+00
Sample55	4.94E+00	2.90E+00	2.79E+00	6.96E+00	4.84E+00	3.75E-01	2.33E+00	7.12E+00
Sample56	3.20E+00	4.83E+00	5.17E+00	4.18E+00	5.14E+00	5.42E+00	1.25E-01	4.20E+00
Sample57	3.09E+00	4.52E+00	4.69E+00	2.40E+00	4.00E+00	0.00E+00	1.25E-01	2.28E+00
Sample58	1.89E+00	3.53E+00	4.63E+00	4.04E+00	3.53E+00	2.99E+00	1.40E+00	8.75E-01
Sample59	1.20E+01	3.42E+00	2.04E+00	6.39E+00	1.60E+00	3.28E+00	3.62E+00	9.72E+00
Sample60	1.14E+00	5.66E+00	4.31E+00	3.81E+00	4.53E+00	3.65E+00	1.12E+00	1.12E+00
Sample61	4.75E+00	3.57E+00	3.97E+00	4.03E+00	4.36E+00	0.00E+00	1.11E+00	5.25E+00
Sample62	7.74E+00	1.36E+00	3.10E+00	6.11E+00	1.08E+00	8.23E+00	2.43E+00	7.84E+00
Sample63	3.12E+00	5.78E+00	6.12E+00	2.75E+00	3.77E+00	0.00E+00	7.50E-01	1.42E+00
Sample64	8.81E+00	3.89E+00	3.04E+00	5.50E+00	2.31E+00	5.75E+00	2.08E+00	5.36E+00
Sample65	4.94E+00	3.55E+00	1.62E+00	8.40E+00	8.30E+00	7.50E-01	5.39E+00	1.34E+01
Sample66	1.50E+00	3.51E+00	5.01E+00	3.62E+00	4.40E+00	1.12E+00	3.75E-01	1.15E+00
Sample67	1.25E-01	5.07E+00	5.29E+00	4.59E+00	6.45E+00	0.00E+00	6.25E-01	1.90E+00
Sample68	7.96E+00	2.74E+00	2.58E+00	4.68E+00	2.93E+00	8.15E+00	8.85E-01	6.74E+00
Sample69	3.75E-01	6.54E+00	7.40E+00	1.23E+00	5.02E+00	0.00E+00	1.56E+00	1.50E+00
Sample70	4.37E+00	4.93E+00	3.36E+00	1.12E+00	4.60E+00	3.43E+00	0.00E+00	4.40E+00
Sample71	2.37E+00	4.92E+00	2.90E+00	4.35E+00	5.94E+00	1.40E+00	2.66E+00	1.62E+00
Sample72	3.56E+00	5.69E+00	5.42E+00	3.58E+00	2.82E+00	1.25E+00	1.16E+00	1.37E+00
Sample73	5.05E+00	3.88E+00	3.95E+00	2.00E+00	5.91E+00	0.00E+00	6.25E-01	1.42E+00
Sample74	1.23E+00	5.69E+00	3.79E+00	2.97E+00	5.26E+00	1.12E+00	7.56E-01	3.43E+00
Sample75	2.51E+00	6.09E+00	6.32E+00	3.13E+00	4.82E+00	7.43E-01	2.01E+00	3.42E+00
Sample76	1.12E+00	5.40E+00	7.28E+00	5.28E+00	7.91E+00	5.00E-01	1.57E+00	1.80E+00
Sample77	1.43E+01	1.72E+00	5.19E+00	7.37E+00	1.88E+00	7.44E+00	3.20E+00	7.54E+00
Sample78	9.48E+00	3.97E+00	1.64E+00	7.28E+00	9.99E-01	6.34E+00	3.75E-01	6.60E+00
Sample79	1.14E+01	0.00E+00	2.50E-01	8.84E+00	7.50E-01	5.94E+00	6.81E-01	9.59E+00
Sample80	0.00E+00	6.25E-01	2.25E+00	0.00E+00	5.00E-01	0.00E+00	2.21E+00	0.00E+00
Sample81	1.58E+00	3.55E+00	3.55E+00	1.75E+00	2.96E+00	2.25E+00	3.38E+00	2.20E+00
Sample82	2.72E+00	4.26E+00	4.49E+00	2.90E+00	3.78E+00	1.31E+00	7.50E-01	1.62E+00
Sample83	9.80E+00	1.37E+00	1.90E+00	5.84E+00	3.87E+00	5.61E+00	9.44E-01	1.27E+01
Sample84	7.37E+00	3.12E+00	1.02E+00	4.38E+00	1.16E+00	4.75E+00	1.60E+00	8.01E+00
Sample85	1.02E+01	3.39E+00	2.88E+00	8.12E+00	2.75E+00	5.77E+00	1.25E+00	8.91E+00
Sample86	8.58E+00	4.12E-01	1.51E+00	4.74E+00	1.95E+00	3.50E+00	2.93E+00	8.80E+00
Sample87	2.23E+00	3.55E+00	5.11E+00	7.50E-01	4.47E+00	0.00E+00	1.76E+00	1.75E+00
Sample88	4.61E+00	3.65E+00	5.82E+00	3.85E+00	5.24E+00	4.95E+00	8.44E-01	2.57E+00
