Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1606	60307	1.0	1406.773	2.333%	228.611	2.001%	0.0007
Sample1607	60336	1.0	1407.381	2.333%	228.259	1.997%	0.0007
Sample1608	60366	1.0	1412.099	2.339%	228.674	2.0%	0.0007
Sample1609	60393	1.0	1412.852	2.339%	228.832	2.0%	0.0007
Sample1610	60426	1.0	1408.173	2.33%	227.837	1.99%	0.0007
Sample1611	60465	1.0	1401.13	2.317%	226.937	1.981%	0.0007
Sample1612	60498	1.0	1400.992	2.316%	226.918	1.98%	0.0008
Sample1613	60529	1.0	1404.569	2.32%	227.664	1.985%	0.0008
Sample1614	60557	1.0	1401.198	2.314%	227.068	1.979%	0.0008
Sample1615	60596	1.0	1404.773	2.318%	227.812	1.984%	0.0008
Sample1616	60627	1.0	1404.541	2.317%	228.04	1.985%	0.0008
Sample1617	60670	1.0	1411.552	2.327%	228.879	1.991%	0.0008
Sample1618	60693	1.0	1405.057	2.315%	227.715	1.98%	0.0007
Sample1619	60770	1.0	1413.813	2.326%	228.938	1.988%	0.0008
Sample1620	60946	1.0	1378.928	2.263%	225.912	1.959%	0.0007
Sample1621	60973	1.0	1376.641	2.258%	225.912	1.958%	0.0007
Sample1622	61002	1.0	1374.285	2.253%	225.962	1.958%	0.0007
Sample1623	61029	1.0	1372.138	2.248%	225.651	1.954%	0.0007
Sample1624	61063	1.0	1376.682	2.255%	226.393	1.959%	0.0007
Sample1625	61094	1.0	1380.098	2.259%	226.851	1.962%	0.0007
Sample1626	61173	1.0	1398.084	2.285%	228.691	1.976%	0.0007
Sample1627	61253	1.0	1417.662	2.314%	231.495	1.998%	0.0007
Sample1628	61289	1.0	1418.174	2.314%	232.473	2.005%	0.0007
Sample1629	61317	1.0	1416.671	2.31%	232.175	2.002%	0.0007
Sample1630	61356	1.0	1418.186	2.311%	232.13	2.0%	0.0007
Sample1631	61388	1.0	1423.361	2.319%	232.989	2.006%	0.0007
Sample1632	61462	1.0	1434.192	2.333%	234.882	2.021%	0.0008
Sample1633	61474	1.0	1431.583	2.329%	235.037	2.022%	0.0007
Sample1634	61501	1.0	1429.128	2.324%	234.533	2.016%	0.0007
Sample1635	61528	1.0	1426.69	2.319%	234.304	2.013%	0.0007
Sample1636	61566	1.0	1428.805	2.321%	234.806	2.016%	0.0007
