Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F
Sample68	1.99E+00	9.30E+00	2.45E+00	0.00E+00	8.51E+00	1.36E+00
Sample69	3.12E+00	0.00E+00	2.06E+00	3.40E+00	6.04E+00	6.91E+00
Sample70	2.18E+00	2.66E+00	1.40E+00	5.56E+00	7.91E+00	9.79E+00
Sample71	3.87E+00	0.00E+00	4.15E+00	7.98E+00	6.40E+00	7.16E+00
Sample72	0.00E+00	1.20E+00	2.23E+00	3.84E+00	4.13E+00	6.02E+00
Sample73	0.00E+00	3.42E+00	2.37E+00	6.06E+00	6.22E+00	3.45E+00
Sample74	2.20E+00	0.00E+00	2.33E+00	8.80E+00	1.01E+01	3.23E+00
Sample75	2.97E+00	3.09E+00	2.14E+00	7.27E+00	6.75E+00	8.79E+00
Sample76	3.30E+00	1.40E+00	8.00E-01	5.46E+00	6.97E+00	6.72E+00
Sample77	6.58E+00	1.18E+01	8.53E+00	1.19E+01	3.56E+00	2.40E+00
Sample78	8.00E-01	5.48E+00	4.85E+00	5.54E+00	5.43E+00	7.68E+00
Sample79	2.23E+00	3.84E+00	3.80E+00	1.00E+00	2.80E+00	1.80E+00
Sample80	2.36E+00	0.00E+00	2.36E+00	0.00E+00	0.00E+00	0.00E+00
Sample81	3.99E+00	0.00E+00	2.50E+00	8.34E+00	1.08E+01	9.94E+00
Sample82	2.80E+00	1.20E+00	3.17E+00	4.73E+00	6.55E+00	9.17E+00
Sample83	1.17E+00	5.80E+00	3.41E+00	1.60E+00	2.80E+00	6.80E+00
Sample84	4.66E+00	7.85E+00	2.58E+00	2.73E+00	2.20E+00	3.89E+00
Sample85	4.60E+00	1.08E+01	1.46E+00	0.00E+00	3.40E+00	4.91E+00
Sample86	3.12E+00	7.95E+00	1.36E+00	0.00E+00	1.20E+00	5.88E+00
Sample87	3.18E+00	1.20E+00	4.60E+00	7.07E+00	7.93E+00	1.86E+00
Sample88	2.13E+00	5.08E+00	5.84E+00	8.31E+00	9.56E+00	1.00E+00
Sample89	8.00E-01	4.06E+00	1.11E+00	4.40E+00	6.80E+00	4.82E+00
Sample90	0.00E+00	0.00E+00	1.94E+00	5.95E+00	7.19E+00	2.33E+00
Sample91	0.00E+00	7.50E+00	0.00E+00	1.01E+01	9.22E+00	2.96E+00
Sample92	2.80E+00	3.19E+00	1.75E+00	7.40E+00	6.76E+00	7.45E+00
Sample93	5.30E+00	2.76E+00	2.40E+00	2.33E+00	6.79E+00	9.48E+00
Sample94	3.89E+00	9.70E-01	2.77E+00	3.74E+00	2.71E+00	4.19E+00
Sample95	4.17E+00	0.00E+00	2.40E+00	1.02E+01	7.79E+00	7.52E+00
Sample96	1.91E+00	1.00E+00	3.16E+00	4.46E+00	9.26E+00	7.05E+00
Sample97	1.40E+00	2.40E+00	2.53E+00	8.39E+00	6.73E+00	7.19E+00
Sample98	3.06E+00	1.02E+01	6.69E+00	5.32E+00	9.71E+00	7.62E+00
Sample99	0.00E+00	9.31E+00	6.91E+00	1.61E+01	5.70E+00	5.02E+00
Sample100	0.00E+00	0.00E+00	4.99E+00	6.13E+00	1.24E+01	8.98E+00
