Iteration	L1	L1 %	L2	L2 %	KL Divergence
145	2.465	18.585	0.446	21.992	0.031
146	2.487	18.749	0.46	22.545	0.032
147	2.514	18.956	0.467	22.922	0.032
148	2.499	18.819	0.469	22.823	0.032
149	2.507	18.888	0.463	22.784	0.032
150	2.448	18.439	0.451	22.279	0.031
151	2.472	18.63	0.461	22.662	0.032
152	2.489	18.777	0.459	22.66	0.033
153	2.423	18.267	0.443	22.075	0.03
154	2.44	18.37	0.453	22.243	0.031
155	2.545	19.183	0.457	22.54	0.032
156	2.491	18.779	0.453	22.203	0.033
157	2.477	18.659	0.455	22.337	0.031
158	2.567	19.349	0.476	23.263	0.033
159	2.469	18.595	0.45	22.217	0.031
160	2.429	18.253	0.459	22.401	0.03
161	2.488	18.791	0.458	22.573	0.032
162	2.513	18.944	0.466	22.759	0.032
163	2.542	19.155	0.464	22.789	0.033
164	2.476	18.596	0.464	22.549	0.031
165	2.493	18.814	0.46	22.581	0.032
166	2.47	18.65	0.454	22.387	0.031
167	2.509	18.88	0.463	22.609	0.032
168	2.413	18.175	0.443	22.176	0.031
169	2.41	18.158	0.442	21.791	0.03
170	2.405	18.127	0.448	22.069	0.031
171	2.465	18.591	0.46	22.611	0.032
172	2.501	18.812	0.458	22.706	0.032
173	2.456	18.484	0.455	22.348	0.031
174	2.578	19.396	0.493	23.775	0.034
175	2.475	18.631	0.461	22.844	0.032
176	2.462	18.522	0.46	22.502	0.031
177	2.359	17.78	0.432	21.523	0.03
178	2.474	18.652	0.45	22.318	0.031
179	2.441	18.378	0.457	22.279	0.031
180	2.427	18.269	0.447	22.172	0.031
181	2.425	18.29	0.441	21.748	0.031
182	2.501	18.871	0.456	22.534	0.032
183	2.493	18.782	0.451	22.175	0.032
184	2.516	18.974	0.46	22.876	0.034
185	2.456	18.539	0.464	22.802	0.033
186	2.379	17.901	0.434	21.326	0.029
187	2.413	18.181	0.443	21.999	0.03
188	2.429	18.28	0.453	22.326	0.031
189	2.442	18.43	0.447	22.117	0.031
190	2.401	18.096	0.433	21.492	0.03
191	2.537	19.099	0.469	22.876	0.032
192	2.542	19.142	0.466	22.82	0.032
193	2.564	19.306	0.469	22.993	0.032
194	2.455	18.499	0.449	22.249	0.031
195	2.482	18.701	0.455	22.594	0.032
196	2.463	18.552	0.463	22.85	0.032
197	2.457	18.52	0.459	22.634	0.032
198	2.464	18.546	0.463	22.62	0.03
199	2.441	18.412	0.45	22.345	0.031
200	2.551	19.24	0.475	23.384	0.033
201	2.511	18.916	0.465	22.803	0.032
202	2.48	18.682	0.459	22.616	0.031
203	2.481	18.701	0.463	22.775	0.032
204	2.413	18.185	0.452	22.391	0.03
205	2.482	18.726	0.456	22.376	0.032
206	2.504	18.879	0.463	22.63	0.033
207	2.526	19.043	0.483	23.368	0.033
208	2.445	18.399	0.457	22.539	0.031
209	2.532	19.1	0.473	23.201	0.033
210	2.494	18.8	0.471	23.163	0.033
211	2.412	18.163	0.448	22.07	0.03
212	2.489	18.731	0.47	22.957	0.032
213	2.462	18.55	0.449	22.166	0.031
214	2.479	18.697	0.453	22.314	0.032
215	2.407	18.13	0.452	22.382	0.031
216	2.513	18.947	0.466	22.923	0.032
217	2.509	18.869	0.461	22.604	0.031
218	2.44	18.377	0.448	22.179	0.031
219	2.472	18.641	0.457	22.494	0.032
220	2.457	18.533	0.454	22.508	0.032
221	2.566	19.321	0.476	23.276	0.033
222	2.417	18.182	0.448	22.254	0.031
223	2.48	18.689	0.464	22.796	0.032
224	2.49	18.727	0.464	22.704	0.032
225	2.528	19.057	0.46	22.605	0.032
226	2.44	18.371	0.449	22.198	0.031
227	2.452	18.477	0.447	22.273	0.032
228	2.466	18.586	0.454	22.329	0.032
229	2.5	18.83	0.468	22.897	0.032
230	2.515	18.919	0.474	23.139	0.032
231	2.484	18.706	0.462	22.673	0.031
232	2.431	18.328	0.454	22.549	0.031
233	2.468	18.607	0.456	22.58	0.032
234	2.459	18.503	0.461	22.663	0.032
235	2.541	19.162	0.46	22.69	0.033
236	2.459	18.563	0.451	22.278	0.031
237	2.493	18.799	0.455	22.516	0.032
238	2.473	18.625	0.461	22.717	0.032
239	2.435	18.322	0.453	22.197	0.03
240	2.451	18.483	0.452	22.284	0.031
241	2.473	18.6	0.467	22.759	0.032
242	2.521	18.972	0.457	22.534	0.032
243	2.408	18.149	0.456	22.465	0.031
244	2.393	18.019	0.457	22.571	0.031
245	2.489	18.804	0.456	22.599	0.032
246	2.402	18.099	0.45	22.144	0.03
247	2.429	18.274	0.445	22.017	0.03
248	2.48	18.711	0.46	22.567	0.032
249	2.488	18.768	0.458	22.516	0.032
250	2.495	18.819	0.464	22.902	0.032
251	2.469	18.59	0.446	22.106	0.031
252	2.518	18.945	0.483	23.455	0.032
253	2.38	17.922	0.437	21.713	0.03
254	2.447	18.437	0.456	22.362	0.031
255	2.44	18.387	0.446	22.236	0.031
256	2.496	18.792	0.468	22.798	0.032
257	2.508	18.904	0.47	22.921	0.032
258	2.476	18.687	0.461	22.648	0.033
259	2.381	17.986	0.426	21.395	0.03
260	2.448	18.46	0.445	22.131	0.031
261	2.497	18.842	0.464	22.657	0.032
262	2.478	18.68	0.448	22.15	0.032
263	2.431	18.316	0.457	22.589	0.031
264	2.5	18.842	0.468	22.987	0.032
265	2.459	18.491	0.453	22.252	0.03
266	2.451	18.498	0.445	22.169	0.031
267	2.465	18.57	0.455	22.644	0.032
268	2.463	18.55	0.452	22.422	0.032
269	2.46	18.547	0.453	22.34	0.031
270	2.444	18.426	0.459	22.589	0.032
271	2.44	18.39	0.451	22.182	0.031
272	2.5	18.826	0.448	22.25	0.032
273	2.497	18.816	0.464	22.888	0.032
274	2.529	19.07	0.47	23.149	0.033
275	2.428	18.304	0.455	22.502	0.031
276	2.481	18.681	0.461	22.655	0.032
277	2.405	18.088	0.446	22.109	0.03
278	2.425	18.28	0.467	22.946	0.031
279	2.484	18.708	0.459	22.461	0.032
280	2.489	18.801	0.442	22.064	0.032
281	2.444	18.435	0.452	22.404	0.031
282	2.541	19.167	0.468	22.919	0.033
283	2.47	18.555	0.463	22.566	0.031
284	2.467	18.619	0.458	22.523	0.032
285	2.452	18.497	0.456	22.609	0.031
286	2.511	18.952	0.464	22.93	0.033
287	2.536	19.119	0.473	23.262	0.034
288	2.457	18.5	0.466	22.885	0.031
289	2.46	18.537	0.448	22.177	0.031
290	2.53	18.907	0.502	23.243	0.034
291	2.442	18.4	0.465	22.814	0.032
