Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I
Sample47	3.32E+01	4.81E+01	9.43E+01	1.08E+02	7.14E+01	2.01E+00	6.69E+01	5.25E+01	5.49E+00
Sample48	3.82E+00	4.75E+00	1.43E+02	1.12E+02	2.64E+01	3.36E+01	1.21E+02	3.19E+01	2.51E+01
Sample49	3.06E+01	1.45E+01	2.70E+01	1.11E+02	2.77E+01	1.11E+01	5.11E+01	4.11E+01	1.04E+02
Sample50	2.63E+01	4.50E+01	4.00E+01	4.49E+01	1.39E+01	1.01E+02	1.14E+02	0.00E+00	7.67E+01
Sample51	5.45E+00	4.74E+01	1.06E+02	1.12E+02	1.42E+02	1.73E+01	1.46E+02	1.12E+00	2.64E+01
Sample52	1.00E+00	5.12E+01	5.43E+01	1.08E+02	1.06E+01	2.02E+01	1.73E+02	5.15E+01	4.13E+01
Sample53	4.56E+01	5.34E+01	3.16E+01	2.49E+01	8.42E+01	3.48E+01	8.06E+01	9.44E+01	8.45E+01
Sample54	5.53E+01	3.66E+01	2.66E+01	1.10E+02	3.95E+01	1.73E+01	6.52E+01	2.76E+01	9.86E+01
Sample55	4.38E+01	1.01E+02	9.27E+01	8.22E+01	1.03E+02	3.25E+01	7.26E+01	3.67E+01	3.29E+01
Sample56	1.73E+00	7.92E+01	5.84E+01	1.13E+02	4.04E+01	4.29E+01	1.03E+02	7.87E+01	1.12E+02
Sample57	2.37E+01	8.11E+01	6.48E+01	8.13E+01	9.11E+01	3.75E+01	3.68E+01	1.36E+01	6.56E+01
Sample58	1.96E+00	5.32E+01	8.21E+01	8.32E+01	1.30E+02	1.43E+01	1.36E+02	4.89E+00	3.24E+01
Sample59	5.29E+01	1.04E+02	4.69E+01	4.92E+01	9.10E+01	2.61E+01	2.49E+01	4.88E+00	5.22E+01
Sample60	2.11E+01	1.02E+02	7.16E+01	4.85E+01	4.32E+01	2.45E+01	4.68E+01	1.15E+02	4.41E+01
Sample61	3.08E+00	1.28E+01	4.78E+01	5.24E+01	8.81E+01	2.40E+01	5.72E+01	3.71E+01	3.33E+01
Sample62	1.01E+01	5.74E+01	8.95E+01	9.73E+01	1.04E+02	2.69E+01	1.04E+02	9.02E+00	1.81E+01
Sample63	5.15E+00	1.86E+01	1.32E+02	1.16E+02	4.49E+01	1.88E+01	1.28E+02	1.47E+01	1.25E+00
