Samples	Signature A	Signature B	Signature C	Signature D	Signature E
Sample80	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Sample81	2.40E+00	3.88E+00	1.00E+01	0.00E+00	8.76E+00
Sample82	1.87E+00	2.36E+00	5.44E+00	1.76E+00	4.18E+00
Sample83	1.26E+00	1.20E+00	3.60E+00	4.05E+00	8.00E-01
Sample84	1.44E+00	3.60E+00	4.66E+00	7.16E+00	3.12E+00
Sample85	1.55E+00	4.20E+00	5.22E+00	8.68E+00	6.00E-01
Sample86	0.00E+00	3.36E+00	4.05E+00	4.33E+00	0.00E+00
Sample87	0.00E+00	2.79E+00	3.56E+00	2.23E+00	3.67E+00
Sample88	6.02E+00	2.03E+00	3.51E+00	4.42E+00	3.29E+00
Sample89	0.00E+00	4.00E-01	6.48E+00	3.89E+00	6.94E+00
Sample90	1.80E+00	0.00E+00	5.83E+00	0.00E+00	5.93E+00
Sample91	0.00E+00	0.00E+00	2.99E+00	6.66E+00	5.91E+00
Sample92	4.00E-01	3.80E+00	7.66E+00	2.40E+00	5.98E+00
Sample93	3.56E+00	5.15E+00	1.04E+01	2.29E+00	7.91E+00
Sample94	3.20E+00	4.32E+00	3.31E+00	9.80E-01	5.74E+00
Sample95	0.00E+00	4.63E+00	8.82E+00	0.00E+00	6.61E+00
Sample96	2.02E+00	1.94E+00	5.20E+00	8.00E-01	3.44E+00
Sample97	1.80E+00	1.36E+00	2.59E+00	1.96E+00	3.22E+00
Sample98	1.68E+01	2.83E+00	8.61E+00	1.15E+01	9.56E+00
Sample99	1.01E+01	0.00E+00	8.99E+00	8.41E+00	4.02E+00
Sample100	3.28E+00	0.00E+00	9.43E+00	0.00E+00	1.22E+01
