Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F
Sample295	2.42E+01	7.84E+00	9.86E+00	2.98E+01	1.26E+01	1.20E+01
Sample296	2.96E+01	4.22E+00	4.25E+01	2.97E+01	4.22E+01	1.72E+01
Sample297	1.85E+01	9.55E+00	1.62E+01	9.15E+00	1.53E+01	1.05E+01
Sample298	1.60E+01	1.21E+01	2.25E+01	3.14E+01	2.61E+01	2.81E+01
Sample299	1.32E+01	1.54E+01	1.35E+01	1.17E+01	9.08E+00	1.31E+01
Sample300	1.03E+01	2.18E+01	2.87E+01	1.79E+01	1.01E+01	1.91E+01
Sample301	3.85E+01	1.22E+01	4.79E+01	3.27E+01	4.89E+01	3.09E+01
Sample302	1.55E+01	1.14E+01	2.20E+01	5.67E+00	1.47E+01	2.08E+01
Sample303	1.61E+01	9.38E+00	6.28E+00	1.79E+01	8.59E+00	2.51E+01
Sample304	1.75E+01	2.19E+01	1.69E+01	1.96E+01	1.11E+01	2.55E+01
Sample305	3.83E+01	7.97E+00	4.14E+01	2.27E+01	5.25E+01	2.21E+01
Sample306	3.43E+01	7.73E+00	4.29E+01	3.02E+01	4.54E+01	1.99E+01
Sample307	1.83E+01	1.73E+01	2.08E+01	1.98E+01	1.74E+01	1.66E+01
Sample308	1.39E+01	7.34E+00	1.12E+01	1.92E+01	2.04E+01	2.51E+01
Sample309	1.17E+01	1.37E+01	1.34E+01	2.79E+01	6.42E+00	1.54E+01
Sample310	1.90E+01	8.63E+00	1.43E+01	1.77E+01	1.39E+01	2.42E+01
Sample311	2.94E+01	1.38E+01	1.33E+01	1.75E+01	1.51E+01	1.92E+01
Sample312	3.46E+01	1.38E+01	2.55E+01	1.64E+01	1.33E+01	1.44E+01
Sample313	4.02E+01	5.03E+00	1.49E+01	2.85E+01	1.35E+01	1.11E+01
Sample314	2.74E+01	3.30E+01	1.66E+01	1.59E+01	2.74E+01	2.04E+01
Sample315	1.41E+01	1.32E+01	1.93E+01	1.61E+01	2.12E+01	1.53E+01
Sample316	7.94E+00	9.33E+00	1.72E+01	2.11E+01	1.63E+01	1.38E+01
Sample317	7.94E+00	5.38E+00	1.61E+01	1.28E+01	1.42E+01	2.31E+01
Sample318	2.48E+01	2.40E+01	8.14E+00	2.50E+01	1.66E+01	1.45E+01
Sample319	1.80E+01	1.18E+01	1.60E+01	1.77E+01	2.07E+01	1.04E+01
Sample320	2.71E+01	3.11E+01	1.66E+01	1.84E+01	3.86E+01	2.48E+01
Sample321	1.85E+01	1.11E+01	1.37E+01	1.68E+01	1.03E+01	1.99E+01
Sample322	4.86E+01	1.17E+01	5.18E+01	3.42E+01	6.04E+01	1.53E+01
Sample323	1.61E+01	7.33E+00	1.39E+01	7.93E+00	9.48E+00	1.62E+01
Sample324	4.39E+01	8.91E+00	6.79E+01	3.54E+01	6.05E+01	1.87E+01
Sample325	1.54E+01	9.28E+00	1.11E+01	2.09E+01	1.03E+01	1.89E+01
Sample326	2.05E+01	1.09E+01	1.86E+01	2.63E+01	1.20E+01	3.30E+01
Sample327	1.86E+01	1.26E+01	1.26E+01	2.09E+01	1.04E+01	2.21E+01
Sample328	4.07E+01	1.79E+01	4.17E+01	3.19E+01	4.48E+01	2.08E+01
Sample329	3.34E+01	2.37E+01	2.68E+01	3.84E+01	4.92E+01	1.89E+01
Sample330	1.69E+01	8.98E+00	1.17E+01	1.86E+01	1.10E+01	2.79E+01
Sample331	4.04E+01	2.78E+01	5.18E+01	2.53E+01	2.46E+01	1.57E+01
Sample332	2.50E+01	2.80E+01	1.75E+01	1.55E+01	3.05E+01	2.69E+01
Sample333	3.71E+01	8.75E+00	4.11E+01	2.52E+01	6.00E+01	2.79E+01
Sample334	1.87E+01	9.50E+00	9.37E+00	1.29E+01	1.31E+01	1.07E+01
Sample335	5.26E+01	1.88E+01	6.16E+01	3.53E+01	4.23E+01	1.31E+01
Sample336	2.28E+01	3.19E+01	2.19E+01	1.60E+01	3.01E+01	2.12E+01
Sample337	1.88E+01	1.45E+01	1.68E+01	1.30E+01	1.78E+01	1.26E+01
Sample338	2.55E+01	1.60E+01	1.32E+01	1.68E+01	1.44E+01	1.86E+00
Sample339	1.28E+01	1.04E+01	1.44E+01	2.09E+01	1.42E+01	1.38E+01
Sample340	2.80E+01	1.70E+01	1.56E+01	7.91E+00	5.45E+00	1.70E+01
Sample341	3.26E+01	1.64E+01	1.64E+01	1.86E+01	9.74E+00	1.49E+01
Sample342	3.15E+01	3.33E+01	3.04E+01	2.13E+01	2.32E+01	1.58E+01
Sample343	2.17E+01	1.31E+01	1.47E+01	2.93E+01	2.81E+01	2.23E+01
Sample344	1.33E+01	1.23E+01	2.87E+01	1.18E+01	2.99E+01	1.80E+01
Sample345	4.28E+01	1.05E+01	4.53E+01	2.35E+01	5.44E+01	2.59E+01
Sample346	4.29E+01	1.42E+01	5.54E+01	2.40E+01	7.54E+01	1.87E+01
Sample347	1.39E+01	1.11E+01	1.43E+01	1.27E+01	1.32E+01	1.03E+01
Sample348	5.25E+01	3.56E+01	6.52E+01	2.89E+01	3.16E+01	1.76E+01
Sample349	2.39E+01	4.16E+01	3.61E+01	2.36E+01	1.87E+01	2.40E+01
Sample350	1.62E+01	1.33E+01	1.70E+01	2.10E+01	6.62E+00	1.64E+01
Sample351	1.57E+01	1.33E+01	1.25E+01	2.10E+01	1.21E+01	2.03E+01
Sample352	2.24E+01	4.14E+01	1.58E+01	1.73E+01	3.25E+01	1.63E+01
Sample353	6.20E+00	3.11E+01	5.10E+01	4.04E+01	1.50E+01	1.89E+01
Sample354	2.68E+01	1.72E+01	3.37E+01	2.92E+01	4.76E+01	2.53E+01
Sample355	2.37E+01	1.73E+01	1.34E+01	1.55E+01	2.36E+01	1.85E+01
Sample356	2.20E+01	9.94E+00	1.35E+01	1.93E+01	9.19E+00	1.46E+01
Sample357	1.93E+01	1.19E+01	1.37E+01	1.24E+01	1.25E+01	2.01E+01
Sample358	1.59E+01	2.53E+01	2.74E+01	2.09E+01	1.47E+01	2.56E+01
Sample359	3.50E+01	2.04E+01	3.46E+01	3.46E+01	3.96E+01	2.48E+01
Sample360	1.71E+01	8.62E+00	1.19E+01	1.46E+01	9.24E+00	1.21E+01
Sample361	1.68E+01	1.58E+01	1.89E+01	1.65E+01	1.06E+01	1.35E+01
Sample362	1.46E+01	1.07E+01	1.17E+01	1.08E+01	6.13E+00	1.18E+01
Sample363	1.38E+01	1.22E+01	2.43E+01	2.58E+01	1.62E+01	1.27E+01
Sample364	1.89E+01	7.22E+00	4.12E+01	3.11E+01	3.30E+01	1.95E+01
Sample365	1.44E+01	1.38E+01	1.66E+01	2.70E+01	1.88E+01	2.71E+01
Sample366	1.84E+01	1.82E+01	1.74E+01	1.17E+01	7.59E+00	1.34E+01
Sample367	2.46E+01	1.10E+01	4.29E+01	9.42E+00	3.65E+01	1.72E+01
Sample368	1.32E+01	7.67E+00	3.08E+01	1.72E+01	2.30E+01	2.91E+01
Sample369	1.77E+01	1.06E+01	1.25E+01	1.23E+01	4.85E+00	1.55E+01
Sample370	1.79E+01	1.59E+01	1.94E+01	1.27E+01	1.33E+01	1.54E+01
Sample371	1.55E+01	1.03E+01	1.47E+01	7.64E+00	1.83E+01	2.10E+01
Sample372	2.50E+01	9.02E+00	1.30E+01	2.14E+01	9.10E+00	2.86E+01
Sample373	1.48E+01	1.27E+01	5.68E+01	2.91E+01	2.47E+01	1.94E+01
Sample374	1.82E+01	1.18E+01	2.70E+01	1.51E+01	1.16E+01	1.18E+01
Sample375	2.48E+01	2.48E+01	2.46E+01	2.89E+01	3.41E+01	3.27E+01
Sample376	4.56E+01	9.80E+00	4.63E+01	3.44E+01	4.80E+01	1.58E+01
Sample377	1.18E+01	1.69E+01	2.35E+01	2.04E+01	2.17E+01	1.78E+01
Sample378	3.23E+01	9.26E+00	4.16E+01	3.16E+01	5.07E+01	1.59E+01
Sample379	1.58E+01	8.28E+00	1.99E+01	1.27E+01	1.64E+01	3.15E+01
Sample380	4.78E+01	3.31E+01	7.12E+01	3.32E+01	3.77E+01	1.11E+01
Sample381	1.36E+01	1.01E+01	1.54E+01	1.83E+01	1.92E+01	1.24E+01
Sample382	5.72E+01	2.28E+01	5.82E+01	3.34E+01	3.29E+01	2.21E+01
Sample383	2.16E+01	1.50E+01	1.42E+01	1.58E+01	1.36E+01	2.72E+01
Sample384	2.55E+01	2.00E+01	1.70E+01	2.31E+01	9.42E+00	2.16E+01
Sample385	2.23E+01	2.22E+01	2.21E+01	1.52E+01	1.02E+01	2.71E+01
Sample386	2.46E+01	1.30E+01	4.48E+01	1.85E+01	3.44E+01	1.41E+01
Sample387	1.16E+01	1.26E+01	1.96E+01	1.51E+01	1.14E+01	1.19E+01
Sample388	1.82E+01	1.05E+01	1.31E+01	2.56E+01	2.05E+01	2.33E+01
Sample389	1.54E+01	8.28E+00	1.28E+01	1.29E+01	1.26E+01	2.04E+01
Sample390	2.93E+01	1.55E+01	2.70E+01	1.95E+01	1.18E+01	2.41E+01
Sample391	4.16E+01	1.42E+01	5.30E+01	2.88E+01	6.64E+01	1.96E+01
Sample392	2.39E+01	1.31E+01	1.55E+01	2.08E+01	1.75E+01	2.41E+01
Sample393	6.75E+00	3.34E+01	1.11E+01	6.78E+01	6.92E+01	2.25E+01
Sample394	1.99E+01	1.25E+01	1.59E+01	3.12E+01	2.05E+01	1.95E+01
Sample395	3.07E+01	1.55E+01	4.50E+01	2.23E+01	3.88E+01	1.84E+01
Sample396	1.11E+01	1.44E+01	2.88E+01	1.15E+01	1.73E+01	2.29E+01
Sample397	1.40E+01	1.09E+01	1.36E+01	1.33E+01	1.31E+01	1.62E+01
Sample398	2.12E+01	1.08E+01	1.42E+01	2.38E+01	2.28E+01	2.12E+01
Sample399	2.70E+01	1.26E+01	9.27E+00	1.57E+01	5.12E+00	2.07E+01
Sample400	3.39E+01	1.01E+01	3.86E+01	2.42E+01	5.23E+01	1.49E+01
Sample401	4.79E+01	5.10E+00	1.03E+01	2.91E+01	1.40E+01	2.92E+01
Sample402	2.15E+01	1.39E+01	1.50E+01	9.85E+00	1.11E+01	1.98E+01
Sample403	1.88E+01	1.29E+01	1.75E+01	1.77E+01	1.43E+01	1.71E+01
Sample404	2.77E+01	1.41E+01	1.59E+01	2.26E+01	1.63E+01	2.92E+01
Sample405	1.54E+01	1.46E+01	1.40E+01	1.57E+01	1.27E+01	2.19E+01
Sample406	3.50E+01	1.25E+01	4.85E+01	4.00E+01	5.04E+01	1.80E+01
Sample407	1.44E+01	1.60E+01	1.35E+01	1.56E+01	1.70E+01	1.70E+01
Sample408	2.06E+01	0.00E+00	4.57E+01	1.65E+01	3.48E+01	1.35E+01
Sample409	3.20E+01	1.38E+01	3.66E+01	2.24E+01	5.11E+01	1.37E+01
Sample410	2.16E+01	7.13E+00	1.20E+01	1.74E+01	9.62E+00	2.32E+01
Sample411	1.84E+01	7.98E+00	2.57E+01	2.18E+01	2.07E+01	2.64E+01
Sample412	1.57E+01	1.17E+01	3.34E+01	1.78E+01	2.02E+01	1.76E+01
Sample413	2.92E+01	1.55E+01	4.50E+01	2.51E+01	3.35E+01	7.47E+00
Sample414	3.29E+01	1.78E+01	4.33E+01	2.18E+01	4.80E+01	1.73E+01
Sample415	1.42E+01	6.62E+00	2.77E+01	3.84E+01	1.96E+01	2.13E+01
Sample416	1.00E+01	1.47E+01	1.78E+01	2.62E+01	2.13E+01	1.49E+01
Sample417	4.16E+01	1.68E+01	9.34E+00	2.11E+01	1.18E+01	3.47E+01
Sample418	5.23E+01	4.84E+00	1.68E+01	2.28E+01	1.07E+01	3.19E+01
Sample419	1.58E+01	9.65E+00	1.64E+01	1.98E+01	1.91E+01	2.13E+01
Sample420	3.07E+01	2.79E+01	1.78E+01	2.79E+01	4.14E+01	1.74E+01
Sample421	4.01E+01	1.38E+01	4.61E+01	3.04E+01	5.52E+01	2.06E+01
Sample422	1.69E+01	2.19E+01	1.69E+01	2.45E+01	2.20E+01	1.67E+01
Sample423	2.30E+01	1.43E+01	1.31E+01	1.70E+01	1.03E+01	1.98E+01
Sample424	4.64E+01	8.77E+00	5.78E+01	3.41E+01	5.83E+01	2.23E+01
Sample425	1.68E+01	1.06E+01	2.64E+01	1.56E+01	1.27E+01	1.70E+01
Sample426	1.56E+01	1.18E+01	2.78E+01	1.73E+01	2.13E+01	2.31E+01
Sample427	2.73E+01	2.36E+01	1.34E+01	2.75E+01	3.13E+01	3.07E+01
Sample428	1.66E+01	9.19E+00	9.97E+00	1.21E+01	1.86E+01	1.83E+01
Sample429	2.08E+01	1.86E+01	2.60E+01	2.44E+01	1.96E+01	2.44E+01
Sample430	2.80E+01	5.01E+00	8.48E+00	1.06E+01	8.96E+00	1.82E+01
Sample431	1.53E+01	8.23E+00	1.30E+01	2.18E+01	1.41E+01	2.90E+01
Sample432	1.66E+01	1.52E+01	1.63E+01	2.09E+01	1.03E+01	2.20E+01
Sample433	9.62E+00	3.39E+01	1.54E+01	7.18E+01	6.16E+01	2.58E+01
Sample434	2.25E+01	7.06E+00	1.17E+01	1.82E+01	9.24E+00	1.29E+01
Sample435	1.50E+01	1.15E+01	2.35E+01	2.78E+01	9.38E+00	2.21E+01
Sample436	1.33E+01	6.26E+00	1.88E+01	1.95E+01	2.45E+01	1.72E+01
Sample437	1.58E+01	1.14E+01	6.96E+00	1.59E+01	1.12E+01	2.28E+01
Sample438	3.36E+01	2.58E+01	2.68E+01	8.56E+00	1.19E+01	1.77E+01
Sample439	3.27E+01	1.01E+01	4.74E+01	5.25E+01	3.85E+01	2.60E+01
Sample440	3.82E+01	8.97E+00	5.14E+01	3.40E+01	5.78E+01	1.93E+01
Sample441	1.37E+01	1.28E+01	1.21E+01	2.40E+01	1.49E+01	9.56E+00
Sample442	1.03E+01	9.98E+00	1.26E+01	1.44E+01	4.72E+00	1.45E+01
Sample443	1.83E+01	1.64E+01	1.90E+01	1.84E+01	1.96E+01	2.13E+01
Sample444	1.34E+01	7.36E+00	2.01E+01	2.39E+01	1.90E+01	2.02E+01
Sample445	2.38E+01	1.02E+01	9.78E+00	1.41E+01	1.12E+01	2.07E+01
Sample446	1.47E+01	7.03E+00	1.13E+01	1.24E+01	1.09E+01	1.62E+01
Sample447	3.18E+01	1.57E+01	4.45E+01	1.65E+01	3.17E+01	1.53E+01
Sample448	1.42E+01	1.03E+01	1.34E+01	1.68E+01	9.74E+00	2.51E+01
Sample449	5.00E+01	1.18E+01	6.64E+01	2.33E+01	6.64E+01	2.76E+01
Sample450	1.52E+01	9.92E+00	1.51E+01	2.94E+01	1.55E+01	1.90E+01
Sample451	1.38E+01	1.34E+01	2.25E+01	1.68E+01	9.74E+00	2.01E+01
Sample452	2.34E+01	3.35E+01	1.57E+01	2.44E+01	3.18E+01	2.53E+01
Sample453	1.16E+01	7.76E+00	1.42E+01	1.66E+01	6.21E+00	1.67E+01
Sample454	6.65E+01	3.42E+01	6.53E+01	3.09E+01	4.58E+01	1.95E+01
Sample455	3.85E+01	1.28E+01	3.44E+01	2.35E+01	4.99E+01	1.84E+01
Sample456	2.26E+01	8.17E+00	1.50E+01	9.36E+00	8.69E+00	1.09E+01
Sample457	3.22E+01	1.84E+01	1.12E+01	1.92E+01	1.81E+01	2.95E+01
Sample458	1.74E+01	7.41E+00	1.31E+01	1.15E+01	1.40E+01	1.83E+01
Sample459	1.87E+01	1.43E+01	2.38E+01	2.03E+01	1.42E+01	2.34E+01
Sample460	3.00E+01	2.70E+01	2.03E+01	2.21E+01	3.09E+01	3.14E+01
Sample461	1.98E+01	9.52E+00	1.87E+01	1.62E+01	1.69E+01	2.40E+01
Sample462	1.71E+01	1.22E+01	1.14E+01	2.10E+01	1.14E+01	2.06E+01
Sample463	2.99E+01	8.09E+00	4.66E+01	2.42E+01	4.37E+01	2.63E+01
Sample464	1.26E+01	8.35E+00	1.28E+01	2.43E+01	1.61E+01	2.02E+01
Sample465	1.14E+01	7.91E+00	1.75E+01	1.53E+01	1.04E+01	2.48E+01
Sample466	1.53E+01	1.44E+01	2.48E+01	1.55E+01	1.47E+01	9.97E+00
Sample467	3.43E+01	6.72E+00	4.58E+01	3.28E+01	3.63E+01	2.53E+01
Sample468	1.97E+01	1.37E+01	1.79E+01	2.05E+01	1.50E+01	1.81E+01
Sample469	2.28E+01	1.33E+01	9.56E+00	1.59E+01	7.58E+00	1.49E+01
Sample470	2.05E+01	1.28E+01	1.57E+01	1.45E+01	1.50E+01	1.63E+01
Sample471	3.66E+01	1.44E+01	4.36E+01	2.94E+01	4.09E+01	1.46E+01
Sample472	4.43E+01	1.05E+01	5.74E+01	3.12E+01	5.01E+01	2.69E+01
Sample473	1.12E+01	1.30E+01	1.43E+01	1.68E+01	1.60E+01	1.01E+01
Sample474	2.51E+01	7.81E+00	1.99E+01	2.84E+01	6.23E+00	2.99E+01
Sample475	2.85E+01	1.88E+01	2.73E+01	3.61E+01	2.75E+01	2.16E+01
Sample476	1.85E+01	1.18E+01	2.59E+01	3.03E+01	2.28E+01	2.10E+01
Sample477	1.60E+01	5.53E+00	2.95E+01	1.17E+01	1.84E+01	1.38E+01
Sample478	6.92E+00	1.40E+01	8.83E+00	1.90E+01	2.26E+01	1.68E+01
Sample479	1.65E+01	1.17E+01	2.32E+01	2.70E+01	1.90E+01	2.27E+01
Sample480	5.00E+01	1.17E+01	4.54E+01	4.45E+01	6.34E+01	1.45E+01
Sample481	2.09E+01	1.09E+01	2.00E+01	2.34E+01	8.09E+00	2.32E+01
Sample482	2.26E+01	1.08E+01	1.61E+01	2.35E+01	9.57E+00	2.36E+01
Sample483	1.32E+01	1.39E+01	2.67E+01	2.48E+01	1.10E+01	2.81E+01
Sample484	1.42E+01	1.26E+01	6.39E+00	1.96E+01	1.92E+01	1.38E+01
Sample485	1.99E+01	1.05E+01	2.28E+01	2.09E+01	1.29E+01	2.86E+01
Sample486	1.46E+01	1.08E+01	1.42E+01	2.65E+01	1.11E+01	1.77E+01
Sample487	3.63E+01	1.56E+01	4.16E+01	3.69E+01	3.18E+01	1.79E+01
Sample488	2.06E+01	6.44E+00	1.49E+01	1.43E+01	1.44E+01	2.08E+01
Sample489	1.79E+01	1.04E+01	1.18E+01	1.82E+01	8.95E+00	1.28E+01
Sample490	1.30E+01	1.11E+01	1.53E+01	7.89E+00	1.18E+01	1.38E+01
Sample491	4.97E+01	1.60E+01	5.68E+01	4.13E+01	6.57E+01	2.00E+01
Sample492	5.78E+01	3.70E+01	7.60E+01	2.95E+01	5.00E+01	7.02E+00
Sample493	2.56E+01	1.37E+01	1.52E+01	1.32E+01	1.83E+01	3.32E+01
Sample494	3.76E+01	1.43E+01	5.37E+01	4.94E+01	4.93E+01	2.13E+01
Sample495	1.95E+01	1.49E+01	2.13E+01	9.81E+00	1.31E+01	2.03E+01
Sample496	2.09E+01	3.47E+01	3.45E+01	2.92E+01	1.68E+01	1.48E+01
Sample497	2.71E+01	0.00E+00	4.54E+01	3.43E+01	4.45E+01	1.86E+01
Sample498	3.74E+01	8.11E+00	5.12E+01	2.41E+01	5.41E+01	1.62E+01
Sample499	2.05E+01	9.61E+00	1.57E+01	1.41E+01	7.95E+00	2.26E+01
Sample500	1.16E+01	1.36E+01	1.93E+01	1.17E+01	1.53E+01	1.60E+01
Sample501	1.63E+01	1.96E+01	1.55E+01	2.25E+01	2.19E+01	2.09E+01
Sample502	1.66E+01	9.98E+00	2.69E+01	1.54E+01	1.54E+01	2.93E+01
Sample503	1.26E+01	9.69E+00	1.42E+01	1.73E+01	2.56E+01	1.27E+01
Sample504	1.58E+01	9.81E+00	2.54E+01	1.16E+01	2.20E+01	1.35E+01
Sample505	2.97E+01	7.81E+00	1.01E+01	2.83E+01	1.15E+01	2.50E+01
Sample506	2.78E+01	1.48E+01	3.15E+01	3.72E+01	3.23E+01	2.59E+01
Sample507	2.01E+01	1.25E+01	1.31E+01	1.15E+01	1.31E+01	1.66E+01
Sample508	1.24E+01	8.68E+00	1.94E+01	1.97E+01	1.67E+01	1.40E+01
Sample509	1.77E+01	2.86E+01	4.74E+01	2.01E+01	3.09E+01	1.57E+01
Sample510	2.54E+01	1.99E+01	1.52E+01	1.82E+01	7.79E+00	1.98E+01
Sample511	3.69E+01	3.49E+01	2.95E+01	1.77E+01	4.41E+01	1.68E+01
Sample512	1.71E+01	1.23E+01	2.43E+01	2.12E+01	1.03E+01	1.30E+01
Sample513	2.43E+01	1.41E+01	1.19E+01	1.85E+01	1.48E+01	2.02E+01
Sample514	2.56E+01	3.31E+01	1.95E+01	1.64E+01	3.90E+01	1.95E+01
Sample515	1.21E+01	7.98E+00	2.23E+01	2.72E+01	1.65E+01	2.23E+01
Sample516	1.72E+01	2.02E+01	1.33E+01	1.75E+01	3.09E+01	1.93E+01
Sample517	2.08E+01	1.27E+01	9.74E+00	1.44E+01	1.80E+01	1.78E+01
Sample518	1.16E+01	1.76E+01	1.91E+01	1.29E+01	8.07E+00	1.52E+01
Sample519	2.46E+01	1.46E+01	2.23E+01	1.40E+01	1.37E+01	8.54E+00
Sample520	1.15E+01	8.39E+00	1.31E+01	1.59E+01	1.81E+01	1.86E+01
Sample521	8.56E+00	1.93E+01	1.57E+01	3.83E+01	1.47E+01	2.14E+01
Sample522	2.24E+01	1.31E+01	2.68E+01	1.13E+01	9.97E+00	1.10E+01
Sample523	3.82E+01	1.13E+01	5.35E+01	1.88E+01	5.94E+01	1.66E+01
Sample524	1.15E+01	1.37E+01	2.17E+01	9.21E+00	9.76E+00	9.93E+00
Sample525	3.54E+01	3.58E+01	2.00E+01	1.69E+01	3.33E+01	2.23E+01
Sample526	1.60E+01	9.33E+00	1.60E+01	1.96E+01	1.25E+01	1.82E+01
Sample527	3.75E+01	3.43E+01	1.95E+01	2.42E+01	4.32E+01	3.54E+01
Sample528	4.10E+01	3.93E+00	1.39E+01	2.10E+01	1.56E+01	2.47E+01
Sample529	1.14E+01	9.46E+00	1.08E+01	1.37E+01	9.98E+00	1.35E+01
Sample530	1.79E+01	1.55E+01	2.89E+01	3.13E+01	3.19E+01	2.09E+01
Sample531	1.81E+01	1.97E+01	1.21E+01	1.22E+01	1.24E+01	1.15E+01
Sample532	2.36E+01	3.59E+01	1.63E+01	2.17E+01	3.95E+01	1.74E+01
Sample533	1.22E+01	1.27E+01	1.12E+01	1.88E+01	1.04E+01	2.69E+01
Sample534	3.66E+01	1.06E+01	4.83E+01	2.81E+01	5.35E+01	1.59E+01
Sample535	1.42E+01	9.28E+00	2.00E+01	1.89E+01	1.62E+01	2.45E+01
Sample536	2.41E+01	2.28E+01	2.14E+01	2.52E+01	9.42E+00	2.21E+01
Sample537	1.80E+01	9.38E+00	2.33E+01	2.19E+01	2.60E+01	2.69E+01
Sample538	1.91E+01	6.97E+00	1.71E+01	1.56E+01	2.01E+01	1.58E+01
Sample539	1.69E+01	2.28E+01	4.06E+01	3.18E+01	1.57E+01	3.15E+01
Sample540	2.58E+01	2.94E+01	2.29E+01	2.06E+01	3.18E+01	2.63E+01
Sample541	1.42E+01	1.53E+01	1.23E+01	2.33E+01	1.40E+01	2.10E+01
Sample542	4.37E+01	1.59E+01	5.26E+01	2.34E+01	5.65E+01	2.08E+01
Sample543	1.41E+01	1.29E+01	1.15E+01	2.42E+01	1.41E+01	2.06E+01
Sample544	1.73E+01	1.02E+01	1.53E+01	1.66E+01	1.83E+01	2.34E+01
Sample545	3.09E+01	2.25E+01	2.82E+01	1.59E+01	3.38E+01	3.02E+01
Sample546	3.57E+01	8.13E+00	4.84E+01	3.87E+01	5.37E+01	1.78E+01
Sample547	1.31E+01	1.26E+01	1.24E+01	1.78E+01	1.23E+01	1.81E+01
Sample548	1.47E+01	1.11E+01	2.16E+01	3.89E+01	2.84E+01	2.62E+01
Sample549	2.58E+01	1.38E+01	1.63E+01	2.71E+01	2.04E+01	2.64E+01
Sample550	2.86E+01	9.87E+00	1.74E+01	2.82E+01	1.16E+01	2.02E+01
Sample551	1.37E+01	6.75E+00	1.25E+01	8.85E+00	1.50E+01	1.88E+01
Sample552	1.46E+01	7.56E+00	8.40E+00	1.63E+01	1.06E+01	1.85E+01
Sample553	2.14E+01	1.42E+01	1.35E+01	1.76E+01	9.32E+00	1.41E+01
Sample554	1.38E+01	1.18E+01	1.85E+01	1.41E+01	1.95E+01	1.08E+01
Sample555	3.43E+01	1.00E+01	4.84E+01	2.26E+01	4.94E+01	2.50E+01
Sample556	2.14E+01	6.78E+00	1.86E+01	1.91E+01	1.30E+01	2.90E+01
Sample557	1.65E+01	1.88E+01	1.99E+01	2.35E+01	8.42E+00	2.34E+01
Sample558	1.92E+01	1.27E+01	1.24E+01	1.29E+01	8.83E+00	1.46E+01
Sample559	1.48E+01	1.14E+01	1.68E+01	1.67E+01	1.48E+01	1.36E+01
Sample560	2.73E+01	2.41E+01	2.21E+01	1.64E+01	1.33E+01	1.77E+01
Sample561	1.02E+01	3.05E+01	1.43E+01	5.65E+01	6.66E+01	1.77E+01
Sample562	1.33E+01	8.82E+00	8.16E+00	2.01E+01	5.31E+00	2.13E+01
Sample563	4.86E+01	1.15E+01	4.59E+01	2.62E+01	6.16E+01	1.44E+01
Sample564	1.94E+01	1.16E+01	1.37E+01	1.68E+01	9.62E+00	8.74E+00
Sample565	2.55E+01	1.24E+01	6.00E+00	2.10E+01	2.04E+01	1.96E+01
Sample566	1.30E+01	7.72E+00	2.18E+01	1.48E+01	1.99E+01	1.35E+01
Sample567	1.15E+01	8.84E+00	1.40E+01	1.41E+01	1.15E+01	2.05E+01
Sample568	2.17E+01	1.11E+01	1.39E+01	2.34E+01	1.63E+01	2.62E+01
Sample569	1.13E+01	2.97E+01	2.17E+01	3.16E+01	1.42E+01	2.06E+01
Sample570	1.29E+01	6.17E+00	1.48E+01	1.99E+01	1.41E+01	1.73E+01
Sample571	1.88E+01	1.11E+01	1.36E+01	2.53E+01	1.19E+01	2.22E+01
Sample572	2.36E+01	9.17E+00	1.26E+01	1.08E+01	1.92E+01	1.42E+01
Sample573	1.76E+01	2.16E+01	2.80E+01	3.00E+01	1.75E+01	2.44E+01
Sample574	1.18E+01	1.23E+01	1.56E+01	2.26E+01	1.76E+01	2.18E+01
Sample575	3.24E+01	4.02E+01	2.39E+01	1.31E+01	4.29E+01	3.01E+01
Sample576	6.05E+00	3.97E+01	2.10E+01	5.62E+01	7.04E+01	2.57E+01
Sample577	1.37E+01	1.02E+01	1.42E+01	1.74E+01	1.85E+01	1.63E+01
Sample578	1.82E+01	1.15E+01	2.08E+01	1.56E+01	1.84E+01	2.39E+01
Sample579	4.14E+01	1.06E+01	5.90E+01	2.63E+01	4.96E+01	2.07E+01
Sample580	2.05E+01	6.83E+00	1.99E+01	1.51E+01	1.54E+01	1.22E+01
Sample581	2.88E+01	1.04E+01	1.25E+01	2.61E+01	7.89E+00	1.70E+01
Sample582	2.15E+01	2.44E+01	2.33E+01	2.18E+01	3.12E+01	2.41E+01
Sample583	1.98E+01	1.26E+01	1.40E+01	2.09E+01	9.47E+00	2.00E+01
Sample584	4.58E+01	1.15E+01	3.91E+01	2.43E+01	4.74E+01	2.19E+01
Sample585	7.01E+00	3.22E+01	2.13E+01	6.08E+01	6.37E+01	2.17E+01
Sample586	1.29E+01	1.24E+01	1.57E+01	1.55E+01	1.09E+01	1.25E+01
Sample587	4.70E+01	3.20E+01	3.98E+01	3.69E+01	2.66E+01	1.67E+01
Sample588	1.78E+01	7.64E+00	1.37E+01	1.43E+01	1.53E+01	2.56E+01
Sample589	4.06E+01	8.27E+00	4.73E+01	2.76E+01	6.27E+01	1.52E+01
Sample590	2.94E+01	1.08E+01	2.50E+01	2.29E+01	2.95E+01	1.99E+01
Sample591	3.20E+01	1.29E+01	2.26E+01	1.31E+01	6.86E+00	2.56E+01
