Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample287	1008	0.988	80.897	8.025%	18.455	15.919%	0.0092
Sample288	976	0.964	175.132	17.944%	30.795	26.812%	0.0352
Sample289	1027	0.987	100.483	9.784%	18.418	15.932%	0.0134
Sample290	1029	0.981	155.068	15.07%	23.715	19.522%	0.0193
Sample291	964	0.983	140.034	14.526%	21.596	18.568%	0.0195
Sample292	1008	0.978	110.358	10.948%	24.741	21.043%	0.0169
Sample293	999	0.945	274.841	27.512%	40.718	32.671%	0.0566
Sample294	1000	0.986	94.051	9.405%	18.678	16.551%	0.0111
Sample295	992	0.982	94.119	9.488%	20.777	18.842%	0.0164
Sample296	1019	0.94	221.755	21.762%	40.03	34.564%	0.0491
Sample297	992	0.985	87.397	8.81%	19.138	17.355%	0.0126
Sample298	1023	0.909	308.849	30.191%	47.089	44.051%	0.0718
Sample299	1008	0.976	117.378	11.645%	24.603	21.746%	0.0211
Sample300	1016	0.968	167.089	16.446%	28.373	25.231%	0.0258
Sample301	981	0.962	195.093	19.887%	33.648	27.452%	0.0376
Sample302	992	0.976	101.161	10.198%	24.705	21.728%	0.0208
Sample303	1000	0.99	78.173	7.817%	16.04	14.358%	0.011
Sample304	1008	0.975	123.951	12.297%	25.685	22.369%	0.0233
Sample305	1029	0.978	158.578	15.411%	25.219	21.062%	0.0229
Sample306	977	0.967	174.409	17.851%	30.908	25.589%	0.0316
Sample307	1019	0.97	133.266	13.078%	27.692	24.127%	0.0261
Sample308	1019	0.974	125.723	12.338%	25.788	22.469%	0.0234
Sample309	1008	0.984	100.082	9.929%	20.133	17.707%	0.016
Sample310	992	0.99	72.554	7.314%	16.124	14.396%	0.0095
Sample311	985	0.979	102.832	10.44%	22.472	20.486%	0.0201
Sample312	988	0.966	192.182	19.452%	30.252	26.033%	0.0345
Sample313	972	0.941	187.203	19.26%	37.112	33.938%	0.0491
Sample314	1017	0.956	264.07	25.966%	37.359	29.707%	0.0498
Sample315	1000	0.99	76.578	7.658%	15.711	13.992%	0.0103
Sample316	1000	0.991	71.931	7.193%	14.849	13.361%	0.0093
Sample317	1014	0.976	113.204	11.164%	25.708	21.838%	0.0174
Sample318	980	0.928	260.606	26.592%	42.781	37.452%	0.0669
Sample319	1000	0.989	79.967	7.997%	16.723	15.047%	0.0122
Sample320	1017	0.966	239.084	23.509%	32.006	25.792%	0.0404
Sample321	980	0.995	60.073	6.13%	10.678	9.701%	0.0044
Sample322	984	0.985	129.262	13.136%	21.181	17.533%	0.0178
Sample323	1008	0.991	79.906	7.927%	16.002	13.936%	0.0082
Sample324	977	0.974	163.851	16.771%	26.936	22.653%	0.0248
Sample325	1000	0.983	92.235	9.224%	20.601	18.255%	0.0134
Sample326	1018	0.986	101.291	9.95%	19.033	16.532%	0.0147
Sample327	1000	0.974	125.959	12.596%	25.32	22.665%	0.0248
Sample328	988	0.974	175.581	17.771%	27.904	22.832%	0.0328
Sample329	1028	0.977	173.617	16.889%	26.082	21.575%	0.0249
Sample330	985	0.975	104.656	10.625%	24.68	22.263%	0.0242
Sample331	973	0.961	255.436	26.252%	35.202	27.832%	0.0459
Sample332	1008	0.961	249.707	24.773%	33.942	27.669%	0.044
Sample333	985	0.973	173.465	17.611%	28.115	23.339%	0.0289
Sample334	986	0.99	68.746	6.972%	15.843	14.181%	0.0083
Sample335	1014	0.976	171.104	16.874%	27.974	21.695%	0.031
Sample336	1019	0.965	247.708	24.309%	32.778	26.319%	0.0437
Sample337	1015	0.986	102.408	10.089%	19.073	16.692%	0.0139
Sample338	984	0.913	266.318	27.065%	47.309	41.544%	0.0823
Sample339	1014	0.974	113.611	11.204%	26.12	22.692%	0.0226
Sample340	1008	0.983	95.252	9.45%	20.538	18.153%	0.0139
Sample341	1036	0.979	122.621	11.836%	23.827	20.277%	0.0184
Sample342	990	0.956	255.38	25.796%	35.32	29.397%	0.0466
Sample343	1027	0.98	124.818	12.154%	22.779	19.883%	0.0198
Sample344	1000	0.993	69.119	6.912%	14.01	12.352%	0.0066
Sample345	975	0.976	157.555	16.159%	25.475	21.691%	0.0256
Sample346	984	0.976	158.013	16.058%	26.701	21.73%	0.0267
Sample347	979	0.978	111.005	11.339%	23.043	20.744%	0.0165
Sample348	1013	0.961	243.873	24.074%	34.311	27.814%	0.0458
Sample349	972	0.934	217.629	22.39%	42.271	35.736%	0.0593
Sample350	979	0.98	93.288	9.529%	21.626	19.792%	0.0199
Sample351	986	0.99	79.586	8.072%	15.573	13.939%	0.0092
Sample352	1018	0.957	258.262	25.37%	35.82	29.054%	0.0483
Sample353	992	0.905	291.944	29.43%	49.039	43.563%	0.082
Sample354	981	0.978	155.791	15.881%	25.348	20.966%	0.0243
Sample355	968	0.983	141.506	14.618%	21.484	18.702%	0.0178
Sample356	990	0.987	86.058	8.693%	17.632	15.944%	0.0115
Sample357	1015	0.981	104.926	10.338%	21.902	19.262%	0.0162
Sample358	1001	0.961	203.39	20.319%	33.112	27.729%	0.0388
Sample359	1036	0.972	164.487	15.877%	28.22	23.633%	0.0274
Sample360	1015	0.98	111.394	10.975%	22.741	19.721%	0.0161
Sample361	1008	0.975	125.902	12.49%	25.394	22.445%	0.0251
Sample362	992	0.991	69.841	7.04%	15.105	13.487%	0.0086
