Samples	Signature A
Sample403	14812
Sample404	14843
Sample405	14873
Sample406	14918
Sample407	14939
Sample408	14966
Sample409	15008
Sample410	15034
Sample411	15066
Sample412	15092
Sample413	15136
Sample414	15173
Sample415	15199
Sample416	15218
Sample417	15258
Sample418	15281
Sample419	15308
Sample420	15381
Sample421	15423
Sample422	15502
Sample423	15527
Sample424	15567
Sample425	15594
Sample426	15621
Sample427	15698
Sample428	15726
Sample429	15755
Sample430	15778
Sample431	15809
Sample432	15838
Sample433	16014
Sample434	16042
Sample435	16098
Sample436	16129
Sample437	16158
Sample438	16199
Sample439	16241
Sample440	16279
Sample441	16304
Sample442	16330
Sample443	16358
Sample444	16388
Sample445	16419
Sample446	16447
Sample447	16523
Sample448	16550
Sample449	16589
Sample450	16613
Sample451	16647
Sample452	16719
Sample453	16744
Sample454	16822
Sample455	16856
Sample456	16882
Sample457	16935
Sample458	16964
Sample459	16991
Sample460	17066
Sample461	17098
Sample462	17124
Sample463	17163
Sample464	17186
Sample465	17211
Sample466	17241
Sample467	17275
Sample468	17301
Sample469	17328
Sample470	17358
Sample471	17394
Sample472	17434
Sample473	17467
Sample474	17503
Sample475	17526
Sample476	17545
Sample477	17570
Sample478	17597
Sample479	17627
Sample480	17667
Sample481	17696
Sample482	17721
Sample483	17751
Sample484	17778
Sample485	17807
Sample486	17833
Sample487	17876
Sample488	17906
Sample489	17931
Sample490	17961
Sample491	18002
Sample492	18077
Sample493	18112
Sample494	18150
Sample495	18176
Sample496	18218
Sample497	18246
Sample498	18294
Sample499	18318
Sample500	18367
Sample501	18415
Sample502	18443
Sample503	18474
Sample504	18504
Sample505	18536
Sample506	18578
Sample507	18605
Sample508	18634
Sample509	18711
Sample510	18752
Sample511	18835
Sample512	18867
Sample513	18892
Sample514	18976
Sample515	19006
Sample516	19078
Sample517	19108
Sample518	19137
Sample519	19165
Sample520	19194
Sample521	19222
Sample522	19266
Sample523	19306
Sample524	19336
Sample525	19408
Sample526	19438
Sample527	19518
Sample528	19541
Sample529	19567
Sample530	19594
Sample531	19622
Sample532	19695
Sample533	19722
Sample534	19760
Sample535	19796
Sample536	19825
Sample537	19853
Sample538	19880
Sample539	19930
Sample540	20010
Sample541	20038
Sample542	20078
Sample543	20107
Sample544	20134
Sample545	20218
Sample546	20254
Sample547	20280
Sample548	20297
Sample549	20326
Sample550	20351
Sample551	20377
Sample552	20406
Sample553	20433
Sample554	20462
Sample555	20506
Sample556	20538
Sample557	20563
Sample558	20588
Sample559	20614
Sample560	20652
Sample561	20828
Sample562	20858
Sample563	20903
Sample564	20927
Sample565	20958
Sample566	20990
Sample567	21014
Sample568	21052
Sample569	21098
Sample570	21125
Sample571	21154
Sample572	21193
Sample573	21210
Sample574	21236
Sample575	21310
Sample576	21486
Sample577	21516
Sample578	21550
Sample579	21594
Sample580	21619
Sample581	21649
Sample582	21728
Sample583	21757
Sample584	21796
Sample585	21972
Sample586	22001
Sample587	22082
Sample588	22108
Sample589	22142
Sample590	22185
Sample591	22211
Sample592	22248
Sample593	22289
Sample594	22331
Sample595	22362
