Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample91	3142	0.999	146.133	4.651%	26.011	4.231%	0.0041
Sample92	3171	0.999	143.935	4.539%	25.243	4.067%	0.0041
Sample93	3201	0.999	149.701	4.677%	25.359	4.046%	0.0041
Sample94	3237	0.999	154.407	4.77%	26.255	4.14%	0.0042
Sample95	3267	0.999	153.916	4.711%	26.364	4.116%	0.0041
Sample96	3293	0.999	155.468	4.721%	26.363	4.082%	0.0041
Sample97	3322	0.999	158.634	4.775%	26.721	4.1%	0.0042
Sample98	3371	0.999	150.748	4.472%	26.374	3.991%	0.0036
Sample99	3412	0.999	150.488	4.411%	26.867	4.016%	0.0035
Sample100	3440	0.999	155.319	4.515%	27.889	4.134%	0.0035
Sample101	3470	0.999	158.435	4.566%	28.116	4.132%	0.0035
Sample102	3505	0.999	161.853	4.618%	28.639	4.164%	0.0035
Sample103	3532	0.999	166.426	4.712%	28.899	4.169%	0.0037
Sample104	3560	0.999	175.774	4.937%	31.019	4.443%	0.0036
Sample105	3604	0.999	172.392	4.783%	30.357	4.297%	0.0034
Sample106	3635	0.999	174.936	4.813%	30.876	4.33%	0.0034
Sample107	3665	0.999	180.469	4.924%	32.076	4.46%	0.0035
Sample108	3693	0.999	184.604	4.999%	32.962	4.543%	0.0036
Sample109	3719	0.999	187.674	5.046%	32.356	4.425%	0.0037
Sample110	3766	0.999	179.537	4.767%	31.298	4.231%	0.0033
Sample111	3842	0.999	160.477	4.177%	28.042	3.727%	0.0026
Sample112	3872	0.999	159.831	4.128%	28.072	3.7%	0.0026
Sample113	3895	0.999	166.73	4.281%	29.096	3.815%	0.0027
Sample114	3934	0.999	167.904	4.268%	29.733	3.862%	0.0027
Sample115	3969	0.999	170.943	4.307%	29.78	3.836%	0.0028
Sample116	3999	0.999	175.952	4.4%	29.752	3.803%	0.0028
Sample117	4029	0.999	179.167	4.447%	30.355	3.848%	0.0029
Sample118	4060	0.999	184.834	4.553%	31.506	3.965%	0.0029
Sample119	4132	0.999	167.438	4.052%	29.662	3.679%	0.0023
Sample120	4162	0.999	170.813	4.104%	29.788	3.666%	0.0023
