Samples	SBS1	SBS3	SBS5	Signature D
Sample245	33	507	473	0
Sample246	57	677	0	252
Sample247	38	555	421	0
Sample248	52	678	0	285
Sample249	39	517	423	0
Sample250	28	395	607	0
Sample251	0	271	387	359
Sample252	36	502	470	0
Sample253	40	566	373	0
Sample254	39	520	421	0
Sample255	22	381	591	0
Sample256	38	449	485	0
Sample257	40	588	364	0
Sample258	28	483	497	0
Sample259	40	607	345	0
Sample260	54	707	0	224
Sample261	0	338	308	362
Sample262	15	0	971	0
Sample263	24	308	642	0
Sample264	37	533	438	0
Sample265	0	248	318	451
Sample266	40	540	399	0
Sample267	36	473	491	0
Sample268	58	712	0	219
Sample269	0	653	0	360
Sample270	0	574	0	425
Sample271	36	529	443	0
Sample272	0	496	0	489
Sample273	21	312	652	0
Sample274	37	486	477	0
Sample275	35	540	452	0
Sample276	38	512	458	0
Sample277	38	479	470	0
Sample278	38	522	425	0
Sample279	34	552	439	0
Sample280	39	519	422	0
Sample281	35	522	461	0
Sample282	25	331	621	0
Sample283	39	529	424	0
Sample284	23	303	649	0
Sample285	30	438	522	0
Sample286	14	314	687	0
Sample287	39	551	418	0
Sample288	30	445	501	0
Sample289	35	493	499	0
Sample290	26	361	642	0
Sample291	23	292	649	0
Sample292	39	520	449	0
Sample293	0	479	0	520
Sample294	55	683	0	262
Sample295	37	522	433	0
Sample296	36	517	466	0
Sample297	39	533	420	0
Sample298	43	758	222	0
Sample299	38	595	375	0
Sample300	47	557	412	0
Sample301	14	0	967	0
Sample302	40	548	404	0
Sample303	41	606	353	0
Sample304	37	510	461	0
Sample305	27	408	594	0
Sample306	25	301	651	0
Sample307	56	694	0	269
Sample308	38	568	413	0
Sample309	35	507	466	0
Sample310	40	565	387	0
Sample311	39	572	374	0
Sample312	48	602	0	338
Sample313	38	449	485	0
Sample314	0	301	290	426
Sample315	40	579	381	0
Sample316	39	564	397	0
Sample317	37	515	462	0
Sample318	20	322	638	0
Sample319	55	704	0	241
Sample320	0	265	362	390
Sample321	42	551	387	0
Sample322	22	280	682	0
Sample323	37	533	438	0
Sample324	26	326	625	0
Sample325	54	710	0	236
Sample326	34	472	512	0
Sample327	36	493	471	0
Sample328	24	327	637	0
Sample329	25	346	657	0
Sample330	39	553	393	0
Sample331	13	0	677	283
Sample332	0	304	317	387
Sample333	24	309	652	0
Sample334	38	526	422	0
Sample335	17	0	668	329
Sample336	0	257	420	342
Sample337	36	531	448	0
Sample338	22	395	567	0
Sample339	36	534	444	0
Sample340	37	553	418	0
Sample341	30	483	523	0
Sample342	0	319	381	290
Sample343	38	580	409	0
Sample344	37	527	436	0
Sample345	24	291	660	0
Sample346	15	0	969	0
Sample347	23	497	459	0
Sample348	16	396	601	0
Sample349	49	512	0	411
Sample350	41	581	357	0
Sample351	38	510	438	0
Sample352	0	332	306	380
Sample353	20	501	471	0
Sample354	14	0	967	0
Sample355	0	286	487	195
Sample356	58	702	0	230
Sample357	37	584	394	0
Sample358	0	291	371	339
Sample359	26	399	611	0
Sample360	39	613	363	0
Sample361	38	574	396	0
Sample362	38	528	426	0
Sample363	37	518	464	0
Sample364	25	399	559	0
Sample365	38	585	392	0
Sample366	55	699	0	263
Sample367	27	393	608	0
Sample368	39	559	394	0
Sample369	44	620	325	0
Sample370	39	530	417	0
Sample371	55	699	0	246
Sample372	37	528	443	0
Sample373	38	573	405	0
Sample374	39	569	392	0
Sample375	0	308	330	382
Sample376	15	0	969	0
Sample377	22	444	557	0
Sample378	26	361	581	0
Sample379	36	514	464	0
Sample380	14	0	688	314
Sample381	38	548	414	0
Sample382	0	315	440	262
Sample383	52	707	0	263
Sample384	30	450	548	0
Sample385	52	629	0	347
Sample386	30	462	542	0
Sample387	37	531	451	0
Sample388	35	483	490	0
Sample389	39	585	395	0
Sample390	25	368	583	0
Sample391	25	327	613	0
Sample392	42	609	341	0
Sample393	0	574	0	425
Sample394	35	632	297	0
Sample395	28	391	562	0
Sample396	39	553	416	0
Sample397	40	577	362	0
Sample398	38	569	419	0
Sample399	29	406	533	0
Sample400	27	420	588	0
Sample401	38	449	485	0
Sample402	22	508	456	0
Sample403	37	497	451	0
Sample404	36	506	471	0
Sample405	37	533	438	0
Sample406	26	377	585	0
Sample407	21	453	488	0
Sample408	38	448	500	0
Sample409	13	297	672	0
Sample410	55	704	0	233
Sample411	33	459	528	0
Sample412	40	554	391	0
Sample413	22	303	656	0
Sample414	28	414	586	0
Sample415	33	404	545	0
Sample416	32	675	312	0
Sample417	0	322	411	247
Sample418	38	449	485	0
Sample419	37	540	415	0
Sample420	0	289	333	391
Sample421	22	331	622	0
Sample422	16	0	595	393
Sample423	43	567	379	0
Sample424	25	309	652	0
Sample425	39	594	367	0
Sample426	40	561	391	0
Sample427	0	252	376	375
Sample428	40	572	367	0
Sample429	39	563	398	0
Sample430	38	449	485	0
