Samples	SBS1	SBS3	SBS5	Signature D
Sample1063	24	331	619	0
Sample1064	38	555	407	0
Sample1065	39	552	394	0
Sample1066	25	313	627	0
Sample1067	39	556	384	0
Sample1068	38	535	435	0
Sample1069	38	449	485	0
Sample1070	9	300	698	0
Sample1071	28	436	552	0
Sample1072	34	473	501	0
Sample1073	22	326	406	264
Sample1074	20	417	538	0
Sample1075	36	480	484	0
Sample1076	38	565	405	0
Sample1077	46	703	0	251
Sample1078	55	677	0	253
Sample1079	40	689	290	0
Sample1080	13	0	962	0
Sample1081	37	539	432	0
Sample1082	39	553	400	0
Sample1083	36	529	443	0
Sample1084	0	344	447	244
Sample1085	40	576	376	0
Sample1086	39	538	409	0
Sample1087	41	547	398	0
Sample1088	38	477	470	0
Sample1089	57	711	0	213
Sample1090	26	379	630	0
Sample1091	36	485	479	0
Sample1092	37	521	450	0
Sample1093	55	694	0	231
Sample1094	38	532	422	0
Sample1095	0	245	354	401
Sample1096	41	607	337	0
Sample1097	40	533	413	0
Sample1098	38	530	440	0
Sample1099	22	424	529	0
Sample1100	15	0	622	370
Sample1101	36	529	454	0
Sample1102	0	260	327	409
Sample1103	0	282	388	338
Sample1104	45	507	0	429
Sample1105	41	636	331	0
Sample1106	41	566	393	0
Sample1107	38	523	431	0
Sample1108	37	533	415	0
Sample1109	17	548	406	0
Sample1110	55	691	0	254
Sample1111	27	378	577	0
Sample1112	40	528	413	0
Sample1113	30	605	388	0
Sample1114	0	414	418	194
Sample1115	38	526	416	0
Sample1116	35	499	466	0
Sample1117	51	671	286	0
Sample1118	39	518	422	0
Sample1119	28	366	571	0
Sample1120	27	500	481	0
Sample1121	0	313	425	294
Sample1122	0	342	386	273
Sample1123	28	387	571	0
Sample1124	38	523	439	0
Sample1125	36	527	461	0
Sample1126	37	553	425	0
Sample1127	37	490	457	0
Sample1128	38	514	440	0
Sample1129	23	359	600	0
Sample1130	0	336	299	350
Sample1131	37	533	438	0
Sample1132	0	366	381	275
Sample1133	32	488	507	0
Sample1134	25	327	616	0
Sample1135	0	251	400	363
Sample1136	0	404	371	241
Sample1137	36	495	469	0
Sample1138	33	509	472	0
Sample1139	33	485	509	0
Sample1140	30	417	521	0
Sample1141	38	449	485	0
Sample1142	38	449	485	0
Sample1143	31	467	523	0
Sample1144	22	444	557	0
Sample1145	0	234	386	376
Sample1146	35	528	463	0
Sample1147	26	378	571	0
Sample1148	38	546	408	0
Sample1149	31	490	515	0
Sample1150	40	587	365	0
Sample1151	23	400	578	0
Sample1152	0	235	342	438
Sample1153	38	449	485	0
Sample1154	10	299	664	0
Sample1155	47	572	0	368
Sample1156	43	591	355	0
Sample1157	39	512	435	0
Sample1158	38	507	463	0
Sample1159	25	334	616	0
Sample1160	0	255	396	356
Sample1161	52	666	0	296
Sample1162	42	624	319	0
Sample1163	49	596	0	328
Sample1164	37	539	432	0
Sample1165	20	308	654	0
Sample1166	55	691	0	239
Sample1167	0	282	386	328
Sample1168	36	460	512	0
Sample1169	38	545	425	0
Sample1170	39	514	426	0
Sample1171	25	308	634	0
Sample1172	40	578	374	0
Sample1173	47	629	287	0
Sample1174	42	551	395	0
Sample1175	36	501	471	0
Sample1176	37	492	479	0
Sample1177	41	566	371	0
Sample1178	22	334	624	0
Sample1179	37	551	404	0
Sample1180	40	558	388	0
Sample1181	38	555	421	0
Sample1182	0	0	1022	0
Sample1183	39	561	400	0
Sample1184	41	594	373	0
Sample1185	32	566	382	0
Sample1186	56	704	0	232
Sample1187	37	522	462	0
Sample1188	36	493	485	0
Sample1189	0	402	400	215
Sample1190	55	680	0	245
Sample1191	19	297	669	0
Sample1192	19	268	695	0
Sample1193	29	592	407	0
Sample1194	16	0	960	0
Sample1195	37	524	439	0
Sample1196	40	583	377	0
Sample1197	0	266	389	343
Sample1198	38	562	419	0
Sample1199	37	533	438	0
Sample1200	23	336	621	0
Sample1201	20	323	639	0
Sample1202	57	651	0	292
Sample1203	37	535	436	0
Sample1204	39	550	403	0
Sample1205	37	579	396	0
Sample1206	41	608	343	0
Sample1207	37	518	437	0
Sample1208	46	600	378	0
Sample1209	24	536	412	0
Sample1210	55	696	0	234
Sample1211	34	436	515	0
Sample1212	38	535	427	0
Sample1213	55	727	0	218
Sample1214	28	378	580	0
Sample1215	40	586	352	0
Sample1216	37	532	458	0
Sample1217	38	539	408	0
Sample1218	0	265	344	404
Sample1219	26	362	594	0
Sample1220	38	541	406	0
Sample1221	14	0	590	366
Sample1222	37	562	426	0
Sample1223	0	327	433	234
Sample1224	34	606	350	0
Sample1225	38	561	416	0
Sample1226	35	518	473	0
Sample1227	43	581	364	0
Sample1228	56	643	264	0
Sample1229	22	282	672	0
Sample1230	0	590	0	394
Sample1231	28	423	582	0
Sample1232	41	533	414	0
Sample1233	37	523	420	0
Sample1234	31	466	518	0
Sample1235	0	283	435	295
Sample1236	39	534	407	0
Sample1237	38	555	421	0
Sample1238	26	390	558	0
Sample1239	40	564	388	0
Sample1240	26	458	503	0
Sample1241	0	360	325	287
Sample1242	38	513	449	0
Sample1243	12	0	969	0
Sample1244	29	407	587	0
Sample1245	24	316	639	0
Sample1246	54	681	0	273
Sample1247	41	581	359	0
Sample1248	26	405	597	0
Sample1249	39	534	419	0
Sample1250	16	0	963	0
Sample1251	54	709	0	222
Sample1252	0	349	368	270
Sample1253	37	532	439	0
Sample1254	40	576	376	0
Sample1255	40	548	397	0
Sample1256	37	521	450	0
Sample1257	39	546	415	0
Sample1258	38	502	439	0
Sample1259	36	522	450	0
Sample1260	23	339	622	0
Sample1261	0	208	429	381
Sample1262	42	551	387	0
Sample1263	39	564	389	0
Sample1264	34	531	457	0
Sample1265	45	601	334	0
Sample1266	25	313	636	0
Sample1267	27	392	556	0
Sample1268	35	490	493	0
Sample1269	54	694	0	244
Sample1270	23	321	637	0
Sample1271	35	499	481	0
Sample1272	0	401	362	211
Sample1273	37	542	436	0
Sample1274	46	539	0	416
Sample1275	24	319	638	0
Sample1276	0	248	442	325
Sample1277	38	449	485	0
Sample1278	19	309	656	0
Sample1279	37	480	469	0
Sample1280	0	292	290	404
Sample1281	0	243	345	420
Sample1282	25	360	594	0
Sample1283	17	0	635	350
Sample1284	37	527	436	0
Sample1285	21	344	636	0
Sample1286	50	694	220	0
Sample1287	59	672	0	249
Sample1288	23	344	614	0
Sample1289	42	562	385	0
Sample1290	36	468	504	0
Sample1291	0	335	461	223
Sample1292	55	724	0	229
Sample1293	37	536	419	0
Sample1294	39	532	442	0
Sample1295	37	511	452	0
Sample1296	0	372	382	254
Sample1297	0	329	293	386
Sample1298	27	373	565	0
Sample1299	15	348	655	0
Sample1300	36	489	475	0
Sample1301	37	514	457	0
Sample1302	17	374	630	0
Sample1303	43	597	352	0
Sample1304	49	600	359	0
Sample1305	46	543	0	423
Sample1306	0	411	379	244
Sample1307	37	527	454	0
Sample1308	25	298	650	0
Sample1309	40	588	364	0
Sample1310	33	646	304	0
Sample1311	23	318	645	0
Sample1312	12	0	577	385
Sample1313	0	304	452	212
Sample1314	41	593	351	0
Sample1315	0	232	389	381
Sample1316	38	449	485	0
Sample1317	40	585	383	0
Sample1318	43	571	366	0
Sample1319	38	449	485	0
Sample1320	40	564	404	0
Sample1321	23	296	649	0
Sample1322	0	317	343	355
Sample1323	0	483	0	518
Sample1324	18	372	578	0
Sample1325	38	547	415	0
Sample1326	25	367	583	0
Sample1327	26	354	587	0
Sample1328	39	541	400	0
Sample1329	40	548	420	0
Sample1330	55	693	0	237
Sample1331	22	279	665	0
Sample1332	0	233	398	376
Sample1333	38	521	449	0
Sample1334	10	0	665	298
Sample1335	14	0	974	0
Sample1336	39	578	368	0
Sample1337	38	545	417	0
Sample1338	10	361	630	0
Sample1339	41	580	371	0
Sample1340	24	329	627	0
Sample1341	35	517	464	0
Sample1342	28	422	585	0
Sample1343	43	590	348	0
Sample1344	46	562	409	0
Sample1345	38	607	382	0
Sample1346	39	568	378	0
Sample1347	28	392	554	0
Sample1348	40	536	412	0
Sample1349	19	265	689	0
Sample1350	47	610	324	0
Sample1351	12	0	727	292
Sample1352	38	544	426	0
Sample1353	0	300	369	347
Sample1354	25	366	591	0
Sample1355	18	0	961	0
Sample1356	40	580	365	0
Sample1357	55	664	0	266
Sample1358	0	269	371	375
Sample1359	38	549	405	0
Sample1360	42	571	376	0
Sample1361	24	313	643	0
Sample1362	15	0	965	0
Sample1363	28	409	538	0
Sample1364	37	532	410	0
Sample1365	31	483	520	0
Sample1366	37	555	426	0
Sample1367	36	513	470	0
Sample1368	36	520	452	0
Sample1369	10	321	672	0
Sample1370	30	511	439	0
Sample1371	37	509	462	0
Sample1372	41	545	395	0
Sample1373	28	397	603	0
Sample1374	39	544	409	0
Sample1375	36	537	427	0
Sample1376	58	681	0	249
Sample1377	41	586	365	0
Sample1378	39	567	374	0
Sample1379	42	555	390	0
Sample1380	48	555	0	415
Sample1381	26	413	545	0
Sample1382	32	428	526	0
Sample1383	29	410	547	0
Sample1384	0	350	482	202
Sample1385	28	407	547	0
Sample1386	37	551	420	0
Sample1387	36	493	471	0
Sample1388	35	509	464	0
Sample1389	40	581	387	0
Sample1390	12	0	977	0
Sample1391	35	526	466	0
Sample1392	29	396	565	0
Sample1393	21	289	670	0
Sample1394	44	634	311	0
Sample1395	38	561	416	0
Sample1396	55	683	0	262
Sample1397	40	585	367	0
Sample1398	35	591	355	0
Sample1399	38	491	471	0
Sample1400	40	594	358	0
Sample1401	37	511	452	0
Sample1402	36	650	356	0
Sample1403	28	425	522	0
Sample1404	37	519	425	0
Sample1405	38	521	433	0
Sample1406	1	0	1013	0
Sample1407	39	559	394	0
Sample1408	25	337	619	0
Sample1409	36	491	481	0
Sample1410	37	527	436	0
Sample1411	0	326	365	291
Sample1412	22	410	569	0
Sample1413	37	533	438	0
Sample1414	41	598	361	0
Sample1415	23	368	581	0
Sample1416	12	0	982	0
Sample1417	54	714	0	224
Sample1418	39	559	402	0
Sample1419	21	409	538	0
Sample1420	41	618	359	0
Sample1421	34	457	535	0
Sample1422	39	423	0	534
Sample1423	0	214	414	342
Sample1424	49	574	0	357
Sample1425	35	510	463	0
Sample1426	27	356	590	0
Sample1427	37	533	438	0
Sample1428	9	311	661	0
Sample1429	44	612	333	0
Sample1430	27	388	620	0
Sample1431	37	542	435	0
Sample1432	39	544	409	0
Sample1433	38	449	485	0
Sample1434	27	395	565	0
Sample1435	39	585	368	0
Sample1436	41	591	347	0
Sample1437	40	551	423	0
Sample1438	40	593	352	0
Sample1439	38	449	485	0
Sample1440	34	468	511	0
Sample1441	26	367	642	0
Sample1442	36	528	451	0
Sample1443	39	533	408	0
Sample1444	22	278	666	0
Sample1445	28	367	579	0
Sample1446	36	553	437	0
Sample1447	23	284	667	0
Sample1448	38	527	421	0
Sample1449	55	690	0	247
Sample1450	35	516	464	0
Sample1451	0	375	365	261
Sample1452	38	539	423	0
Sample1453	38	520	428	0
Sample1454	0	286	428	305
Sample1455	40	568	392	0
Sample1456	40	617	335	0
Sample1457	43	582	355	0
Sample1458	0	285	461	272
Sample1459	36	519	453	0
Sample1460	24	299	658	0
Sample1461	40	565	375	0
Sample1462	15	359	642	0
Sample1463	27	566	436	0
Sample1464	38	539	423	0
Sample1465	57	694	0	222
Sample1466	39	549	404	0
Sample1467	13	351	653	0
Sample1468	36	504	487	0
Sample1469	55	679	0	266
Sample1470	34	442	524	0
Sample1471	20	416	535	0
Sample1472	23	280	681	0
Sample1473	21	336	366	293
Sample1474	28	443	552	0
Sample1475	40	554	386	0
Sample1476	14	0	974	0
Sample1477	0	345	430	214
Sample1478	39	549	412	0
Sample1479	39	559	387	0
Sample1480	39	526	414	0
Sample1481	0	293	296	419
Sample1482	38	538	416	0
Sample1483	40	537	402	0
Sample1484	0	743	0	235
Sample1485	38	544	426	0
Sample1486	39	551	410	0
Sample1487	27	398	563	0
Sample1488	37	515	456	0
Sample1489	38	544	403	0
Sample1490	46	717	0	215
Sample1491	15	0	699	297
Sample1492	30	445	552	0
Sample1493	0	406	381	249
Sample1494	14	0	632	372
Sample1495	39	575	378	0
Sample1496	36	454	496	0
Sample1497	34	475	517	0
Sample1498	41	577	374	0
Sample1499	40	564	377	0
Sample1500	9	289	677	0
Sample1501	24	332	618	0
Sample1502	0	520	0	499
Sample1503	35	512	470	0
Sample1504	0	408	428	182
Sample1505	37	520	435	0
Sample1506	0	217	423	378
Sample1507	44	596	378	0
Sample1508	10	307	686	0
Sample1509	38	513	441	0
Sample1510	39	550	403	0
Sample1511	34	493	500	0
Sample1512	38	449	485	0
Sample1513	36	526	453	0
Sample1514	42	579	359	0
Sample1515	40	579	381	0
Sample1516	37	524	439	0
Sample1517	38	505	477	0
Sample1518	34	451	535	0
Sample1519	38	449	485	0
Sample1520	15	0	705	297
Sample1521	36	517	447	0
Sample1522	13	411	577	0
Sample1523	38	556	420	0
Sample1524	0	540	0	476
Sample1525	31	582	405	0
Sample1526	40	569	370	0
Sample1527	55	692	0	238
Sample1528	0	302	389	323
Sample1529	36	488	468	0
Sample1530	18	345	605	0
Sample1531	0	430	433	163
Sample1532	38	516	438	0
Sample1533	0	574	0	425
Sample1534	0	349	378	267
Sample1535	32	486	503	0
Sample1536	55	694	0	259
Sample1537	36	543	436	0
Sample1538	38	505	465	0
Sample1539	37	588	390	0
Sample1540	40	559	380	0
Sample1541	56	700	0	244
Sample1542	5	0	1010	0
Sample1543	31	434	503	0
Sample1544	38	505	449	0
Sample1545	38	547	429	0
Sample1546	0	328	394	245
Sample1547	38	535	419	0
Sample1548	0	296	443	274
Sample1549	43	575	354	0
Sample1550	42	551	387	0
Sample1551	0	323	423	262
Sample1552	0	574	0	425
Sample1553	23	299	659	0
Sample1554	24	314	649	0
Sample1555	0	223	453	339
Sample1556	28	476	459	0
Sample1557	39	557	384	0
Sample1558	37	542	421	0
Sample1559	27	369	584	0
Sample1560	38	500	462	0
Sample1561	54	716	0	210
Sample1562	40	560	380	0
Sample1563	28	422	574	0
Sample1564	0	574	0	425
Sample1565	26	362	577	0
Sample1566	24	368	595	0
Sample1567	0	319	423	267
Sample1568	37	533	438	0
Sample1569	32	435	541	0
Sample1570	30	458	542	0
Sample1571	35	516	464	0
Sample1572	11	373	629	0
Sample1573	56	682	0	262
Sample1574	0	395	397	219
Sample1575	38	449	485	0
Sample1576	0	263	516	233
Sample1577	24	295	661	0
Sample1578	14	0	959	0
Sample1579	55	678	0	282
Sample1580	38	531	439	0
Sample1581	0	331	392	242
Sample1582	38	571	399	0
Sample1583	40	596	356	0
Sample1584	28	398	608	0
Sample1585	39	559	387	0
Sample1586	26	330	631	0
Sample1587	40	570	375	0
Sample1588	0	276	400	338
Sample1589	46	589	389	0
Sample1590	25	355	600	0
Sample1591	54	691	0	270
Sample1592	14	0	961	0
Sample1593	36	524	467	0
Sample1594	42	645	297	0
Sample1595	48	559	0	369
Sample1596	34	468	516	0
Sample1597	26	323	617	0
Sample1598	39	567	394	0
Sample1599	0	407	332	267
Sample1600	27	411	589	0
Sample1601	40	561	407	0
Sample1602	39	514	433	0
Sample1603	41	648	319	0
Sample1604	26	359	651	0
Sample1605	25	301	651	0
Sample1606	22	296	656	0
Sample1607	40	601	359	0
Sample1608	38	540	414	0
Sample1609	37	523	432	0
Sample1610	37	520	469	0
Sample1611	27	380	629	0
Sample1612	38	549	441	0
Sample1613	35	487	486	0
Sample1614	35	502	477	0
Sample1615	2	0	963	0
Sample1616	38	563	425	0
Sample1617	23	329	630	0
Sample1618	38	449	485	0
Sample1619	10	344	648	0
Sample1620	0	574	0	425
Sample1621	39	582	363	0
Sample1622	38	570	384	0
Sample1623	37	524	423	0
Sample1624	28	409	587	0
Sample1625	36	506	466	0
Sample1626	0	553	0	455
Sample1627	12	0	691	304
Sample1628	27	397	602	0
Sample1629	38	567	395	0
Sample1630	29	407	540	0
Sample1631	30	445	539	0
Sample1632	0	276	406	334
Sample1633	57	705	221	0
Sample1634	39	554	407	0
Sample1635	39	545	416	0
Sample1636	24	280	663	0
Sample1637	28	424	535	0
Sample1638	40	549	397	0
Sample1639	41	590	361	0
Sample1640	56	689	0	241
Sample1641	39	567	402	0
Sample1642	0	285	418	272
Sample1643	39	546	428	0
Sample1644	29	411	526	0
Sample1645	38	449	485	0
Sample1646	35	493	498	0
Sample1647	0	252	405	361
Sample1648	27	369	580	0
Sample1649	22	396	598	0
Sample1650	24	323	632	0
Sample1651	0	293	448	253
Sample1652	0	271	351	391
Sample1653	25	371	592	0
Sample1654	36	488	494	0
Sample1655	23	268	690	0
Sample1656	38	449	485	0
Sample1657	35	496	461	0
Sample1658	32	479	519	0
Sample1659	42	599	349	0
Sample1660	39	550	419	0
Sample1661	37	532	450	0
Sample1662	24	332	617	0
Sample1663	35	453	520	0
Sample1664	55	676	0	254
Sample1665	58	687	0	227
Sample1666	16	421	581	0
Sample1667	5	0	1010	0
Sample1668	19	0	954	0
Sample1669	24	305	639	0
Sample1670	26	522	434	0
Sample1671	38	555	421	0
Sample1672	57	705	221	0
Sample1673	34	460	514	0
Sample1674	37	533	438	0
Sample1675	40	600	352	0
Sample1676	25	328	620	0
Sample1677	34	486	506	0
Sample1678	39	562	399	0
Sample1679	25	344	600	0
Sample1680	0	244	359	409
Sample1681	37	506	442	0
Sample1682	30	449	544	0
Sample1683	21	326	628	0
Sample1684	0	252	362	367
Sample1685	21	310	651	0
Sample1686	57	705	221	0
Sample1687	43	575	371	0
Sample1688	39	561	385	0
Sample1689	39	563	398	0
Sample1690	34	465	493	0
Sample1691	18	489	515	0
Sample1692	43	571	366	0
Sample1693	38	554	422	0
Sample1694	13	0	966	0
Sample1695	26	388	613	0
Sample1696	18	349	627	0
Sample1697	37	527	436	0
Sample1698	22	444	557	0
Sample1699	30	463	542	0
Sample1700	55	708	0	237
Sample1701	38	539	431	0
Sample1702	27	349	604	0
Sample1703	17	451	561	0
Sample1704	39	577	401	0
Sample1705	25	343	605	0
Sample1706	28	411	543	0
Sample1707	56	695	0	257
Sample1708	38	449	485	0
Sample1709	36	528	451	0
Sample1710	36	499	457	0
Sample1711	54	684	0	262
Sample1712	41	594	344	0
Sample1713	38	449	485	0
Sample1714	38	484	458	0
