Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1626	1008	0.919	385.506	38.245%	50.95	41.946%	0.1573
Sample1627	1007	0.914	406.342	40.352%	54.563	43.451%	0.152
Sample1628	1026	0.9	419.995	40.935%	53.721	45.602%	0.1507
Sample1629	1000	0.876	439.118	43.912%	57.109	50.604%	0.1745
Sample1630	976	0.878	426.652	43.714%	56.839	49.543%	0.1728
Sample1631	1014	0.887	427.83	42.192%	55.684	48.566%	0.1645
Sample1632	1016	0.928	337.209	33.19%	48.49	39.044%	0.1071
Sample1633	983	0.867	440.586	44.821%	57.044	53.712%	0.1997
Sample1634	1000	0.888	424.214	42.421%	54.019	48.355%	0.1614
Sample1635	1000	0.865	447.773	44.777%	59.823	52.228%	0.18
Sample1636	967	0.863	440.885	45.593%	62.166	51.663%	0.1717
Sample1637	987	0.863	481.894	48.824%	60.72	52.693%	0.1834
Sample1638	986	0.879	420.475	42.645%	55.475	49.911%	0.1699
Sample1639	992	0.864	456.502	46.018%	59.332	52.707%	0.1853
Sample1640	986	0.878	425.912	43.196%	56.399	50.481%	0.1879
Sample1641	1008	0.871	448.406	44.485%	58.638	51.319%	0.1763
Sample1642	975	0.866	463.861	47.575%	62.728	52.436%	0.1933
Sample1643	1013	0.862	458.283	45.24%	61.639	52.694%	0.1833
Sample1644	966	0.859	464.491	48.084%	61.356	52.608%	0.1915
Sample1645	972	0.89	413.905	42.583%	52.526	48.034%	0.1659
Sample1646	1026	0.884	452.346	44.088%	56.854	49.03%	0.1638
Sample1647	1018	0.954	303.356	29.799%	39.274	31.497%	0.088
Sample1648	976	0.876	440.971	45.181%	58.035	49.565%	0.163
Sample1649	1016	0.885	437.331	43.044%	57.217	48.562%	0.1712
Sample1650	979	0.884	442.858	45.236%	56.801	48.145%	0.1634
Sample1651	994	0.885	450.492	45.321%	58.964	48.312%	0.1738
Sample1652	1013	0.935	343.091	33.869%	46.493	37.353%	0.1073
Sample1653	988	0.887	439.72	44.506%	56.155	47.348%	0.1662
Sample1654	1018	0.868	441.488	43.368%	61.04	51.607%	0.1731
Sample1655	981	0.893	412.878	42.087%	55.296	46.288%	0.1506
Sample1656	972	0.89	413.905	42.583%	52.526	48.034%	0.1659
Sample1657	992	0.901	404.09	40.735%	50.464	45.763%	0.1577
Sample1658	1030	0.858	472.437	45.868%	64.227	53.374%	0.1817
Sample1659	990	0.885	433.136	43.751%	53.903	48.999%	0.171
Sample1660	1008	0.862	459.903	45.625%	61.175	52.768%	0.1816
Sample1661	1019	0.889	418.222	41.042%	55.095	47.772%	0.1548
Sample1662	973	0.889	438.935	45.112%	55.268	46.994%	0.1697
Sample1663	1008	0.877	433.895	43.045%	58.226	49.987%	0.1687
Sample1664	985	0.869	445.686	45.247%	58.57	52.259%	0.1943
Sample1665	972	0.868	445.506	45.834%	57.55	52.628%	0.2012
Sample1666	1018	0.865	474.876	46.648%	62.439	52.109%	0.1777
Sample1667	1015	0.862	512.828	50.525%	68.453	53.621%	0.1938
Sample1668	973	0.825	529.912	54.462%	73.914	60.121%	0.2216
Sample1669	968	0.886	428.755	44.293%	56.33	47.344%	0.1582
Sample1670	982	0.853	474.874	48.358%	61.658	54.562%	0.2044
Sample1671	1014	0.873	446.346	44.018%	58.805	51.087%	0.1785
Sample1672	983	0.867	440.586	44.821%	57.044	53.712%	0.1997
Sample1673	1008	0.878	444.735	44.121%	58.257	49.78%	0.1696
Sample1674	1008	0.872	441.637	43.813%	58.796	51.206%	0.1786
Sample1675	992	0.881	425.244	42.867%	55.187	49.785%	0.1707
