Samples	Signature A	Signature B	Signature C
Sample264	3970	5245	104
Sample265	4288	4998	108
Sample266	4219	5094	107
Sample267	4187	5152	110
Sample268	4184	5179	111
Sample269	4398	5015	115
Sample270	5095	4352	257
Sample271	5116	4360	259
Sample272	5368	4163	272
Sample273	5460	4112	274
Sample274	5500	4104	271
Sample275	5496	4146	266
Sample276	5437	4237	263
Sample277	5389	4315	258
Sample278	5346	4386	258
Sample279	5356	4409	260
Sample280	5319	4472	258
Sample281	5296	4533	250
Sample282	5345	4523	249
Sample283	5315	4586	242
Sample284	5269	4668	246
Sample285	5358	4605	261
Sample286	5551	4484	265
Sample287	5477	4592	261
Sample288	5483	4618	269
Sample289	5451	4680	272
Sample290	5410	4756	273
Sample291	5423	4780	273
Sample292	5343	4896	268
Sample293	5772	4549	264
Sample294	5809	4547	258
Sample295	5788	4600	252
Sample296	5756	4661	256
Sample297	5697	4747	256
Sample298	5695	4752	261
Sample299	5755	4735	249
Sample300	5772	4736	248
Sample301	5645	4885	269
Sample302	5582	4974	271
Sample303	5551	5038	266
Sample304	5548	5076	267
Sample305	5572	5090	265
Sample306	5628	5082	257
Sample307	5683	5060	257
Sample308	5668	5111	252
Sample309	5672	5144	245
Sample310	5608	5241	241
Sample311	5641	5243	233
Sample312	5756	5170	232
Sample313	5639	5307	235
Sample314	5982	5040	236
Sample315	5975	5084	228
Sample316	5941	5149	226
Sample317	5888	5234	224
Sample318	6090	5073	227
Sample319	6106	5097	217
Sample320	6415	4860	218
Sample321	6418	4890	209
Sample322	6460	4892	206
Sample323	6424	4957	208
Sample324	6425	4997	207
Sample325	6477	4987	194
Sample326	6514	4984	192
Sample327	6526	4999	194
Sample328	6570	4991	201
Sample329	6553	5034	211
Sample330	6556	5064	204
Sample331	6729	4952	228
Sample332	7036	4716	229
Sample333	7068	4729	225
Sample334	7030	4805	214
Sample335	7305	4596	226
Sample336	7576	4395	233
Sample337	7571	4432	232
Sample338	7679	4338	262
Sample339	7712	4338	260
Sample340	7736	4350	254
Sample341	7776	4350	251
Sample342	8085	4115	247
Sample343	8102	4131	246
Sample344	8055	4209	245
Sample345	8030	4280	239
Sample346	8068	4292	230
Sample347	8121	4276	220
Sample348	8315	4162	214
Sample349	8467	4044	223
Sample350	8492	4050	218
Sample351	8483	4090	214
Sample352	8827	3823	212
Sample353	9017	3662	211
Sample354	9092	3634	207
Sample355	9107	3654	210
Sample356	9137	3658	201
Sample357	9170	3662	192
Sample358	9347	3533	191
Sample359	9363	3545	200
Sample360	9378	3569	192
Sample361	9344	3631	194
Sample362	9301	3704	192
Sample363	9229	3805	194
Sample364	9287	3792	193
Sample365	9307	3803	191
Sample366	9340	3802	192
Sample367	9322	3853	196
Sample368	9326	3885	188
Sample369	9350	3896	179
Sample370	9311	3965	177
Sample371	9339	3967	176
Sample372	9309	4025	178
Sample373	9285	4071	187
Sample374	9297	4091	184
Sample375	9521	3934	193
Sample376	9565	3931	191
Sample377	9750	3790	203
Sample378	9750	3827	206
Sample379	9750	3866	198
Sample380	10011	3674	210
Sample381	10023	3691	211
Sample382	10225	3557	218
Sample383	10235	3585	216
Sample384	10199	3653	220
Sample385	10300	3597	211
Sample386	10251	3667	226
Sample387	10271	3682	223
Sample388	10299	3687	221
Sample389	10337	3688	214
Sample390	10303	3755	222
Sample391	10316	3778	224
Sample392	10324	3803	219
Sample393	11025	3136	361
Sample394	11026	3150	356
Sample395	11041	3171	360
Sample396	11025	3223	354
Sample397	11029	3255	344
Sample398	11071	3253	337
Sample399	11028	3334	337
Sample400	11035	3373	327
Sample401	10920	3508	330
Sample402	10899	3560	326
Sample403	10876	3623	313
Sample404	10820	3704	319
Sample405	10788	3768	317
Sample406	10742	3849	327
Sample407	10809	3804	326
Sample408	10635	4002	329
Sample409	10649	4022	337
Sample410	10637	4066	331
Sample411	10597	4131	338
Sample412	10526	4228	338
Sample413	10428	4355	353
Sample414	10459	4360	354
Sample415	10530	4324	345
Sample416	10555	4314	349
Sample417	10645	4264	349
Sample418	10530	4399	352
Sample419	10548	4420	340
Sample420	10854	4177	350
Sample421	10860	4206	357
Sample422	11049	4085	368
Sample423	11011	4154	362
Sample424	10941	4263	363
Sample425	10934	4302	358
Sample426	10902	4369	350
Sample427	11172	4162	364
Sample428	11169	4194	363
Sample429	11197	4202	356
Sample430	11082	4337	359
Sample431	11078	4382	349
Sample432	11093	4400	345
Sample433	11795	3732	487
Sample434	11799	3762	481
Sample435	11983	3621	494
Sample436	11898	3736	495
Sample437	11895	3777	486
Sample438	12042	3671	486
Sample439	12065	3682	494
Sample440	12068	3716	495
Sample441	12083	3728	493
Sample442	12092	3755	483
Sample443	12063	3808	487
Sample444	12078	3832	478
Sample445	12086	3860	473
Sample446	12079	3903	465
Sample447	12322	3734	467
Sample448	12296	3792	462
Sample449	12277	3847	465
Sample450	12308	3849	456
Sample451	12248	3940	459
Sample452	12474	3778	467
Sample453	12513	3775	456
Sample454	12790	3578	454
Sample455	12773	3630	453
Sample456	12761	3676	445
Sample457	12889	3607	439
Sample458	12859	3669	436
Sample459	12886	3676	429
Sample460	13099	3518	449
Sample461	13063	3578	457
Sample462	13011	3654	459
Sample463	12976	3720	467
Sample464	12969	3755	462
Sample465	12972	3783	456
Sample466	12963	3825	453
Sample467	12873	3936	466
Sample468	12872	3970	459
Sample469	12938	3942	448
Sample470	12927	3992	439
Sample471	12914	4039	441
Sample472	12889	4106	439
Sample473	12961	4074	432
Sample474	12925	4149	429
Sample475	13004	4087	435
Sample476	12950	4150	445
Sample477	12950	4182	438
Sample478	12956	4215	426
Sample479	12901	4299	427
Sample480	12960	4278	429
Sample481	12890	4380	426
Sample482	12849	4456	416
Sample483	12863	4474	414
Sample484	12845	4527	406
Sample485	12806	4600	401
Sample486	12730	4704	399
Sample487	12754	4712	410
Sample488	12783	4716	407
Sample489	12773	4761	397
Sample490	12726	4839	396
Sample491	12747	4856	399
Sample492	12977	4705	395
Sample493	13062	4667	383
Sample494	13049	4712	389
Sample495	13014	4775	387
Sample496	13118	4702	398
Sample497	12988	4848	410
Sample498	13057	4833	404
Sample499	13055	4868	395
Sample500	13117	4828	422
Sample501	13371	4610	434
Sample502	13369	4642	432
Sample503	13357	4692	425
Sample504	13310	4775	419
Sample505	13316	4804	416
Sample506	13405	4752	421
Sample507	13452	4737	416
Sample508	13428	4789	417
Sample509	13589	4692	430
Sample510	13687	4631	434
Sample511	13950	4437	448
Sample512	13923	4493	451
Sample513	13905	4541	446
Sample514	14227	4275	474
Sample515	14169	4355	482
Sample516	14412	4171	495
Sample517	14416	4200	492
Sample518	14427	4227	483
Sample519	14471	4222	472
Sample520	14479	4249	466
Sample521	14558	4198	466
Sample522	14726	4080	460
Sample523	14787	4066	453
Sample524	14760	4126	450
Sample525	15130	3824	454
Sample526	15080	3907	451
Sample527	15413	3641	464
Sample528	15299	3775	467
Sample529	15290	3818	459
Sample530	15233	3892	469
Sample531	15266	3892	464
Sample532	15624	3603	468
Sample533	15605	3646	471
Sample534	15535	3750	475
Sample535	15519	3805	472
Sample536	15527	3820	478
Sample537	15526	3854	473
Sample538	15552	3859	469
Sample539	15786	3672	472
Sample540	16067	3460	483
Sample541	16061	3496	481
Sample542	16075	3518	485
Sample543	16100	3530	477
Sample544	15978	3670	486
Sample545	16354	3374	490
Sample546	16357	3410	487
Sample547	16445	3359	476
Sample548	16471	3340	486
Sample549	16563	3277	486
Sample550	16566	3305	480
Sample551	16588	3315	474
Sample552	16569	3367	470
Sample553	16536	3427	470
Sample554	16514	3474	474
Sample555	16551	3487	468
Sample556	16487	3582	469
Sample557	16499	3603	461
Sample558	16532	3607	449
Sample559	16523	3641	450
Sample560	16605	3603	444
Sample561	17310	2933	585
Sample562	17275	2995	588
Sample563	17320	3002	581
Sample564	17284	3067	576
Sample565	17292	3092	574
Sample566	17257	3162	571
Sample567	17283	3169	562
Sample568	17435	3050	567
Sample569	17535	2990	573
Sample570	17498	3062	565
Sample571	17509	3083	562
Sample572	17632	2998	563
Sample573	17671	2977	562
Sample574	17681	3004	551
Sample575	18062	2693	555
Sample576	18767	2022	697
Sample577	18880	1949	687
Sample578	18952	1919	679
Sample579	18983	1932	679
Sample580	19023	1932	664
Sample581	18952	2028	669
Sample582	19217	1831	680
Sample583	19223	1853	681
Sample584	19280	1840	676
Sample585	19987	1166	819
Sample586	19985	1195	821
Sample587	20245	990	847
Sample588	20193	1071	844
Sample589	20165	1131	846
Sample590	20155	1172	858
Sample591	20168	1196	847
Sample592	20155	1248	845
Sample593	20196	1238	855
Sample594	20235	1238	858
Sample595	20256	1253	853
Sample596	20613	969	865
Sample597	20877	779	867
Sample598	20904	792	864
Sample599	20872	861	855
Sample600	21206	595	866
Sample601	21243	596	857
Sample602	21211	651	865
Sample603	21330	578	867
Sample604	21297	640	869
Sample605	21347	635	859
Sample606	21405	618	850
Sample607	21471	593	845
Sample608	21460	635	840
Sample609	21481	654	827
Sample610	21838	394	805
Sample611	21769	494	804
Sample612	21879	429	802
Sample613	21910	425	804
Sample614	22300	115	804
Sample615	22348	103	794
Sample616	22257	218	796
Sample617	22447	105	796
Sample618	22444	142	791
Sample619	22364	248	790
Sample620	22385	264	779
Sample621	22349	332	776
