Samples	Signature A	Signature B	Signature C
Sample1124	9.86E+01	4.82E+02	4.11E+02
Sample1125	7.05E+01	5.27E+02	5.09E+02
Sample1126	8.32E+01	6.57E+02	6.18E+02
Sample1127	9.29E+01	2.90E+02	3.05E+02
Sample1128	6.20E+01	4.05E+02	4.09E+02
Sample1129	1.40E+02	7.19E+02	6.43E+02
Sample1130	4.16E+01	3.10E+02	2.95E+02
Sample1131	3.93E+01	4.02E+02	4.05E+02
Sample1132	6.73E+01	5.61E+02	5.21E+02
Sample1133	6.71E+01	3.94E+02	3.69E+02
Sample1134	3.46E+01	5.52E+02	5.32E+02
Sample1135	7.49E+01	5.91E+02	5.55E+02
Sample1136	1.20E+02	7.21E+02	6.60E+02
Sample1137	1.19E+02	6.43E+02	6.84E+02
Sample1138	7.14E+01	6.05E+02	5.94E+02
Sample1139	8.59E+01	3.40E+02	3.18E+02
Sample1140	4.93E+01	6.37E+02	6.19E+02
Sample1141	9.63E+01	8.40E+02	7.85E+02
Sample1142	6.64E+01	5.63E+02	5.33E+02
Sample1143	5.62E+01	5.14E+02	5.21E+02
Sample1144	1.10E+02	4.94E+02	4.32E+02
Sample1145	8.40E+01	6.49E+02	6.36E+02
Sample1146	1.19E+02	4.77E+02	4.56E+02
Sample1147	1.18E+02	3.92E+02	3.02E+02
Sample1148	9.21E+01	5.48E+02	4.95E+02
Sample1149	8.55E+01	7.24E+02	7.16E+02
Sample1150	6.84E+01	5.38E+02	5.29E+02
Sample1151	1.26E+02	6.05E+02	4.98E+02
Sample1152	8.44E+01	5.00E+02	4.26E+02
Sample1153	3.40E+01	5.19E+02	5.09E+02
Sample1154	6.22E+01	7.02E+02	6.91E+02
Sample1155	9.98E+01	4.55E+02	4.39E+02
Sample1156	1.04E+02	7.42E+02	6.71E+02
Sample1157	8.20E+01	3.06E+02	3.36E+02
Sample1158	7.16E+01	3.64E+02	3.18E+02
Sample1159	7.03E+01	3.46E+02	3.25E+02
Sample1160	9.33E+01	5.02E+02	4.67E+02
Sample1161	7.55E+01	4.92E+02	4.80E+02
Sample1162	7.38E+01	5.92E+02	5.46E+02
Sample1163	8.42E+01	4.90E+02	4.72E+02
Sample1164	9.68E+01	6.17E+02	5.63E+02
Sample1165	1.09E+02	5.23E+02	5.11E+02
Sample1166	8.73E+01	5.45E+02	5.17E+02
Sample1167	9.68E+01	4.22E+02	3.88E+02
Sample1168	5.99E+01	4.94E+02	4.55E+02
Sample1169	9.75E+01	4.25E+02	3.75E+02
Sample1170	8.24E+01	5.66E+02	4.98E+02
Sample1171	8.51E+01	6.09E+02	5.81E+02
Sample1172	8.98E+01	4.85E+02	4.50E+02
Sample1173	5.12E+01	4.11E+02	3.75E+02
Sample1174	6.22E+01	4.90E+02	4.63E+02
Sample1175	5.89E+01	4.02E+02	3.64E+02
Sample1176	7.76E+01	2.88E+02	2.96E+02
Sample1177	6.92E+01	5.05E+02	4.98E+02
Sample1178	6.45E+01	3.75E+02	3.71E+02
Sample1179	4.28E+01	7.69E+02	7.54E+02
Sample1180	1.00E+02	6.34E+02	6.18E+02
Sample1181	6.95E+01	4.56E+02	4.48E+02
Sample1182	8.96E+01	4.62E+02	5.01E+02
Sample1183	7.70E+01	4.72E+02	4.49E+02
Sample1184	6.56E+01	3.34E+02	3.02E+02
Sample1185	7.16E+01	5.42E+02	5.06E+02
Sample1186	1.18E+02	4.58E+02	4.38E+02
Sample1187	1.20E+02	5.61E+02	4.75E+02
Sample1188	1.13E+02	2.73E+02	2.81E+02
Sample1189	8.43E+01	4.36E+02	4.22E+02
Sample1190	7.93E+01	5.57E+02	5.18E+02
