Samples	Signature A	Signature B	Signature C
Sample1495	1.04E+02	4.96E+02	5.11E+02
Sample1496	6.44E+01	4.09E+02	4.21E+02
Sample1497	1.15E+02	5.30E+02	4.73E+02
Sample1498	7.98E+01	4.10E+02	3.84E+02
Sample1499	7.99E+01	6.18E+02	5.92E+02
Sample1500	7.93E+01	6.59E+02	6.21E+02
Sample1501	8.53E+01	6.71E+02	6.14E+02
Sample1502	9.65E+01	5.21E+02	5.45E+02
Sample1503	8.99E+01	6.73E+02	6.07E+02
Sample1504	8.65E+01	5.50E+02	5.30E+02
Sample1505	6.57E+01	5.70E+02	5.43E+02
Sample1506	6.04E+01	6.50E+02	6.26E+02
Sample1507	8.06E+01	9.03E+02	8.60E+02
Sample1508	6.25E+01	4.71E+02	4.58E+02
Sample1509	6.09E+01	7.82E+02	7.40E+02
Sample1510	9.14E+01	7.54E+02	6.82E+02
Sample1511	9.19E+01	3.53E+02	3.37E+02
Sample1512	6.42E+01	4.72E+02	4.49E+02
Sample1513	1.00E+02	7.50E+02	6.76E+02
Sample1514	5.21E+01	4.86E+02	4.73E+02
Sample1515	1.13E+02	2.21E+02	2.84E+02
Sample1516	7.60E+01	4.11E+02	3.91E+02
Sample1517	9.10E+01	8.05E+02	8.03E+02
Sample1518	9.12E+01	7.51E+02	7.39E+02
Sample1519	8.41E+01	3.13E+02	2.86E+02
Sample1520	1.21E+02	3.69E+02	3.55E+02
Sample1521	6.17E+01	6.20E+02	6.07E+02
Sample1522	8.26E+01	2.55E+02	2.67E+02
Sample1523	7.33E+01	4.84E+02	4.67E+02
Sample1524	9.48E+01	8.22E+02	7.76E+02
Sample1525	8.06E+01	9.11E+02	8.67E+02
Sample1526	1.06E+02	9.20E+02	8.89E+02
Sample1527	1.09E+02	7.68E+02	7.05E+02
Sample1528	9.37E+01	4.06E+02	4.63E+02
Sample1529	1.13E+02	3.50E+02	3.73E+02
Sample1530	6.05E+01	4.50E+02	4.59E+02
Sample1531	8.73E+01	3.34E+02	2.97E+02
Sample1532	1.38E+02	8.76E+02	8.25E+02
Sample1533	6.73E+01	5.56E+02	5.13E+02
Sample1534	1.32E+02	7.59E+02	7.62E+02
Sample1535	9.35E+01	4.17E+02	4.47E+02
Sample1536	9.43E+01	6.42E+02	6.42E+02
Sample1537	5.21E+01	8.06E+02	7.84E+02
Sample1538	8.40E+01	4.69E+02	5.19E+02
Sample1539	9.48E+01	8.97E+02	8.68E+02
Sample1540	1.18E+02	7.48E+02	6.99E+02
Sample1541	1.15E+02	3.49E+02	3.70E+02
Sample1542	8.99E+01	4.90E+02	4.65E+02
Sample1543	9.93E+01	3.10E+02	3.39E+02
Sample1544	5.27E+01	6.59E+02	6.78E+02
Sample1545	7.80E+01	4.64E+02	4.24E+02
Sample1546	1.29E+02	8.77E+02	7.80E+02
Sample1547	9.08E+01	3.60E+02	3.61E+02
Sample1548	8.82E+01	3.62E+02	3.81E+02
Sample1549	7.60E+01	4.85E+02	4.72E+02
Sample1550	8.48E+01	7.32E+02	7.37E+02
Sample1551	1.13E+02	6.52E+02	5.98E+02
Sample1552	1.10E+02	5.28E+02	5.25E+02
Sample1553	1.34E+02	5.75E+02	5.73E+02
Sample1554	8.89E+01	6.45E+02	6.81E+02
Sample1555	1.03E+02	6.49E+02	6.47E+02
Sample1556	1.54E+02	7.14E+02	6.83E+02
Sample1557	1.24E+02	4.09E+02	5.04E+02
Sample1558	5.19E+01	4.16E+02	4.04E+02
Sample1559	1.11E+02	7.82E+02	7.14E+02
Sample1560	9.27E+01	8.36E+02	7.88E+02
Sample1561	8.39E+01	5.71E+02	5.80E+02
Sample1562	1.00E+02	5.47E+02	4.96E+02
Sample1563	8.29E+01	5.70E+02	5.44E+02
Sample1564	1.29E+02	5.09E+02	4.14E+02
Sample1565	1.19E+02	5.43E+02	4.82E+02
Sample1566	1.00E+02	5.91E+02	5.16E+02
Sample1567	1.12E+02	6.17E+02	5.47E+02
Sample1568	5.99E+01	4.57E+02	4.29E+02
Sample1569	1.03E+02	4.11E+02	3.51E+02
Sample1570	7.48E+01	4.53E+02	4.32E+02
Sample1571	6.15E+01	5.61E+02	5.36E+02
Sample1572	1.04E+02	3.76E+02	3.12E+02
Sample1573	6.21E+01	4.45E+02	4.67E+02
Sample1574	7.73E+01	3.68E+02	3.30E+02
Sample1575	1.30E+02	6.42E+02	6.32E+02
Sample1576	5.89E+01	4.27E+02	4.31E+02
Sample1577	1.15E+02	5.46E+02	5.08E+02
Sample1578	8.75E+01	5.66E+02	5.91E+02
Sample1579	9.34E+01	4.56E+02	4.10E+02
Sample1580	8.51E+01	5.64E+02	5.54E+02
Sample1581	9.81E+01	5.51E+02	5.86E+02
Sample1582	9.57E+01	4.84E+02	4.06E+02
Sample1583	8.62E+01	6.52E+02	6.47E+02
Sample1584	1.04E+02	6.21E+02	6.20E+02
Sample1585	5.25E+01	5.24E+02	5.33E+02
Sample1586	1.15E+02	5.44E+02	5.07E+02
Sample1587	7.52E+01	7.53E+02	7.01E+02
Sample1588	1.16E+02	4.90E+02	5.20E+02
Sample1589	6.87E+01	6.81E+02	6.39E+02
Sample1590	8.73E+01	7.77E+02	7.22E+02
Sample1591	1.25E+02	6.75E+02	6.77E+02
Sample1592	7.65E+01	3.43E+02	3.60E+02
Sample1593	8.42E+01	5.54E+02	5.65E+02
Sample1594	1.09E+02	6.51E+02	5.88E+02
Sample1595	1.37E+02	6.01E+02	5.95E+02
Sample1596	7.23E+01	6.20E+02	6.47E+02
Sample1597	8.96E+01	5.56E+02	5.84E+02
Sample1598	9.66E+01	5.24E+02	5.14E+02
Sample1599	8.53E+01	6.02E+02	6.02E+02
Sample1600	1.27E+02	5.91E+02	5.36E+02
Sample1601	9.26E+01	6.23E+02	5.90E+02
Sample1602	9.23E+01	5.18E+02	4.63E+02
Sample1603	1.13E+02	6.30E+02	6.16E+02
Sample1604	5.26E+01	4.94E+02	4.74E+02
Sample1605	6.68E+01	6.46E+02	6.49E+02
Sample1606	8.95E+01	7.43E+02	6.82E+02
Sample1607	1.04E+02	5.70E+02	6.08E+02
Sample1608	1.01E+02	4.94E+02	5.25E+02
Sample1609	1.07E+02	6.12E+02	5.95E+02
Sample1610	9.25E+01	6.87E+02	6.50E+02
Sample1611	9.98E+01	8.35E+02	8.11E+02
Sample1612	1.10E+02	6.43E+02	5.85E+02
Sample1613	1.14E+02	4.46E+02	4.58E+02
Sample1614	9.21E+01	5.67E+02	5.63E+02
Sample1615	7.46E+01	4.04E+02	4.19E+02
Sample1616	1.17E+02	6.96E+02	5.99E+02
Sample1617	1.53E+02	4.89E+02	4.91E+02
Sample1618	1.04E+02	7.68E+02	6.96E+02
Sample1619	9.14E+01	4.76E+02	4.52E+02
Sample1620	1.39E+02	5.66E+02	4.79E+02
Sample1621	8.63E+01	2.72E+02	2.92E+02
Sample1622	1.35E+02	5.78E+02	4.65E+02
Sample1623	1.08E+02	6.46E+02	6.30E+02
Sample1624	9.22E+01	6.16E+02	5.89E+02
Sample1625	6.98E+01	6.21E+02	6.19E+02
Sample1626	4.63E+01	4.46E+02	4.46E+02
Sample1627	1.04E+02	4.31E+02	3.77E+02
Sample1628	1.16E+02	3.33E+02	2.74E+02
Sample1629	1.16E+02	5.14E+02	5.27E+02
Sample1630	1.10E+02	3.97E+02	4.67E+02
Sample1631	1.03E+02	8.08E+02	7.75E+02
Sample1632	1.30E+02	7.55E+02	6.68E+02
Sample1633	9.00E+01	6.49E+02	5.86E+02
Sample1634	1.05E+02	5.89E+02	5.97E+02
Sample1635	8.01E+01	8.26E+02	7.92E+02
Sample1636	8.86E+01	4.28E+02	3.69E+02
Sample1637	8.53E+01	3.98E+02	3.90E+02
Sample1638	1.13E+02	6.29E+02	5.96E+02
Sample1639	8.12E+01	3.75E+02	3.29E+02
Sample1640	8.42E+01	4.61E+02	4.76E+02
Sample1641	8.98E+01	4.68E+02	5.18E+02
Sample1642	1.28E+02	5.33E+02	5.21E+02
Sample1643	1.25E+02	4.67E+02	4.44E+02
Sample1644	1.41E+02	3.92E+02	3.84E+02
Sample1645	9.21E+01	3.18E+02	3.66E+02
Sample1646	1.23E+02	5.68E+02	4.98E+02
Sample1647	7.74E+01	5.96E+02	5.99E+02
Sample1648	1.16E+02	5.58E+02	5.64E+02
Sample1649	8.09E+01	5.48E+02	5.51E+02
Sample1650	9.12E+01	5.22E+02	4.97E+02
Sample1651	7.30E+01	4.51E+02	4.31E+02
Sample1652	8.25E+01	7.42E+02	7.62E+02
Sample1653	1.03E+02	4.75E+02	4.37E+02
Sample1654	7.54E+01	5.93E+02	5.76E+02
Sample1655	1.14E+02	3.77E+02	3.67E+02
Sample1656	9.76E+01	5.76E+02	5.76E+02
Sample1657	8.86E+01	4.50E+02	4.58E+02
Sample1658	8.51E+01	5.55E+02	5.59E+02
Sample1659	4.78E+01	7.71E+02	7.81E+02
Sample1660	4.90E+01	4.11E+02	4.04E+02
Sample1661	1.55E+02	6.42E+02	5.52E+02
Sample1662	8.57E+01	4.42E+02	4.44E+02
Sample1663	1.19E+02	5.81E+02	5.45E+02
Sample1664	1.28E+02	3.97E+02	3.67E+02
Sample1665	1.10E+02	5.76E+02	5.86E+02
Sample1666	9.23E+01	5.55E+02	5.19E+02
Sample1667	1.34E+02	4.84E+02	4.46E+02
Sample1668	5.88E+01	5.85E+02	5.48E+02
Sample1669	1.19E+02	5.81E+02	5.82E+02
Sample1670	1.36E+02	6.52E+02	6.07E+02
Sample1671	8.61E+01	7.44E+02	7.33E+02
Sample1672	1.04E+02	6.46E+02	6.06E+02
Sample1673	7.15E+01	6.95E+02	6.68E+02
Sample1674	1.17E+02	5.02E+02	4.64E+02
Sample1675	1.40E+02	3.65E+02	3.40E+02
Sample1676	7.81E+01	6.81E+02	6.56E+02
Sample1677	8.02E+01	7.29E+02	7.22E+02
Sample1678	7.19E+01	5.00E+02	5.18E+02
Sample1679	7.31E+01	7.22E+02	6.90E+02
Sample1680	5.75E+01	2.51E+02	2.26E+02
Sample1681	1.30E+02	7.84E+02	6.83E+02
Sample1682	5.94E+01	4.91E+02	4.94E+02
Sample1683	8.20E+01	5.45E+02	5.30E+02
Sample1684	7.95E+01	5.25E+02	5.05E+02
Sample1685	1.33E+02	3.92E+02	3.91E+02
Sample1686	9.74E+01	4.50E+02	4.96E+02
Sample1687	1.11E+02	6.08E+02	6.07E+02
Sample1688	9.74E+01	9.32E+02	8.78E+02
Sample1689	8.07E+01	7.63E+02	7.36E+02
Sample1690	1.41E+02	7.11E+02	5.90E+02
Sample1691	1.05E+02	4.89E+02	4.55E+02
Sample1692	6.19E+01	5.91E+02	5.69E+02
Sample1693	9.82E+01	7.65E+02	7.63E+02
Sample1694	6.37E+01	5.39E+02	5.23E+02
Sample1695	1.21E+02	6.93E+02	6.48E+02
Sample1696	1.34E+02	6.38E+02	6.18E+02
Sample1697	9.34E+01	6.85E+02	6.42E+02
Sample1698	9.67E+01	7.88E+02	7.20E+02
Sample1699	8.63E+01	6.66E+02	6.68E+02
Sample1700	1.01E+02	7.87E+02	7.68E+02
Sample1701	6.21E+01	7.01E+02	6.83E+02
Sample1702	1.20E+02	8.35E+02	8.00E+02
Sample1703	1.58E+02	6.58E+02	6.38E+02
Sample1704	9.25E+01	6.10E+02	6.10E+02
Sample1705	1.35E+02	6.28E+02	5.91E+02
Sample1706	9.09E+01	5.23E+02	5.11E+02
Sample1707	1.52E+02	6.12E+02	5.21E+02
Sample1708	8.34E+01	7.70E+02	7.94E+02
Sample1709	6.32E+01	6.41E+02	5.99E+02
Sample1710	1.17E+02	5.90E+02	5.35E+02
Sample1711	8.23E+01	6.06E+02	6.22E+02
Sample1712	1.09E+02	7.59E+02	6.81E+02
Sample1713	7.37E+01	6.18E+02	5.84E+02
Sample1714	7.79E+01	6.20E+02	5.90E+02
