Samples	Signature A	Signature B	Signature C	Signature D	Signature E
Sample347	1.47E+01	2.38E+01	1.29E+01	2.70E+01	1.39E+01
Sample348	3.76E+01	2.40E+01	2.03E+01	2.88E+01	1.91E+01
Sample349	2.90E+01	2.69E+01	1.22E+01	5.72E+01	2.37E+01
Sample350	1.26E+01	2.10E+01	2.72E+01	1.31E+01	1.01E+01
Sample351	1.80E+01	1.94E+01	2.44E+01	1.60E+01	1.21E+01
Sample352	2.66E+01	1.47E+01	2.66E+01	4.68E+01	1.41E+01
Sample353	2.47E+01	5.12E+01	1.98E+01	8.59E+01	3.60E+01
Sample354	4.28E+01	2.72E+01	2.56E+01	5.26E+01	1.31E+01
Sample355	1.26E+01	1.20E+01	1.58E+01	1.58E+01	1.34E+01
Sample356	1.98E+01	1.71E+01	1.61E+01	1.09E+01	9.78E+00
Sample357	1.20E+01	1.61E+01	2.24E+01	1.27E+01	1.03E+01
Sample358	1.96E+01	1.09E+01	2.10E+01	2.80E+01	1.10E+01
Sample359	4.04E+01	3.05E+01	1.80E+01	3.50E+01	1.55E+01
Sample360	1.72E+01	1.27E+01	1.32E+01	1.85E+01	7.67E+00
Sample361	1.85E+01	1.71E+01	2.67E+01	2.66E+01	1.36E+01
Sample362	1.62E+01	1.56E+01	2.15E+01	1.78E+01	9.57E+00
Sample363	2.21E+01	2.58E+01	2.19E+01	1.33E+01	1.30E+01
Sample364	3.02E+01	2.12E+01	1.94E+01	3.36E+01	1.31E+01
Sample365	2.18E+01	3.07E+01	3.11E+01	3.10E+01	1.34E+01
Sample366	9.79E+00	1.92E+01	1.80E+01	1.09E+01	1.01E+01
Sample367	4.35E+01	1.35E+01	1.83E+01	3.36E+01	1.27E+01
Sample368	2.87E+01	2.14E+01	3.52E+01	1.87E+01	9.78E+00
Sample369	1.43E+01	1.33E+01	1.74E+01	1.75E+01	6.90E+00
Sample370	2.02E+01	1.09E+01	1.89E+01	1.18E+01	7.28E+00
Sample371	1.54E+01	1.02E+01	2.15E+01	1.96E+01	1.04E+01
Sample372	1.61E+01	2.42E+01	2.48E+01	1.54E+01	8.10E+00
Sample373	4.48E+01	2.55E+01	1.94E+01	1.84E+01	9.31E+00
Sample374	2.04E+01	1.15E+01	1.83E+01	1.51E+01	7.18E+00
Sample375	1.35E+01	2.13E+01	2.78E+01	5.74E+01	2.05E+01
Sample376	4.10E+01	3.06E+01	2.01E+01	3.29E+01	8.49E+00
Sample377	2.47E+01	2.32E+01	1.29E+01	4.69E+01	1.57E+01
Sample378	2.08E+01	2.90E+01	1.62E+01	3.50E+01	5.40E+00
Sample379	2.30E+01	1.02E+01	2.93E+01	1.72E+01	6.69E+00
Sample380	4.21E+01	2.86E+01	1.19E+01	3.20E+01	1.23E+01
Sample381	1.24E+01	2.14E+01	1.57E+01	2.90E+01	7.49E+00
Sample382	2.70E+01	2.63E+01	2.25E+01	4.65E+01	1.31E+01
Sample383	1.58E+01	1.83E+01	2.08E+01	1.44E+01	1.34E+01
Sample384	1.89E+01	1.41E+01	2.27E+01	2.59E+01	5.18E+00
Sample385	2.38E+01	1.52E+01	2.20E+01	2.95E+01	1.52E+01
Sample386	3.08E+01	2.18E+01	1.40E+01	2.02E+01	1.13E+01
Sample387	1.42E+01	1.64E+01	1.70E+01	2.18E+01	7.99E+00
Sample388	2.06E+01	2.26E+01	2.26E+01	2.01E+01	9.57E+00
Sample389	1.30E+01	1.76E+01	1.53E+01	2.38E+01	1.09E+01
Sample390	2.59E+01	1.22E+01	2.47E+01	2.73E+01	1.84E+01
Sample391	3.72E+01	2.54E+01	2.18E+01	5.49E+01	1.01E+01
Sample392	1.61E+01	1.58E+01	1.31E+01	2.46E+01	1.09E+01
Sample393	2.99E+01	5.97E+01	1.72E+01	8.79E+01	3.53E+01
Sample394	1.71E+01	2.56E+01	2.61E+01	2.33E+01	1.13E+01
Sample395	2.70E+01	1.61E+01	1.85E+01	2.32E+01	1.41E+01
Sample396	2.29E+01	1.43E+01	2.69E+01	1.67E+01	1.07E+01
Sample397	1.66E+01	2.01E+01	2.17E+01	1.08E+01	1.06E+01
Sample398	2.19E+01	2.64E+01	2.46E+01	2.28E+01	1.41E+01
Sample399	1.23E+01	1.42E+01	2.53E+01	2.25E+01	8.77E+00
Sample400	1.86E+01	2.80E+01	1.31E+01	2.74E+01	1.25E+01
Sample401	1.82E+01	2.17E+01	3.14E+01	5.61E+01	6.55E+00
Sample402	1.74E+01	1.86E+01	2.21E+01	1.84E+01	9.29E+00
Sample403	1.83E+01	1.66E+01	2.12E+01	3.52E+01	1.11E+01
Sample404	1.85E+01	2.98E+01	2.37E+01	4.96E+01	1.35E+01
Sample405	2.29E+01	2.03E+01	1.19E+01	1.97E+01	8.71E+00
Sample406	4.90E+01	3.40E+01	2.77E+01	6.20E+01	1.18E+01
Sample407	1.56E+01	2.61E+01	2.83E+01	2.09E+01	1.39E+01
Sample408	2.10E+01	1.93E+01	2.96E+01	2.78E+01	0.00E+00
Sample409	3.37E+01	1.75E+01	1.77E+01	3.83E+01	9.65E+00
Sample410	1.34E+01	1.45E+01	1.87E+01	1.91E+01	8.17E+00
Sample411	2.76E+01	2.40E+01	1.95E+01	2.64E+01	6.64E+00
Sample412	2.96E+01	1.89E+01	1.63E+01	1.82E+01	1.19E+01
Sample413	4.14E+01	2.04E+01	1.17E+01	2.38E+01	9.23E+00
Sample414	3.80E+01	1.60E+01	1.33E+01	5.30E+01	1.62E+01
Sample415	3.54E+01	2.46E+01	2.47E+01	2.06E+01	9.20E+00
Sample416	1.84E+01	3.05E+01	1.59E+01	4.66E+01	2.09E+01
Sample417	2.78E+01	2.21E+01	2.54E+01	3.91E+01	1.23E+01
Sample418	1.91E+01	2.10E+01	2.83E+01	5.67E+01	4.76E+00
Sample419	1.97E+01	1.68E+01	2.78E+01	1.91E+01	9.00E+00
Sample420	2.00E+01	2.56E+01	3.09E+01	5.64E+01	2.81E+01
Sample421	3.66E+01	2.75E+01	2.33E+01	3.91E+01	1.26E+01
Sample422	2.38E+01	2.80E+01	1.73E+01	6.14E+01	2.14E+01
Sample423	2.05E+01	1.91E+01	2.52E+01	1.93E+01	5.93E+00
Sample424	2.81E+01	2.92E+01	2.23E+01	4.04E+01	6.69E+00
Sample425	2.47E+01	1.44E+01	1.85E+01	1.58E+01	7.65E+00
Sample426	2.39E+01	1.85E+01	2.03E+01	1.44E+01	1.23E+01
Sample427	1.99E+01	1.62E+01	3.32E+01	5.81E+01	1.54E+01
Sample428	1.95E+01	1.54E+01	3.75E+01	1.86E+01	9.15E+00
Sample429	2.09E+01	2.75E+01	1.81E+01	3.50E+01	1.57E+01
Sample430	2.18E+01	1.06E+01	3.31E+01	4.63E+01	4.71E+00
Sample431	1.36E+01	2.35E+01	2.73E+01	1.38E+01	9.33E+00
Sample432	1.95E+01	1.08E+01	1.37E+01	3.04E+01	1.68E+01
Sample433	3.06E+01	5.20E+01	1.51E+01	8.70E+01	4.20E+01
Sample434	1.10E+01	1.50E+01	1.53E+01	2.00E+01	1.08E+01
Sample435	3.08E+01	2.97E+01	1.98E+01	5.39E+01	1.40E+01
Sample436	7.85E+00	1.73E+01	2.31E+01	1.17E+01	9.08E+00
Sample437	9.77E+00	1.53E+01	2.07E+01	1.53E+01	9.68E+00
Sample438	1.96E+01	6.00E+00	1.70E+01	2.95E+01	1.77E+01
Sample439	4.05E+01	4.07E+01	2.37E+01	5.88E+01	1.18E+01
Sample440	4.69E+01	3.04E+01	1.89E+01	5.01E+01	7.92E+00
Sample441	1.92E+01	1.33E+01	2.11E+01	1.70E+01	1.37E+01
Sample442	1.53E+01	1.80E+01	1.60E+01	2.54E+01	1.20E+01
Sample443	2.33E+01	2.24E+01	2.86E+01	3.03E+01	2.19E+01
Sample444	1.85E+01	2.27E+01	1.93E+01	1.69E+01	9.76E+00
Sample445	1.40E+01	1.13E+01	2.50E+01	2.32E+01	1.13E+01
Sample446	1.22E+01	1.31E+01	1.74E+01	1.89E+01	1.11E+01
Sample447	3.22E+01	1.88E+01	1.44E+01	2.46E+01	1.63E+01
Sample448	2.39E+01	2.00E+01	2.17E+01	2.04E+01	5.48E+00
Sample449	5.46E+01	2.55E+01	2.92E+01	4.64E+01	8.70E+00
Sample450	1.75E+01	2.24E+01	2.33E+01	2.14E+01	1.63E+01
Sample451	2.59E+01	2.21E+01	3.02E+01	1.81E+01	7.47E+00
Sample452	1.99E+01	1.86E+01	2.34E+01	5.54E+01	2.12E+01
Sample453	2.16E+01	1.25E+01	1.30E+01	1.26E+01	9.72E+00
Sample454	3.55E+01	2.34E+01	2.17E+01	4.69E+01	1.21E+01
Sample455	3.70E+01	2.40E+01	1.21E+01	4.89E+01	7.13E+00
Sample456	1.43E+01	1.08E+01	1.72E+01	2.06E+01	8.76E+00
Sample457	1.90E+01	1.48E+01	3.39E+01	3.54E+01	1.35E+01
Sample458	1.57E+01	1.47E+01	2.31E+01	1.89E+01	6.70E+00
Sample459	3.02E+01	2.69E+01	2.91E+01	2.88E+01	1.59E+01
Sample460	1.72E+01	1.95E+01	3.09E+01	5.66E+01	2.11E+01
Sample461	2.18E+01	1.77E+01	2.43E+01	2.06E+01	9.05E+00
Sample462	1.48E+01	1.13E+01	1.30E+01	1.33E+01	1.08E+01
Sample463	3.95E+01	2.14E+01	2.85E+01	2.96E+01	6.71E+00
Sample464	1.74E+01	1.80E+01	2.11E+01	2.20E+01	8.84E+00
Sample465	2.00E+01	1.46E+01	2.65E+01	1.85E+01	1.00E+01
Sample466	2.74E+01	2.07E+01	1.92E+01	2.04E+01	1.33E+01
Sample467	3.49E+01	3.18E+01	2.38E+01	5.04E+01	1.48E+01
Sample468	1.74E+01	1.44E+01	1.34E+01	1.83E+01	1.19E+01
Sample469	8.81E+00	1.48E+01	2.06E+01	1.73E+01	8.15E+00
Sample470	2.15E+01	1.72E+01	1.99E+01	2.03E+01	7.99E+00
Sample471	4.61E+01	2.77E+01	1.53E+01	4.50E+01	1.69E+01
Sample472	3.58E+01	2.81E+01	2.06E+01	4.06E+01	1.08E+01
Sample473	1.64E+01	2.11E+01	1.38E+01	3.22E+01	1.65E+01
Sample474	2.13E+01	2.51E+01	2.03E+01	2.37E+01	1.06E+01
Sample475	1.68E+01	3.10E+01	1.41E+01	4.60E+01	2.42E+01
Sample476	2.40E+01	2.70E+01	1.99E+01	4.56E+01	1.46E+01
Sample477	1.86E+01	1.35E+01	2.06E+01	1.43E+01	8.53E+00
Sample478	1.10E+01	1.86E+01	1.64E+01	1.31E+01	9.79E+00
Sample479	2.85E+01	3.61E+01	3.02E+01	3.19E+01	1.42E+01
Sample480	2.87E+01	3.83E+01	1.74E+01	6.45E+01	1.47E+01
Sample481	2.44E+01	2.09E+01	1.49E+01	2.12E+01	7.38E+00
Sample482	1.84E+01	1.79E+01	3.12E+01	3.58E+01	1.05E+01
Sample483	3.05E+01	2.05E+01	1.84E+01	2.72E+01	1.30E+01
Sample484	1.68E+01	1.86E+01	1.95E+01	1.54E+01	1.29E+01
Sample485	1.72E+01	2.23E+01	2.46E+01	1.15E+01	8.20E+00
Sample486	1.87E+01	2.79E+01	2.27E+01	1.90E+01	1.27E+01
Sample487	4.14E+01	2.60E+01	1.93E+01	5.53E+01	1.51E+01
Sample488	1.68E+01	1.71E+01	1.53E+01	1.83E+01	5.92E+00
Sample489	1.16E+01	1.75E+01	1.78E+01	1.85E+01	1.17E+01
Sample490	1.49E+01	1.17E+01	2.52E+01	1.53E+01	1.12E+01
Sample491	4.30E+01	3.89E+01	1.61E+01	4.44E+01	9.70E+00
Sample492	3.11E+01	2.93E+01	9.29E+00	3.25E+01	2.03E+01
Sample493	2.46E+01	1.46E+01	2.55E+01	2.04E+01	1.09E+01
Sample494	4.77E+01	3.72E+01	2.01E+01	4.75E+01	1.17E+01
Sample495	2.30E+01	1.31E+01	2.92E+01	2.01E+01	8.87E+00
Sample496	2.99E+01	2.12E+01	2.19E+01	7.00E+01	2.26E+01
Sample497	3.32E+01	2.34E+01	3.56E+01	3.36E+01	0.00E+00
Sample498	2.85E+01	1.79E+01	1.94E+01	3.08E+01	5.16E+00
Sample499	1.66E+01	1.25E+01	1.87E+01	1.66E+01	8.34E+00
Sample500	3.39E+01	1.87E+01	2.24E+01	3.99E+01	1.13E+01
Sample501	1.51E+01	2.04E+01	2.24E+01	2.40E+01	1.13E+01
Sample502	2.20E+01	1.71E+01	3.11E+01	1.68E+01	8.39E+00
Sample503	1.62E+01	1.73E+01	1.22E+01	1.71E+01	7.03E+00
Sample504	2.38E+01	9.74E+00	1.55E+01	1.19E+01	1.25E+01
Sample505	1.54E+01	1.95E+01	3.18E+01	2.57E+01	6.57E+00
Sample506	2.25E+01	3.11E+01	2.55E+01	4.39E+01	1.43E+01
Sample507	2.01E+01	1.40E+01	2.08E+01	1.58E+01	9.81E+00
Sample508	1.88E+01	1.71E+01	1.51E+01	1.52E+01	8.02E+00
Sample509	1.93E+01	2.09E+01	1.96E+01	3.33E+01	1.70E+01
Sample510	2.03E+01	1.97E+01	1.51E+01	3.24E+01	1.24E+01
Sample511	1.36E+01	1.37E+01	1.92E+01	3.84E+01	2.73E+01
Sample512	1.66E+01	2.48E+01	1.57E+01	1.97E+01	1.11E+01
Sample513	1.92E+01	2.19E+01	3.02E+01	1.54E+01	1.08E+01
Sample514	2.20E+01	1.99E+01	1.38E+01	1.85E+01	1.95E+01
Sample515	1.63E+01	2.65E+01	2.07E+01	2.30E+01	9.89E+00
Sample516	1.55E+01	1.57E+01	2.10E+01	4.14E+01	2.34E+01
Sample517	2.58E+01	1.13E+01	2.25E+01	1.70E+01	8.22E+00
Sample518	2.24E+01	1.46E+01	1.24E+01	9.09E+00	1.85E+01
Sample519	1.33E+01	1.94E+01	1.78E+01	1.56E+01	1.16E+01
Sample520	1.25E+01	1.49E+01	1.93E+01	1.47E+01	8.42E+00
Sample521	2.25E+01	3.27E+01	2.24E+01	3.56E+01	1.71E+01
Sample522	2.75E+01	1.69E+01	1.78E+01	2.47E+01	9.07E+00
Sample523	4.57E+01	1.71E+01	2.01E+01	5.04E+01	5.33E+00
Sample524	1.58E+01	1.35E+01	1.51E+01	2.12E+01	1.16E+01
Sample525	2.44E+01	1.57E+01	2.35E+01	3.65E+01	9.29E+00
Sample526	1.67E+01	2.11E+01	2.11E+01	1.58E+01	8.98E+00
Sample527	3.03E+01	1.48E+01	3.10E+01	6.00E+01	3.05E+01
Sample528	1.27E+01	2.00E+01	3.28E+01	4.39E+01	5.47E+00
Sample529	1.36E+01	1.51E+01	1.81E+01	1.28E+01	7.17E+00
Sample530	2.37E+01	2.49E+01	1.98E+01	3.42E+01	1.65E+01
Sample531	1.68E+01	1.76E+01	1.65E+01	2.19E+01	1.35E+01
Sample532	2.82E+01	1.17E+01	2.83E+01	6.38E+01	2.32E+01
Sample533	1.26E+01	1.31E+01	1.85E+01	1.44E+01	1.16E+01
Sample534	4.43E+01	2.32E+01	2.43E+01	4.74E+01	4.81E+00
Sample535	1.58E+01	1.38E+01	2.99E+01	2.10E+01	9.34E+00
Sample536	2.21E+01	2.57E+01	2.95E+01	2.84E+01	1.79E+01
Sample537	2.50E+01	1.96E+01	2.56E+01	3.43E+01	7.31E+00
Sample538	1.52E+01	1.38E+01	9.07E+00	1.67E+01	5.63E+00
Sample539	2.53E+01	3.43E+01	2.43E+01	5.23E+01	2.27E+01
Sample540	2.59E+01	2.43E+01	2.25E+01	5.10E+01	1.44E+01
Sample541	1.70E+01	1.79E+01	2.01E+01	1.96E+01	1.57E+01
Sample542	4.06E+01	2.15E+01	1.75E+01	4.89E+01	1.04E+01
Sample543	1.26E+01	2.07E+01	2.13E+01	1.63E+01	7.60E+00
Sample544	1.59E+01	2.28E+01	2.10E+01	1.81E+01	1.08E+01
Sample545	3.53E+01	8.04E+00	3.67E+01	4.58E+01	1.50E+01
Sample546	4.45E+01	2.98E+01	1.63E+01	5.03E+01	1.11E+01
Sample547	1.03E+01	2.40E+01	2.12E+01	2.04E+01	1.33E+01
Sample548	2.13E+01	3.56E+01	1.68E+01	5.64E+01	1.84E+01
Sample549	1.81E+01	2.40E+01	2.17E+01	3.71E+01	1.99E+01
Sample550	2.26E+01	2.91E+01	2.46E+01	2.35E+01	1.23E+01
Sample551	1.21E+01	1.83E+01	1.76E+01	1.56E+01	1.15E+01
Sample552	1.27E+01	1.80E+01	1.88E+01	8.61E+00	1.12E+01
Sample553	1.51E+01	1.82E+01	1.56E+01	1.04E+01	9.04E+00
Sample554	1.07E+01	1.84E+01	1.25E+01	1.69E+01	1.35E+01
Sample555	3.84E+01	1.73E+01	2.15E+01	3.05E+01	8.63E+00
Sample556	1.67E+01	2.05E+01	2.51E+01	1.87E+01	8.13E+00
Sample557	2.43E+01	2.34E+01	3.06E+01	1.73E+01	1.75E+01
Sample558	1.67E+01	1.54E+01	2.26E+01	8.89E+00	1.37E+01
Sample559	2.33E+01	1.98E+01	1.57E+01	2.40E+01	1.18E+01
Sample560	1.64E+01	1.33E+01	2.71E+01	2.65E+01	1.61E+01
Sample561	2.61E+01	5.46E+01	2.48E+01	9.02E+01	3.14E+01
Sample562	1.01E+01	1.86E+01	1.46E+01	1.49E+01	8.81E+00
Sample563	3.20E+01	2.57E+01	1.08E+01	3.55E+01	1.46E+01
Sample564	1.28E+01	1.87E+01	1.71E+01	1.80E+01	8.26E+00
Sample565	7.92E+00	1.97E+01	2.49E+01	2.93E+01	1.08E+01
Sample566	2.28E+01	1.65E+01	1.70E+01	1.76E+01	9.72E+00
Sample567	1.03E+01	1.38E+01	1.51E+01	1.29E+01	1.01E+01
Sample568	1.52E+01	2.41E+01	3.97E+01	2.51E+01	1.53E+01
Sample569	2.69E+01	2.72E+01	2.23E+01	4.46E+01	1.83E+01
Sample570	1.28E+01	1.62E+01	1.63E+01	2.77E+01	5.04E+00
Sample571	1.75E+01	3.13E+01	2.99E+01	1.95E+01	1.07E+01
Sample572	1.35E+01	7.93E+00	2.41E+01	2.85E+01	1.21E+01
Sample573	2.66E+01	2.47E+01	2.60E+01	5.23E+01	2.30E+01
Sample574	2.21E+01	1.81E+01	1.77E+01	1.77E+01	1.04E+01
Sample575	2.74E+01	1.61E+01	2.68E+01	4.65E+01	2.49E+01
Sample576	2.87E+01	5.02E+01	1.68E+01	8.99E+01	4.02E+01
Sample577	1.74E+01	8.86E+00	2.24E+01	2.95E+01	7.20E+00
Sample578	2.31E+01	2.20E+01	2.23E+01	1.60E+01	6.87E+00
Sample579	3.87E+01	2.67E+01	1.83E+01	3.91E+01	6.24E+00
Sample580	1.95E+01	1.22E+01	2.05E+01	1.44E+01	1.09E+01
Sample581	9.16E+00	2.28E+01	1.25E+01	2.17E+01	7.03E+00
Sample582	2.35E+01	1.16E+01	2.56E+01	4.57E+01	2.62E+01
Sample583	1.95E+01	2.27E+01	2.17E+01	1.73E+01	1.18E+01
Sample584	3.37E+01	2.63E+01	1.78E+01	5.07E+01	1.53E+01
Sample585	2.46E+01	5.72E+01	1.58E+01	9.47E+01	4.09E+01
Sample586	1.24E+01	1.49E+01	9.53E+00	2.18E+01	9.34E+00
Sample587	2.97E+01	2.44E+01	1.44E+01	4.19E+01	1.78E+01
Sample588	1.69E+01	1.56E+01	2.15E+01	1.61E+01	1.26E+01
Sample589	3.81E+01	2.01E+01	2.16E+01	5.51E+01	1.16E+01
Sample590	3.07E+01	1.89E+01	1.59E+01	2.69E+01	7.53E+00
Sample591	2.42E+01	9.78E+00	2.18E+01	2.44E+01	1.26E+01
Sample592	4.92E+01	2.25E+01	2.39E+01	3.66E+01	1.18E+01
Sample593	1.91E+01	2.18E+01	2.92E+01	1.79E+01	1.47E+01
Sample594	2.09E+01	2.16E+01	1.99E+01	2.13E+01	1.12E+01
Sample595	1.12E+01	1.60E+01	1.71E+01	2.87E+01	9.84E+00
Sample596	1.06E+01	1.62E+01	2.40E+01	3.07E+01	1.56E+01
Sample597	2.67E+01	2.22E+01	1.50E+01	3.06E+01	1.73E+01
Sample598	2.69E+01	2.05E+01	2.75E+01	1.07E+01	1.50E+01
Sample599	8.40E+00	1.70E+01	1.84E+01	1.49E+01	5.21E+00
Sample600	2.37E+01	1.77E+01	1.74E+01	4.82E+01	2.07E+01
Sample601	1.28E+01	1.24E+01	1.58E+01	2.04E+01	9.47E+00
Sample602	1.13E+01	1.94E+01	3.10E+01	2.96E+01	7.45E+00
Sample603	2.19E+01	2.16E+01	1.76E+01	3.76E+01	1.40E+01
Sample604	1.66E+01	1.51E+01	1.63E+01	1.64E+01	6.60E+00
Sample605	2.04E+01	1.56E+01	1.77E+01	1.50E+01	9.45E+00
Sample606	2.07E+01	2.38E+01	2.16E+01	2.31E+01	1.77E+01
Sample607	2.18E+01	1.61E+01	1.63E+01	1.83E+01	9.39E+00
Sample608	1.40E+01	1.84E+01	1.86E+01	1.45E+01	8.13E+00
Sample609	2.23E+01	1.73E+01	7.24E+00	2.58E+01	1.50E+01
Sample610	2.28E+01	2.16E+01	1.33E+01	3.31E+01	1.48E+01
Sample611	1.46E+01	2.36E+01	2.12E+01	1.89E+01	8.13E+00
Sample612	1.76E+01	2.65E+00	1.85E+01	2.41E+01	1.55E+01
Sample613	2.51E+01	1.96E+01	2.14E+01	3.07E+01	1.57E+01
Sample614	8.58E+00	1.73E+01	2.35E+01	3.79E+01	2.24E+01
Sample615	1.75E+01	2.23E+01	2.34E+01	1.57E+01	1.24E+01
Sample616	1.50E+01	2.08E+01	2.30E+01	1.20E+01	7.82E+00
Sample617	2.49E+01	3.68E+01	2.27E+01	3.46E+01	2.01E+01
Sample618	1.66E+01	1.71E+01	2.77E+01	1.56E+01	6.35E+00
Sample619	1.10E+01	1.52E+01	2.29E+01	1.35E+01	1.00E+01
Sample620	1.97E+01	1.31E+01	2.27E+01	1.61E+01	1.08E+01
Sample621	2.14E+01	1.71E+01	1.17E+01	1.70E+01	1.36E+01
Sample622	2.09E+01	1.71E+01	1.73E+01	2.12E+01	1.05E+01
Sample623	1.83E+01	2.23E+01	2.71E+01	2.71E+01	1.17E+01
Sample624	3.36E+01	2.55E+01	1.40E+01	3.42E+01	8.65E+00
Sample625	1.74E+01	0.00E+00	1.69E+01	2.37E+01	6.31E+00
Sample626	2.53E+01	2.00E+01	2.06E+01	1.44E+01	8.99E+00
Sample627	2.04E+01	2.16E+01	2.06E+01	3.04E+01	1.53E+01
Sample628	2.86E+01	1.85E+01	1.65E+01	1.48E+01	1.17E+01
Sample629	1.28E+01	2.78E+01	2.40E+01	3.39E+01	1.21E+01
Sample630	2.28E+01	3.01E+01	1.45E+01	4.07E+01	1.71E+01
Sample631	1.80E+01	2.08E+01	2.68E+01	1.62E+01	7.23E+00
Sample632	2.66E+01	2.76E+01	1.77E+01	2.87E+01	1.41E+01
Sample633	4.50E+01	2.86E+01	1.86E+01	4.67E+01	7.60E+00
Sample634	2.81E+01	3.15E+01	1.94E+01	3.06E+01	8.42E+00
Sample635	1.86E+01	1.54E+01	2.12E+01	7.49E+00	9.04E+00
Sample636	1.69E+01	1.30E+01	1.67E+01	1.07E+01	1.39E+01
Sample637	2.06E+01	2.13E+01	1.76E+01	2.05E+01	9.79E+00
Sample638	1.82E+01	1.58E+01	1.63E+01	1.83E+01	1.04E+01
Sample639	1.55E+01	1.86E+01	1.54E+01	1.96E+01	5.64E+00
Sample640	1.73E+01	1.71E+01	1.59E+01	2.03E+01	1.32E+01
Sample641	2.21E+01	2.31E+01	1.55E+01	3.76E+01	9.58E+00
Sample642	1.63E+01	1.62E+01	1.57E+01	1.87E+01	8.36E+00
Sample643	2.09E+01	1.54E+01	2.46E+01	2.99E+01	1.39E+01
Sample644	2.88E+01	2.67E+01	2.21E+01	4.58E+01	1.54E+01
Sample645	1.42E+01	1.37E+01	1.58E+01	2.74E+01	1.01E+01
Sample646	2.85E+01	2.80E+01	1.78E+01	3.96E+01	1.06E+01
Sample647	2.61E+01	2.83E+01	1.20E+01	4.32E+01	1.12E+01
Sample648	2.39E+01	2.31E+01	1.54E+01	1.29E+01	9.96E+00
Sample649	1.81E+01	1.82E+01	1.58E+01	2.51E+01	5.25E+00
Sample650	2.77E+01	3.10E+01	2.29E+01	4.35E+01	1.64E+01
Sample651	1.35E+01	1.33E+01	1.62E+01	1.62E+01	1.37E+01
Sample652	2.40E+01	2.87E+01	1.84E+01	3.41E+01	1.00E+01
Sample653	2.88E+01	2.46E+01	1.70E+01	2.85E+01	1.33E+01
Sample654	4.22E+01	3.22E+01	1.90E+01	4.49E+01	1.46E+01
Sample655	1.50E+01	1.92E+01	1.49E+01	2.66E+01	1.38E+01
Sample656	1.87E+01	1.80E+01	2.10E+01	1.16E+01	4.70E+00
Sample657	1.66E+01	1.66E+01	2.26E+01	1.74E+01	8.76E+00
Sample658	1.29E+01	2.24E+01	2.27E+01	2.64E+01	1.44E+01
Sample659	2.23E+01	1.15E+01	1.30E+01	1.87E+01	1.23E+01
Sample660	2.92E+01	2.83E+01	1.79E+01	4.16E+01	2.55E+01
Sample661	4.78E+01	2.78E+01	2.93E+01	3.46E+01	7.73E+00
Sample662	4.51E+01	2.55E+01	2.74E+01	3.48E+01	6.53E+00
Sample663	1.44E+01	1.70E+01	2.42E+01	1.81E+01	1.53E+01
Sample664	1.45E+01	2.11E+01	2.05E+01	1.69E+01	1.22E+01
Sample665	2.60E+01	2.31E+01	2.33E+01	4.83E+01	2.19E+01
Sample666	2.78E+01	2.23E+01	1.53E+01	3.13E+01	1.62E+01
Sample667	1.02E+01	2.11E+01	1.60E+01	2.20E+01	1.26E+01
Sample668	2.59E+01	1.43E+01	1.75E+01	2.39E+01	9.36E+00
Sample669	3.26E+01	1.97E+01	2.55E+01	6.91E+01	2.99E+01
Sample670	2.91E+01	1.31E+01	2.95E+01	3.82E+01	1.08E+01
Sample671	3.45E+01	2.50E+01	1.18E+01	5.07E+01	1.17E+01
Sample672	1.34E+01	1.00E+01	2.01E+01	2.59E+01	1.46E+01
Sample673	1.34E+01	1.58E+01	2.06E+01	2.91E+01	1.45E+01
Sample674	2.13E+01	1.66E+01	1.16E+01	3.30E+01	1.00E+01
Sample675	2.41E+01	1.18E+01	2.25E+01	2.05E+01	1.02E+01
Sample676	1.49E+01	1.67E+01	1.95E+01	4.39E+01	2.57E+01
Sample677	1.96E+01	2.47E+01	1.76E+01	1.91E+01	1.38E+01
Sample678	2.14E+01	1.81E+01	2.31E+01	2.61E+01	8.95E+00
Sample679	1.81E+01	1.18E+01	2.17E+01	2.38E+01	9.92E+00
Sample680	1.46E+01	1.50E+01	1.72E+01	9.41E+00	7.55E+00
Sample681	2.29E+01	2.14E+01	2.43E+01	2.14E+01	1.04E+01
Sample682	1.66E+01	1.62E+01	2.15E+01	2.17E+01	1.07E+01
Sample683	1.09E+01	1.72E+01	1.65E+01	1.55E+01	1.33E+01
Sample684	2.12E+01	2.19E+01	2.17E+01	2.07E+01	1.47E+01
Sample685	2.97E+01	1.43E+01	2.01E+01	4.08E+01	1.33E+01
Sample686	5.36E+00	2.02E+01	2.32E+01	2.34E+01	1.01E+01
Sample687	1.40E+01	1.28E+01	1.51E+01	1.41E+01	9.66E+00
Sample688	2.34E+01	1.67E+01	1.94E+01	2.01E+01	1.12E+01
Sample689	8.12E+00	1.27E+01	1.03E+01	1.48E+01	6.75E+00
Sample690	3.38E+01	3.31E+01	2.24E+01	4.10E+01	9.95E+00
Sample691	1.77E+01	1.69E+01	8.61E+00	1.49E+01	8.01E+00
Sample692	1.96E+01	2.69E+01	2.73E+01	2.92E+01	1.36E+01
Sample693	2.53E+01	2.05E+01	1.81E+01	1.54E+01	1.19E+01
Sample694	1.75E+01	1.54E+01	2.08E+01	1.74E+01	5.02E+00
Sample695	2.40E+01	1.43E+01	1.52E+01	2.57E+01	1.63E+01
