Samples	Signature A	Signature B	Signature C	Signature D	Signature E
Sample80	1.95E+01	3.10E+01	3.10E+01	5.71E+01	6.25E+00
Sample81	2.12E+01	1.78E+01	1.98E+01	2.57E+01	1.09E+01
Sample82	1.53E+01	3.31E+01	2.57E+01	1.71E+01	1.38E+01
Sample83	2.78E+01	1.77E+01	2.69E+01	3.31E+01	1.17E+01
Sample84	3.34E+01	3.13E+01	2.36E+01	2.23E+01	9.03E+00
Sample85	4.28E+01	2.31E+01	1.78E+01	5.20E+01	8.88E+00
Sample86	3.88E+01	3.75E+01	2.82E+01	3.96E+01	7.56E+00
Sample87	2.00E+01	1.32E+01	1.99E+01	1.63E+01	1.13E+01
Sample88	2.62E+01	9.99E+00	2.35E+01	1.69E+01	8.76E+00
Sample89	1.37E+01	2.28E+01	2.84E+01	1.20E+01	1.08E+01
Sample90	2.26E+01	1.13E+01	1.81E+01	1.57E+01	4.88E+00
Sample91	8.17E+00	1.26E+01	2.00E+01	1.14E+01	1.19E+01
Sample92	1.77E+01	1.64E+01	1.71E+01	1.65E+01	1.06E+01
Sample93	1.65E+01	1.56E+01	2.50E+01	1.89E+01	1.00E+01
Sample94	1.55E+01	1.40E+01	2.04E+01	3.49E+01	1.70E+01
Sample95	2.34E+01	1.97E+01	2.08E+01	1.91E+01	1.29E+01
Sample96	1.98E+01	2.24E+01	2.02E+01	2.33E+01	1.19E+01
Sample97	8.05E+00	1.89E+01	2.35E+01	1.73E+01	1.42E+01
Sample98	1.87E+01	1.62E+01	1.87E+01	2.90E+01	1.07E+01
Sample99	2.79E+01	2.82E+01	1.38E+01	6.68E+01	2.29E+01
Sample100	1.65E+01	1.43E+01	3.36E+01	2.95E+01	5.46E+00
Sample101	1.06E+01	2.05E+01	2.35E+01	1.62E+01	6.65E+00
Sample102	3.74E+01	2.74E+01	2.04E+01	2.18E+01	8.71E+00
Sample103	1.80E+01	9.82E+00	2.17E+01	2.68E+01	1.21E+01
Sample104	2.88E+01	3.24E+01	2.00E+01	3.96E+01	1.66E+01
Sample105	3.43E+01	3.26E+01	2.14E+01	2.42E+01	1.12E+01
Sample106	1.74E+01	9.29E+00	1.36E+01	1.72E+01	9.61E+00
Sample107	2.27E+01	2.34E+01	2.13E+01	2.05E+01	9.68E+00
Sample108	1.44E+01	2.25E+01	1.92E+01	1.42E+01	1.31E+01
Sample109	2.89E+01	1.62E+01	1.68E+01	2.52E+01	2.00E+01
Sample110	4.68E+01	2.81E+01	2.78E+01	5.21E+01	1.73E+01
Sample111	1.89E+01	1.86E+01	2.10E+01	3.42E+01	1.50E+01
Sample112	8.13E+00	1.28E+01	2.06E+01	1.73E+01	7.02E+00
Sample113	2.81E+01	3.27E+01	4.23E+01	5.87E+01	5.16E+00
Sample114	2.82E+01	2.67E+01	2.25E+01	4.30E+01	1.28E+01
Sample115	1.58E+01	1.66E+01	2.02E+01	1.67E+01	1.04E+01
Sample116	1.64E+01	2.95E+01	2.26E+01	1.01E+01	9.30E+00
Sample117	2.07E+01	1.58E+01	1.87E+01	1.32E+01	8.86E+00
Sample118	1.64E+01	1.74E+01	3.20E+01	2.85E+01	1.35E+01
Sample119	1.49E+01	1.89E+01	1.49E+01	4.35E+01	2.20E+01
Sample120	1.51E+01	1.73E+01	2.54E+01	1.63E+01	9.87E+00
Sample121	1.16E+01	1.89E+01	2.05E+01	2.14E+01	1.23E+01
Sample122	1.89E+01	1.82E+01	1.91E+01	3.14E+01	1.01E+01
Sample123	1.62E+01	2.71E+01	3.71E+01	2.52E+01	1.23E+01
Sample124	4.35E+01	3.30E+01	1.70E+01	4.47E+01	6.96E+00
Sample125	4.71E+01	2.17E+01	1.21E+01	3.63E+01	1.13E+01
Sample126	2.89E+01	1.30E+01	1.55E+01	3.02E+01	5.19E+00
Sample127	8.50E+00	3.39E+01	1.85E+01	4.19E+01	1.55E+01
Sample128	1.89E+01	1.86E+01	2.83E+01	1.46E+01	6.97E+00
Sample129	1.47E+01	1.83E+01	1.76E+01	2.00E+01	8.83E+00
Sample130	7.62E+00	1.41E+01	2.59E+01	1.84E+01	9.82E+00
Sample131	1.52E+01	1.91E+01	2.41E+01	1.74E+01	7.21E+00
Sample132	1.80E+01	2.13E+01	2.49E+01	2.47E+01	4.76E+00
Sample133	1.66E+01	9.85E+00	1.49E+01	1.61E+01	4.67E+00
Sample134	1.74E+01	2.06E+01	1.72E+01	8.51E+00	9.10E+00
Sample135	1.35E+01	1.57E+01	1.25E+01	1.67E+01	1.21E+01
Sample136	1.71E+01	1.34E+01	1.61E+01	1.84E+01	9.58E+00
Sample137	2.00E+01	1.61E+01	2.57E+01	1.88E+01	1.82E+01
Sample138	2.77E+01	2.40E+01	2.27E+01	2.91E+01	9.53E+00
Sample139	2.81E+01	1.35E+01	1.88E+01	3.85E+01	9.69E+00
Sample140	2.92E+01	2.81E+01	2.23E+01	5.52E+01	1.69E+01
Sample141	1.42E+01	1.75E+01	1.68E+01	1.92E+01	1.26E+01
Sample142	2.79E+01	3.26E+01	2.99E+01	6.41E+01	2.50E+01
Sample143	1.71E+01	1.56E+01	2.33E+01	3.79E+01	2.26E+01
Sample144	4.37E+01	3.85E+01	2.05E+01	4.55E+01	3.00E+00
Sample145	3.37E+01	3.18E+01	2.09E+01	3.45E+01	6.20E+00
Sample146	1.41E+01	2.78E+01	2.16E+01	2.13E+01	1.27E+01
Sample147	3.91E+01	1.87E+01	2.18E+01	3.55E+01	1.06E+01
Sample148	1.35E+01	1.98E+01	1.43E+01	2.08E+01	9.24E+00
Sample149	2.86E+01	3.50E+01	2.16E+01	6.46E+01	2.71E+01
Sample150	1.64E+01	1.56E+01	2.48E+01	3.12E+01	6.95E+00
Sample151	1.97E+01	1.99E+01	1.52E+01	1.59E+01	1.42E+01
Sample152	2.34E+01	2.40E+01	1.59E+01	1.21E+01	1.24E+01
Sample153	1.30E+01	2.05E+01	1.88E+01	2.24E+01	8.98E+00
Sample154	2.33E+01	2.05E+01	2.07E+01	2.26E+01	4.51E+00
Sample155	6.80E+00	1.90E+01	1.15E+01	2.01E+01	1.09E+01
Sample156	9.45E+00	1.89E+01	1.86E+01	2.47E+01	9.31E+00
Sample157	1.52E+01	3.21E+01	2.68E+01	2.32E+01	1.03E+01
Sample158	2.28E+01	1.90E+01	2.29E+01	1.79E+01	8.37E+00
Sample159	1.71E+01	1.36E+01	1.65E+01	2.45E+01	1.24E+01
Sample160	2.99E+01	2.30E+01	1.77E+01	5.01E+01	1.26E+01
Sample161	1.96E+01	1.68E+01	2.13E+01	1.89E+01	9.37E+00
Sample162	3.27E+01	3.01E+01	2.35E+01	3.38E+01	1.76E+01
Sample163	2.52E+01	2.12E+01	1.67E+01	1.95E+01	1.86E+01
Sample164	1.82E+01	1.42E+01	1.28E+01	1.31E+01	8.50E+00
Sample165	1.59E+01	9.41E+00	1.19E+01	1.18E+01	1.15E+01
Sample166	2.22E+01	1.86E+01	1.24E+01	2.46E+01	1.38E+01
Sample167	1.32E+01	1.93E+01	2.25E+01	1.68E+01	1.46E+01
Sample168	2.88E+01	1.04E+01	1.76E+01	2.13E+01	1.09E+01
Sample169	3.67E+01	2.34E+01	1.93E+01	5.22E+01	1.23E+01
Sample170	1.18E+01	2.00E+01	2.11E+01	1.33E+01	1.41E+01
Sample171	1.11E+01	2.11E+01	1.42E+01	1.44E+01	9.18E+00
Sample172	2.88E+01	2.92E+01	3.05E+01	1.60E+01	1.11E+01
Sample173	3.70E+01	2.68E+01	1.62E+01	3.31E+01	8.57E+00
Sample174	2.11E+01	2.03E+01	2.00E+01	1.93E+01	1.30E+01
Sample175	2.62E+01	2.06E+01	2.52E+01	1.73E+01	7.43E+00
Sample176	1.59E+01	1.54E+01	1.36E+01	3.72E+01	2.24E+01
Sample177	2.33E+01	2.37E+01	1.96E+01	1.80E+01	8.83E+00
Sample178	1.98E+01	2.68E+01	1.60E+01	3.15E+01	1.26E+01
Sample179	2.02E+01	1.36E+01	2.57E+01	2.05E+01	1.02E+01
Sample180	1.25E+01	1.55E+01	3.67E+01	2.07E+01	8.49E+00
Sample181	1.93E+01	2.19E+01	1.72E+01	1.32E+01	1.18E+01
Sample182	3.03E+01	2.13E+01	3.80E+00	4.27E+01	1.39E+01
Sample183	2.48E+01	2.48E+01	1.94E+01	2.33E+01	8.16E+00
Sample184	2.18E+01	2.33E+01	2.43E+01	2.44E+01	9.94E+00
Sample185	2.08E+01	1.76E+01	3.48E+01	6.26E+01	2.69E+01
Sample186	2.61E+01	2.04E+01	9.33E+00	3.13E+01	1.17E+01
